ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bearish_score_raw,checks_passed,checks_failed
IP,0.0013927388041644394,3.2071206114400447e-07,3,2,0.0013930595162255843,5,51.4,12.507833,7.193565,20.479235,5,0,0,0.0,0.0,0.0008844877278400234,3.207120611432648e-07,3,2,684066.0,490162.0,0.0005350195510985811,1.823139982841135e-07,0,0,0.0013924180921032953,LONG,0.00046424626805481313,1.6035603057200224e-07,0.364929,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,19659199825.0,3.5e-05,2.5e-05,0.0,0.0,0.384149,0.568466,0.0,0.0,2.3614708237740453e-10,8.156793358806111e-14,0.5615340641932177,4.993067008979345,2.815,0.0,1.7,0.3111,0.0,0.6,0.1892,2.5375,0.0,1.7,0.1556,0.0,0.6,0.0,0.4031978486162219,0.336050753184522,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.49930670089793455,none,none
SIRI,0.0,7.833572536425223e-12,0,1,7.833572536425223e-12,1,73.0,54.806452,,54.806452,1,0,0,0.0,0.0,0.0,7.833572536425223e-12,0,1,0.0,269823.0,0.0,3.902300843819488e-12,0,0,-7.833572536425223e-12,SHORT,0.0,7.833572536425223e-12,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,8530012906.0,0.0,3.2e-05,0.0,0.0,0.0,0.498151,0.0,0.0,0.0,9.183541247534453e-18,0.10817185528214815,4.90604375738742,0.4817,0.0,0.0,0.0,0.0,0.6,0.0,2.606,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.3436240714508556,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.490604375738742,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
LC,0.0,17.855951572772955,0,1,35.71190314554591,1,91.0,3.460123,,3.460123,1,0,1,0.0,17.855951572772955,0.0,17.855951572772955,0,1,0.0,39490.0,0.0,6.535253898514263,0,0,-17.855951572772955,SHORT,0.0,17.855951572772955,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,1.0,0,0.0,2008749629.0,0.0,2e-05,0.0,0.0,0.0,0.365999,0.0,0.0,0.0,8.889087676726563e-05,0.11076420429295405,4.750997070362977,0.7648,0.0,0.0,0.0,0.0,0.3429,0.0,2.5581,0.0,1.7,0.0,0.15,0.3429,0.0,0.03428571428571428,0.2924529947617329,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.47509970703629767,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
DB,0.0,0.010336025942730531,0,3,0.020672051885461062,3,38.333333,20.304842,,20.304842,3,0,0,0.0,0.0,0.0,0.005201292818483575,0,3,0.0,281428.0,0.0,0.008742652368430928,0,0,-0.010336025942730531,SHORT,0.0,0.003445341980910177,0.0,0.49678,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,64107800264.0,0.0,4e-06,0.0,0.0,0.0,0.845843,0.0,0.0,0.0,5.374294495711971e-10,0.13765522767077443,4.741364083325594,0.7766,0.0,0.0,0.0,0.0,0.6,0.0,1.8468,0.0,1.7,0.3111,0.0,0.6,0.2834,0.06,0.30187708594717194,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.47413640833255943,"confirmation_volume, not_extended, retest_and_confirm, room_to_target","momentum_aligned, trend_aligned"
TFC,4.6072465146075815e-09,0.0359194082856794,3,3,0.06712361607432382,6,48.666667,1.725977,0.788525,2.663428,6,0,0,0.0,0.0,4.6072464720808845e-09,0.031204198574151437,3,3,309423.0,709523.0,2.0537175224108265e-09,0.02952234569718357,0,0,-0.03591940367843288,SHORT,1.5357488382025272e-09,0.011973136095226466,0.0,0.131272,1.282662141303823e-07,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,63170442044.0,5e-06,1.1e-05,0.0,0.0,0.445758,0.830748,0.0,0.0,2.431119347135223e-16,1.895370003408689e-09,0.2787406709652711,4.672716440703631,1.6801,0.0,0.1962,0.3111,0.0,0.6,0.0,2.2681,0.0,1.4711,0.3111,0.0,0.6,0.0223,0.12721735033703224,0.28053248259238306,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.4672716440703631,"confirmation_volume, not_extended, pullback_to_resistance, room_to_target","momentum_aligned, trend_aligned"
SAP,7.62201231430003e-19,1.5632290295153045e-08,2,7,1.5632290296677446e-08,9,53.222222,6.935699,2.095715,8.318552,9,0,0,0.0,0.0,7.622003998256907e-19,1.5228004399486768e-08,2,7,78300.0,741997.0,5.746867187485967e-19,5.552763004189726e-09,0,0,-1.5632290294390844e-08,SHORT,3.811006157150015e-19,2.2331843278790063e-09,1e-06,0.025862,4.8758129297684e-11,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,222629536923.0,0.0,3e-06,0.0,0.0,0.753983,0.355211,0.0,0.0,1.7118151570643172e-26,1.003094359690192e-16,0.23241982654702434,4.599280252535962,0.4836,0.0,1.0851,0.1556,0.0,0.6,0.0,1.3659,0.0,1.7,0.9333,0.0,0.6,0.0,0.1840641755555556,0.3316566397201671,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.4599280252535962,"confirmation_volume, not_extended, retest_and_confirm, room_to_target, trend_aligned",momentum_aligned
BIIB,2.3511552826483224,139.08712737913655,3,4,280.5254100409197,7,83.0,20.853163,1.205211,35.589127,7,0,0,0.0,0.0,2.3511551301911973,139.07927720254173,3,4,304247.0,353195.0,1.1404652281903978,102.32446010522696,0,1,-136.7359720964882,SHORT,0.7837184275494408,34.77178184478414,0.0,5.6e-05,0.01690419039455266,1.0,0.0,0.25,-0.3076923076923077,-0.05769230769230771,91+,0.0,1,0.1429,26027624941.0,1.2e-05,1.4e-05,0.0,0.0,0.485066,0.735686,0.0,0.0,3.011102355001623e-07,1.3359567737588653e-05,0.2954699344770393,4.581290734831736,1.564,0.0,0.4795,0.3111,0.0,0.6,0.0,1.8146,0.0,1.7,0.4667,0.0,0.6,0.0,0.18294698872366605,0.3280612247146268,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.45812907348317355,none,none
HUN,4.2044361550785586e-12,8.326631560384938e-12,3,6,2.0857699275848436e-11,9,39.666667,0.595196,1.075309,0.35514,9,1,0,2.4705353424339803e-12,0.0,2.4705353424339803e-12,2.2930659489322445e-12,3,6,181153.0,280875.0,7.460701512399395e-13,3.2733224980868644e-12,0,0,-4.12219540530638e-12,SHORT,1.4014787183595195e-12,1.387771926730823e-12,0.412398,0.724611,0.5049384165238828,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,2323024809.0,7.8e-05,0.000121,0.0,0.0,0.177448,0.393115,0.0,0.0,6.032990749516871e-18,5.973986680444544e-18,0.38261955026888606,4.47993452288054,2.1507,0.0,0.3912,0.3111,0.15,0.6,0.2231,2.656,0.0,0.0,0.7778,0.0,0.6,0.4462,0.408080571375648,0.47239284920634916,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.447993452288054,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
VFC,0.0,0.8240687921107299,0,2,0.8240687921107299,2,30.0,7.207143,,7.207143,2,0,1,0.0,0.7131568862888716,0.0,0.7131568862888716,0,2,0.0,371805.0,0.0,0.6060776895431024,0,0,-0.8240687921107299,SHORT,0.0,0.41203439605536496,0.0,0.134591,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.5,0,0.0,8216530203.0,0.0,4.5e-05,0.0,0.0,0.0,0.73547,0.0,0.0,0.0,5.014700681133308e-07,0.13182883311610594,4.466263295161209,0.7183,0.0,0.0,0.0,0.0,0.6,0.0,1.836,0.0,1.7,0.1556,0.15,0.6,0.0247,0.06,0.4165221243124736,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.4466263295161209,"confirmation_volume, room_to_target, shooting_star_at_resistance","momentum_aligned, not_extended, trend_aligned"
LYV,0.0,494.85156897958984,0,2,989.7031379591797,2,62.0,81.767857,,81.767857,2,0,0,0.0,0.0,0.0,482.48084307321255,0,2,0.0,1405281.0,0.0,166.92931737388187,0,0,-494.85156897958984,SHORT,0.0,247.42578448979492,0.0,0.024999,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.5,36760588908.0,0.0,3.8e-05,0.0,0.0,0.0,0.337332,0.0,0.0,0.0,6.730735057292541e-05,0.12897578928319525,4.432168882515555,0.6898,0.0,0.0,0.0,0.0,0.6,0.0,1.9766,0.0,1.7,0.1556,0.0,0.6,0.0,0.06,0.3780482900441206,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.4432168882515555,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned
