ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_z_shadow,bearish_score_z_shadow,bullish_zscore_tier,bearish_zscore_tier,bearish_score_raw,checks_passed,checks_failed
CAR,43749.47169493028,188662.87838539443,1,6,411686.4676996341,7,62.0,7.627851,5.352941,8.007003,7,0,2,0.0,48175.033049420425,43749.47169493028,46568.66323436187,1,6,330750.0,1446430.0,22044.57637976973,94328.11982685504,1,5,-144913.40669046415,SHORT,43749.47169493028,31443.813064232407,0.0,0.753165,0.23189231537939475,1.0,1.0,0.8333333333333334,0.6923076923076923,0.5256410256410257,31-90,0.3333,0,0.0,17412837877.0,1.9e-05,8.3e-05,1e-06,5e-06,0.503882,0.499009,0.0,0.0,0.02512483720572475,0.018057833700826805,0.3080315328738541,6.422056505550384,0.6962,0.0842,1.7,0.0,0.0,0.6,0.0,2.5229,0.0548,1.7,0.7778,0.3,0.6,0.4665,0.44308459190220084,0.8114379304833318,2,3,0.6422056505550384,none,not_extended
SPXS,2.1834070820488662e-05,2542.023551941113,1,4,5082.451448302082,5,36.8,7.959772,9.609756,7.409777,5,1,4,2.1834070820488662e-05,2542.023551941113,2.1834070820488662e-05,2540.4278745198785,1,4,69628.0,226838.5,7.995410514344634e-06,452.8906220124164,0,0,-2542.0235301070425,SHORT,2.1834070820488662e-05,635.5058879852783,0.0,0.000628,8.589248043676056e-09,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,435516020.0,0.00016,0.000521,0.0,1e-06,0.36619,0.177979,0.0,0.0,5.013379489573922e-10,0.014592020931521146,0.5349999999999999,6.306989446156983,2.9,0.0,1.7,0.0,0.15,0.6,0.0,2.9,0.0403,1.7,0.4667,0.6,0.6,0.0,0.6580130128462295,0.8376885475556631,3,3,0.6306989446156983,"confirmation_volume, momentum_aligned, pullback_to_resistance, room_to_target, trend_aligned",not_extended
FAS,4.38475746808981e-07,189.85191685403458,2,5,379.51453010339714,7,43.285714,2.569189,1.292096,3.207735,7,0,2,0.0,7.179785054753926,3.5911089684843305e-07,173.0654780316471,2,5,276793.0,204081.0,1.9309181171936954e-07,41.332399836350824,0,0,-189.85191641555883,SHORT,2.192378734044905e-07,37.970383370806914,0.181002,0.088419,2.3095671303972028e-09,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.4,0,0.0,2267262870.0,0.000122,9e-05,0.0,0.0,0.440371,0.217407,0.0,0.0,9.669715686937109e-13,0.00016747234682499304,0.42520394069841266,5.904494997941638,2.9,0.0,0.5386,0.1556,0.0,0.6,0.0579,2.6823,0.0,1.7,0.6222,0.3,0.6,0.0,0.7035395244096613,0.4269778516668399,3,3,0.5904494997941638,none,none
BTDR,37.27643959353427,10361.000770823099,1,3,20677.83147398847,4,46.25,384.737569,0.026152,512.974709,4,0,0,0.0,0.0,37.27643959353427,7104.5089601618,1,3,78739.0,3563113.0,16.458524385324324,1428.5506512574145,0,0,-10323.724331229565,SHORT,37.27643959353427,3453.6669236076996,0.0,0.314303,0.0035977643876357857,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.25,2478974586.0,3.2e-05,0.001437,0.0,1e-06,0.441526,0.136181,0.0,0.0,0.0001503703983253916,0.013931836748598679,0.1736240714508556,5.701744431178658,1.1362,0.0,0.0,0.0,0.0,0.6,0.0,2.9,0.0376,1.7,0.3111,0.0,0.6,0.1531,0.3721898184321154,0.6683621950524993,3,3,0.5701744431178658,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
UVXY,46.3604016376477,1.54024180076981,3,2,49.44088523918732,5,40.6,31.394871,2.127191,75.296392,5,0,1,0.0,1.4827867679689164,46.360401621812514,1.4827867679689164,3,2,312310.0,84766.0,0.30914885872208636,0.08432747521715545,0,0,44.820159836877885,LONG,15.453467212549233,0.770120900384905,0.0,0.037303,30.099430890965856,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,272736161.0,0.001145,0.000311,0.0,0.0,0.006668,0.05475,0.0,0.0,0.0005666086651615381,2.823684609921986e-05,0.49176009911111107,5.505555555555555,2.9,0.0,1.1065,0.3111,0.0,0.6,0.0,2.9,0.0,1.7,0.1556,0.15,0.6,0.0,0.7335040973969433,0.5114478199609245,3,3,0.5505555555555555,none,none
WSM,6.635345129538783e-19,2.548423434929729e-14,1,3,2.54855614183232e-14,4,78.75,2.559968,0.062687,3.392395,4,0,1,0.0,2.4966153988749164e-18,6.635345129538783e-19,1.7647278758950862e-14,1,3,30510.0,1840246.0,4.1755092063353107e-19,1.1864903408722274e-14,0,0,-2.5483570814784336e-14,SHORT,6.635345129538783e-19,8.494744783099096e-15,0.0,0.307522,2.6037058985536082e-05,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.3333,0,0.0,23647298776.0,1e-06,7.8e-05,0.0,0.0,0.629283,0.465578,0.0,0.0,2.8059632486536244e-25,3.5922685561534584e-21,0.06,5.314684165185053,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.4053,0.0,1.7,0.3111,0.15,0.6,0.1482,0.36961951440968116,0.7073919631582085,3,3,0.5314684165185053,"confirmation_volume, momentum_aligned, not_extended, room_to_target","continuation_pattern, trend_aligned"
AVTX,1.5885294837877466e-06,1.4194794081196158e-06,10,7,4.596538375695109e-06,17,53.352941,3.113927,4.725771,0.811291,17,0,1,0.0,2.2543506977354073e-07,1.2909137013610637e-06,3.625828382957446e-07,10,7,1385065.0,905564.0,1.5940742349631008e-07,6.113944175459378e-07,0,0,1.6905007566813075e-07,LONG,1.5885294837877465e-07,2.0278277258851655e-07,0.187353,0.744566,1.1190930102269474,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,328837362.0,0.004212,0.002754,0.0,0.0,0.100349,0.430717,0.0,0.0,4.830745126181089e-12,6.1666585376790784e-12,0.6662394999999999,5.2554154990476185,2.9,0.0,1.7,1.4,0.0,0.6,0.0624,2.9,0.0,0.2117,0.9333,0.15,0.6,0.4604,0.7783203438190612,0.6756411234566565,3,3,0.5255415499047619,none,none
HUT,3.3768307982006656,9770.957341755417,3,6,19546.5635381484,9,65.333333,7.388491,4.188192,8.98864,9,1,2,0.9321878016489212,4129.124553975451,1.2720238393679364,5637.989217573336,3,6,180652.0,353572.5,0.5840452607143427,890.406129781009,0,2,-9767.580510957216,SHORT,1.1256102660668885,1628.4928902925694,0.623308,0.422985,0.0003455987658210363,1.0,0.0,0.3333333333333333,-0.3076923076923077,0.025641025641025605,91+,0.3333,0,0.0,8305457572.0,2.2e-05,4.3e-05,0.0,0.0,0.16165,0.091128,0.0,0.0,1.3552658072225095e-06,0.001960750357430842,0.3936738103066516,5.0844833672877785,0.8018,0.0,1.7,0.3111,0.15,0.6,0.3738,1.476,0.0,1.7,0.7778,0.3,0.6,0.2307,0.6864003101131532,0.8577004881708062,3,3,0.5084483367287779,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
ELF,528.9284422854064,8.752017251763098,4,1,1066.608901822257,5,55.6,1.672143,1.165247,3.699725,5,1,0,528.0323811415519,0.0,528.0323811415519,8.752017251763098,4,1,263476.0,346498.0,160.0009155200703,2.663217224992078,0,0,520.1764250336433,LONG,132.2321105713516,8.752017251763098,0.001694,0.0,60.43503195550186,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.25,0,0.0,3945870610.0,6.7e-05,8.8e-05,0.0,0.0,0.3025,0.304298,0.0,0.0,0.0003351151713800154,2.2180193211563767e-05,0.3803606174815407,4.937354364471283,2.1346,0.0,0.4524,0.4667,0.15,0.6,0.0,2.6374,0.0,1.7,0.0,0.0,0.6,0.0,0.7653143959559112,0.694945719872199,3,3,0.4937354364471283,none,none
HL,4.1811431433111,0.32142650039037973,2,4,4.502769269367165,6,46.5,6.804982,1.902176,9.256385,6,0,0,0.0,0.0,3.5863186342883524,0.32122685953129254,2,4,649194.0,893345.5,0.40966927113046847,0.13266553097915745,0,0,3.859716642920721,LONG,2.09057157165555,0.08035662509759493,0.142264,0.000621,13.008084704381897,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,13098635112.0,5e-05,6.8e-05,0.0,0.0,0.09798,0.412727,0.0,0.0,1.596022451026461e-06,6.134732696231697e-08,0.3418085257431051,4.926580082636214,1.6789,0.0,0.9535,0.1556,0.0,0.6,0.0302,2.1599,0.0,1.7,0.4667,0.0,0.6,0.0,0.6703808229423772,0.7301230253554588,3,3,0.4926580082636214,none,none
