ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
GOOG,343440.5074177659,650731.1901022452,8,15,1327181.3596455664,23,88.130435,3.190239,0.150831,4.811257,23,4,9,29162.65182036771,441334.5127005713,127032.99836813679,194229.21866376014,8,15,8.582608316924984,1368902.0,3621783.0,-307290.6826844793,SHORT,42930.06342722074,43382.07934014968,0.630116,0.701522,0.5277763116960835,1.0,5801168602.865295,0.000236,0.000624,0.48867330758819894,7.801250769223501,0.7801250769223501,"confirmation_volume, ema_rally, momentum_aligned, not_extended, trend_aligned",room_to_target
EWZ,37693.35021733649,1367337.239804023,2,8,1424796.1915206495,10,78.8,5.23433,0.0269,6.536188,10,0,3,0.0,133020.70789903332,35792.32712167576,1137867.9773424224,2,8,16.10539109338494,114711.5,1938866.0,-1329643.8895866864,SHORT,18846.675108668245,170917.15497550287,0.050434,0.167822,0.02756697405735763,1.0,1469543576.020813,7.8e-05,0.001319,0.24728556291911305,7.605369947744702,0.7605369947744702,none,trend_aligned
ARM,1228290.8013164464,747336.6186930544,13,14,2869265.2759681502,27,62.814815,6.652604,2.522925,10.487306,27,0,8,0.0,419825.7052813085,227160.4080313893,97030.75525204268,13,14,0.6724417399654555,1802193.0,1021838.5,480954.182623392,LONG,94483.9077935728,53381.18704950389,0.81506,0.870165,1.6435576293109881,1.0,653274587.2985077,0.002759,0.001564,0.6953444565143646,7.589708295933859,0.7589708295933859,none,none
SEDG,0.0,1352447.0642699911,0,2,1352447.0642699911,2,51.0,46.557471,,46.557471,2,0,0,0.0,0.0,0.0,948544.4598160697,0,2,2.3484484857395436,0.0,2298679.0,-1352447.0642699911,SHORT,0.0,676223.5321349956,0.0,0.298646,0.0,1.0,179708980.94718933,0.0,0.012791,0.15176610104871358,7.29288434382047,0.7292884343820469,none,trend_aligned
PDD,505662.25508213276,1198163.1970239545,9,7,2934834.7516912827,16,76.1875,1.396294,1.386697,1.408632,16,3,5,85415.29199605217,1037555.3023851656,270761.9657758924,868454.954510334,9,7,5.595492549945396,2557805.0,1533547.5,-692500.9419418217,SHORT,56184.69500912586,171166.17100342206,0.46454,0.275178,0.42203120270937783,1.0,638046980.0790405,0.004009,0.002404,0.735098284157647,7.282892554054847,0.7282892554054847,none,none
DJT,0.0,112249.28454169855,0,4,112249.28454169855,4,88.0,3.138251,,3.138251,4,0,0,0.0,0.0,0.0,64321.52505280956,0,4,26439669.2345933,0.0,338433.0,-112249.28454169855,SHORT,0.0,28062.321135424638,0.0,0.426976,0.0,1.0,32032872.857456207,0.0,0.010565,0.18,7.1349529329960815,0.7134952932996081,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned"
BE,64957.862159849545,314209.7655214123,5,6,456888.1944145735,11,52.363636,1.456406,0.389113,2.345817,11,0,0,0.0,0.0,36393.6785495548,230846.44510353592,5,6,3.6296767972769115,647398.5,6865771.0,-249251.90336156276,SHORT,12991.57243196991,52368.29425356872,0.439734,0.265311,0.20673406522568089,1.0,1551988925.34729,0.000417,0.004424,0.36973564777834533,7.05481571085447,0.705481571085447,none,trend_aligned
GEV,489956.6327263018,449160.3346229977,11,8,1450766.1459918406,19,81.210526,1.838234,1.433502,2.394742,19,3,3,180825.6604644397,22933.24874247042,250637.0486108929,205127.22405957416,11,8,70.43118437794936,1451937.5,1623325.0,40796.298103304114,LONG,44541.51206602743,56145.04182787471,0.488451,0.54331,1.090827918136508,1.0,2387683166.790161,0.000608,0.00068,0.6077633270135552,6.59580008461813,0.659580008461813,none,none
FAS,0.0,60585.24078974439,0,4,60585.25272414221,4,44.0,52.791667,,52.791667,4,0,2,0.0,30341.111585766885,0.0,30244.117269579703,0,4,116.08705817111374,0.0,296306.0,-60585.24078974439,SHORT,0.0,15146.310197436098,0.0,0.500801,0.0,1.0,138536450.02746582,0.0,0.002139,0.18,6.551475806393288,0.6551475806393288,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target"
CRM,171037.11445235807,1128823.828492222,4,10,1812567.7394985254,14,67.785714,0.801905,0.506544,0.920049,14,1,4,11265.769797921579,1102377.5538424884,105593.66170875897,516345.5478654309,4,10,45.2966079289709,508555.0,2366393.0,-957786.7140398638,SHORT,42759.27861308952,112882.3828492222,0.382627,0.542581,0.15151798724944845,1.0,2733031318.1005096,0.000186,0.000866,0.3679556146874702,6.55122397646684,0.655122397646684,"momentum_aligned, not_extended, room_to_target, structural_breakdown, trend_aligned",confirmation_volume
CRWV,864309.9910543219,848839.5168365246,8,7,2857274.6340389755,15,55.533333,5.217626,5.602719,4.777518,15,0,5,0.0,760374.6403684346,343946.05871231295,378049.8353086747,8,7,0.2612988137720176,1682744.0,1645146.5,15470.47421779728,LONG,108038.74888179023,121262.78811950352,0.602057,0.554627,1.0182254406291698,1.0,2059336337.8302383,0.000817,0.000799,0.5830222887594105,6.319663479224266,0.6319663479224266,none,none
NEM,107811.48843335664,50454.780081747114,9,12,215040.45401638912,21,79.190476,9.964601,0.923375,16.74552,21,2,2,0.002755660658897931,0.0048908437375675354,64256.667581676295,29314.275051118577,9,12,1086226.8342468496,941424.0,1183039.5,57356.70835160953,LONG,11979.05427037296,4204.5650068122595,0.403991,0.418999,2.1367943385875408,1.0,1225205609.7636032,0.000768,0.000966,0.5076160086195758,6.269549369761274,0.6269549369761274,none,none
HOOD,136180.99089876426,577962.3531112802,13,3,847244.3718280374,16,71.625,0.919795,0.147382,4.26692,16,0,1,0.0,108.80872025697643,31895.642369654055,527279.6525798732,13,3,24.47093598647884,1785310.5,1228329.0,-441781.362212516,SHORT,10475.460838366482,192654.11770376007,0.765785,0.087692,0.23562259750254722,1.0,1872541593.034134,0.000953,0.000656,0.5058496256046123,6.202889844417399,0.6202889844417399,none,none
AMGN,0.0,289486.85448003095,0,2,578973.6724888,2,87.5,6.376931,,6.376931,2,0,2,0.0,289486.85448003095,0.0,289486.81800876907,0,2,15874790.355131859,0.0,513682.5,-289486.85448003095,SHORT,0.0,144743.42724001547,0.0,0.0,0.0,1.0,967654549.2092896,0.0,0.000531,0.18,5.938769209823745,0.5938769209823744,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
XLK,2548.79196395739,35047.80595914743,5,7,57443.123353084644,12,55.416667,4.94247,1.135914,7.987715,12,2,4,1252.8935193851437,22855.523418182016,1123.2231056261546,14321.429851590981,5,7,45.69684907599883,374347.5,788013.0,-32499.013995190042,SHORT,509.75839279147806,5006.829422735347,0.559312,0.591374,0.07272329591553672,1.0,2662284468.90152,0.000141,0.000296,0.34369090020240517,5.478832349195151,0.5478832349195151,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target"
RBLX,66618.18896982506,0.05620810423733344,3,6,132902.44692685382,9,70.0,0.725727,0.300334,0.938423,9,0,0,0.0,0.0,66284.14554082027,0.010673516704590371,3,6,1866166.5462871594,228857.5,1599387.0,66618.13276172082,LONG,22206.062989941685,0.009368017372888907,0.005014,0.810107,99.0,1.0,481312700.0,0.000475,0.003323,0.34880758335309414,5.4219381520039,0.54219381520039,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
IBIT,241776.02867632004,324698.3026724836,18,10,678222.0215213342,28,55.142857,0.332926,0.27305,0.440703,28,2,1,27241.596229620194,72613.77200930174,44572.76404352423,101706.57112372942,18,10,6.230162448144773,1024247.0,1612035.0,-82922.27399616357,SHORT,13432.00159312889,32469.830267248362,0.815644,0.686766,0.7446174700832806,1.0,2502380636.633606,0.000409,0.000644,0.487287433548631,5.318927966156158,0.5318927966156158,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume
SIMO,58545.96632575748,131041.13392586977,1,5,320628.23417749704,6,51.0,,,,6,0,3,0.0,82248.80310037242,58545.96632575748,29611.93889693971,1,5,0.8625253546012152,98610.0,206996.5,-72495.1676001123,SHORT,58545.96632575748,26208.226785173953,0.0,0.774026,0.4467754862292099,1.0,58520366.09893799,0.001685,0.003537,0.3563816973980134,5.176173167952749,0.5176173167952749,"confirmation_volume, momentum_aligned, not_extended, room_to_target, structural_breakdown, trend_aligned",none
DELL,600987.5247686596,150155.41292229336,19,5,790108.5166780987,24,70.625,9.388253,10.127601,6.578731,24,8,0,251432.54265641104,0.0,124897.35746489372,56540.85537154077,19,5,3.7745412580884325,3987643.5,324853.5,450832.11184636626,LONG,31630.922356245243,30031.082584458672,0.79218,0.623451,4.002436629305369,1.0,1929959880.2009583,0.002066,0.000168,0.8583450207981417,5.162114964864399,0.5162114964864399,none,none
META,908588.240178735,899069.2319670363,5,9,2819065.1817808617,14,58.142857,0.439243,0.574002,0.364377,14,3,1,572666.3006369154,46142.615204192065,366648.77200103644,621812.3088929089,5,9,4.231749014623123,1720314.0,3438363.0,9519.008211698732,LONG,181717.648035747,99896.58132967069,0.596463,0.308382,1.0105876253721557,1.0,7589784896.038208,0.000227,0.000453,0.49478772720562014,5.1432983819710865,0.5143298381971086,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
MRVL,129790.342616556,200715.9599745996,4,7,525250.5328630498,11,63.636364,1.062324,0.193897,1.558568,11,1,0,82964.7120655195,0.0,82964.7120655195,75141.39145570065,4,7,36.35537172434674,368844.0,866321.0,-70925.6173580436,SHORT,32447.585654139,28673.708567799942,0.360779,0.625633,0.6466368824530986,1.0,2062963595.0328827,0.000179,0.00042,0.35286799188899065,5.058333916938913,0.5058333916938913,none,trend_aligned
