ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
SOXS,4877.9620117010245,15092.042015869558,1,1,35062.04604344014,2,56.0,4.552239,1.328358,7.776119,2,1,1,4877.9620117010245,15092.042015869558,4877.9620117010245,15092.042015869558,1,1,0.0,-10214.080004168532,SHORT,4877.9620117010245,15092.042015869558,1.0,1.0,0.32321418179009564,1.0,2190147622.7168655,2e-06,7e-06,0.29975086111104077,0.8086423048709277,0.3221829688324781,"healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, short_dated_noise","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, pullback_to_resistance, structural_breakdown, trend_aligned"
FDX,0.0,16205.583250240681,0,1,16205.583250240681,1,90.0,5.41573,,5.41573,1,0,0,0.0,0.0,0.0,16205.583250240681,0,1,0.0,-16205.583250240681,SHORT,0.0,16205.583250240681,0.0,1.0,0.0,1.0,744705197.6463501,0.0,2.2e-05,0.115,0.8037277281445985,0.3220438207485809,"bearish_strong_close, bounce_and_fail, confirmation_volume, not_extended, put_wall_clear, room_to_target, short_dated_noise","bearish_rejection_wick, flag_breakdown, healthy_pullback_volume, pullback_to_resistance, structural_breakdown, trend_aligned"
CRWD,302.22086569836426,392.5063822580711,5,8,858.0279493030714,13,49.153846,0.27397,0.211724,0.312874,13,3,4,152.26626072862788,29.216226741705746,147.6608888603722,356.56777584473804,5,8,0.0,-90.28551655970682,SHORT,60.444173139672856,49.063297782258886,0.488586,0.908438,0.7699769465140963,1.0,2120001479.3000002,0.0,0.0,0.3082911433345143,0.7787961746198463,0.3213379251863112,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
META,121633.73043531836,72507.52425211047,7,4,254381.6612099837,11,82.545455,0.240247,0.295927,0.142808,11,1,1,11180.434000841453,20147.586128451752,31342.867155277752,34561.75399566696,7,4,0.0,49126.20618320789,LONG,17376.247205045478,18126.881063027617,0.257682,0.476664,1.6775325276918138,1.0,7390575412.021637,1.6e-05,1e-05,0.3617035833750218,0.7528029495492743,0.3206019701561452,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
COIN,5191.512355115193,40000.41778549273,1,2,90383.86028121585,3,67.333333,0.46787,0.0443,0.679654,3,0,0,0.0,0.0,5191.512355115193,35497.54922749027,1,2,0.0,-34808.90543037754,SHORT,5191.512355115193,20000.208892746366,1.0,0.887429,0.12978645330544622,1.0,2580078419.5,2e-06,1.6e-05,0.2801575212111876,0.7368911177022118,0.32015145304427445,"bounce_and_fail, gamma_headwind, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, swing_dte_dominant","bearish_rejection_wick, bearish_strong_close, confirmation_volume, flag_breakdown, pullback_to_resistance, structural_breakdown, trend_aligned"
TLT,0.0,35646.88635237228,0,2,63336.47730325929,2,87.5,0.455299,,0.455299,2,0,1,0.0,7957.295401485271,0.0,27689.59095088701,0,2,0.0,-35646.88635237228,SHORT,0.0,17823.44317618614,0.0,0.776774,0.0,1.0,3867265630.974827,0.0,9e-06,0.115,0.6890739964204701,0.3187975906112824,"bearish_strong_close, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_near, room_to_target, structural_breakdown, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bounce_and_fail, flag_breakdown, pullback_to_resistance"
SPY,0.0,21950.140106912368,0,1,21950.140106912368,1,56.0,1.960248,,1.960248,1,0,1,0.0,21950.140106912368,0.0,21950.140106912368,0,1,0.0,-21950.140106912368,SHORT,0.0,21950.140106912368,0.0,1.0,0.0,1.0,58829483394.85289,0.0,0.0,0.115,0.6883742652620585,0.3187777788847883,"confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, room_to_target, short_dated_noise, strong_trend, structural_breakdown, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, pullback_to_resistance"
AMZN,85149.05023708679,74357.42755137802,4,6,197171.6955461474,10,85.6,0.077371,0.133399,0.040019,10,0,0,0.0,0.0,42633.673408098286,27977.394511118244,4,6,0.0,10791.622685708775,LONG,21287.262559271698,12392.904591896337,0.500695,0.376256,1.1451317378919839,1.0,9433033421.53916,9e-06,8e-06,0.314077762431215,0.5135099942156376,0.3138267872504866,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
DELL,0.0,18015.16019496178,0,1,36030.32038992356,1,90.0,1.70625,,1.70625,1,0,0,0.0,0.0,0.0,18015.16019496178,0,1,0.0,-18015.16019496178,SHORT,0.0,18015.16019496178,0.0,1.0,0.0,1.0,1603648764.3394914,0.0,1.1e-05,0.115,0.4903944357873531,0.3131723085755933,"bearish_strong_close, bounce_and_fail, confirmation_volume, gamma_headwind, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, swing_dte_dominant","bearish_rejection_wick, flag_breakdown, pullback_to_resistance, structural_breakdown, trend_aligned"
VRT,11728.427630176246,6534.597738335934,5,7,28531.791855177355,12,59.916667,0.205232,0.101377,0.279414,12,0,2,0.0,2700.5757636400776,7530.767790421499,3511.8759229776847,5,7,0.0,5193.829891840312,LONG,2345.685526035249,933.5139626194192,0.642095,0.537428,1.7948201403997892,1.0,2855395065.9758787,4e-06,2e-06,0.30261854361561463,0.49031865685282644,0.313170163020823,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
