ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
ACHR,27471.584197099437,0.0,2,0,54943.168394198874,2,56.0,580.96875,580.96875,,2,1,0,14118.317563718876,0.0,14118.317563718876,0.0,2,0,0.0,27471.584197099437,LONG,13735.792098549719,0.0,0.513924,0.0,99.0,1.0,178902341.47694007,0.000154,0.0,10.0,0.115,0.5827057455880995,"call_wall_clear, confirmation_volume, gamma_headwind, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
GLNG,44543.64779171728,38443.16254160183,4,8,121429.97287492093,12,87.166667,7.421904,20.516249,0.874732,12,1,4,15861.063308461373,22346.938971159063,15861.063308461373,6634.1946409152815,4,8,0.0,6100.485250115453,LONG,11135.91194792932,4805.395317700229,0.356079,0.172572,1.1586884336977668,1.0,156350828.99401626,0.000285,0.000246,9.474105731708685,0.5310941802252356,0.5665361991788738,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
KRE,313739.564590535,1283.8818922320686,1,2,315245.8255967659,3,63.333333,1.443071,0.988091,1.670561,3,0,0,0.0,0.0,313739.564590535,1061.502778233225,1,2,0.0,312455.68269830296,LONG,313739.564590535,641.9409461160343,1.0,0.826792,99.0,1.0,1535442951.4671748,0.000204,1e-06,7.511827095491352,0.26041604663315554,0.5062024830894406,"bullish_rejection_wick, call_wall_clear, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_strong_close, confirmation_volume, flag_breakout, structural_breakout, trend_aligned"
BA,41424.088656118874,42503.05318373071,10,7,95234.00422944513,17,68.235294,4.834135,2.803661,7.734813,17,5,1,11304.153319017467,598.3775560411601,23493.780537537823,40715.49556438611,10,7,0.0,-1078.964527611839,SHORT,4142.408865611887,6071.864740532959,0.567153,0.957943,0.9746144230404407,1.0,1440513031.847644,2.9e-05,3e-05,6.927518523300353,0.3732091928078777,0.48823688592473236,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
AA,33370.29453443291,56.76037623461467,5,1,66797.34944510044,6,90.0,11.293747,13.485066,0.337151,6,1,0,15271.631453703789,0.0,15271.631453703789,56.76037623461467,5,1,0.0,33313.5341581983,LONG,6674.058906886583,56.76037623461467,0.457641,1.0,99.0,1.0,394294243.08651024,8.5e-05,0.0,4.067271586749709,0.22739613980123927,0.40029355135927136,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
RKLB,93397.15925892736,55807.31893473181,3,3,165613.98023572256,6,84.833333,6.859676,1.575785,12.143567,6,1,0,4103.176608407044,0.0,70545.95976390976,24517.64593048142,3,3,0.0,37589.84032419555,LONG,31132.386419642455,18602.439644910603,0.755333,0.439327,1.6735647051627387,1.0,1354917889.3688622,6.9e-05,4.1e-05,3.8079030563025795,0.32979392184436956,0.39231880863430524,"call_wall_clear, confirmation_volume, gamma_tailwind, not_extended, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, pullback_to_support, structural_breakout, trend_aligned"
SMH,282891.9211219186,39876.658507205764,4,2,362645.23813633015,6,62.666667,8.754876,12.866619,0.53139,6,0,0,0.0,0.0,91645.600456499,22448.277910071174,4,2,0.0,243015.26261471282,LONG,70722.98028047965,19938.329253602882,0.32396,0.562943,7.094173175789031,1.0,3997509441.3496094,7.1e-05,1e-05,3.314366424409986,0.2992876039726345,0.3771441548013799,"confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned"
CVI,5651.954022055725,54.12182528971977,2,2,5755.693052609722,4,44.0,140.179816,2.583055,277.776578,4,0,2,0.0,54.12182528971977,5650.442819272317,49.61720526427767,2,2,0.0,5597.832196766005,LONG,2825.9770110278623,27.060912644859886,0.999733,0.916769,99.0,1.0,55581414.24045944,0.000102,1e-06,3.1897612495183196,0.3943789460634621,0.37331294902538464,"bullish_strong_close, confirmation_volume, short_dated_noise, strong_trend, trend_aligned","bounce_and_fail, bullish_rejection_wick, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout"
MU,165420.40587257248,196803.13551664344,8,4,451169.86401497514,12,61.666667,1.263831,1.111049,1.569395,12,1,2,12122.879451483604,55177.75737655959,45274.288344478555,110912.36098196449,8,4,0.0,-31382.72964407096,SHORT,20677.55073407156,49200.78387916086,0.273692,0.56357,0.8405374509827515,1.0,16277594132.928183,1e-05,1.2e-05,3.131214451075086,0.3516798248311482,0.3715128244915781,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
META,121633.73043531836,72507.52425211047,7,4,254381.6612099837,11,82.545455,0.240247,0.295927,0.142808,11,1,1,11180.434000841453,20147.586128451752,31342.867155277752,34561.75399566696,7,4,0.0,49126.20618320789,LONG,17376.247205045478,18126.881063027617,0.257682,0.476664,1.6775325276918138,1.0,7390575412.021637,1.6e-05,1e-05,2.812181155463211,0.3206019701561452,0.3617035833750218,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, not_extended, structural_breakout, trend_aligned"
