ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
SEI,162.0232670207772,1586354.223468596,3,4,1586516.2479409766,7,37.285714,22.642701,5.404584,35.571289,7,0,0,0.0,0.0,162.02206166100015,1452719.4245975045,3,4,658109004.3427056,157031.5,2607204.0,-1586192.2002015754,SHORT,54.007755673592406,396588.555867149,7e-06,0.08424,0.00010213561676440083,1.0,3454133155.0,4.5e-05,0.000755,0.00015635690128336236,1.148156536157475,0.4889906175654876,7.700000000000001,0.7700000000000001,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned"
DAVE,0.007436358841208271,406066.054989204,13,6,406066.0624265589,19,33.526316,7.965263,2.856607,15.628246,19,2,1,0.00024271851451511972,3.1209851427403004e-07,0.006541192901551725,229380.76527697756,13,6,9469436612.634043,2456520.0,1310990.0,-406066.04755284515,SHORT,0.000572027603169867,67677.675831534,0.120377,0.435115,1.831317528229731e-08,1.0,2617601500.0,0.000938,0.000501,2.185312023888537e-09,0.2585484300476371,0.7178519200000001,7.67367151947735,0.767367151947735,none,none
POET,23704.29919404743,94978.82106324559,1,2,118683.12025729302,3,72.0,1.545451,0.103746,2.266304,3,0,1,0.0,32695.016643185096,23704.29919404743,62283.804420060485,1,2,4.0068183533178,53314.0,175904.0,-71274.52186919816,SHORT,23704.29919404743,47489.410531622794,0.0,0.344235,0.2495745780868657,1.0,887670859.0,6e-05,0.000198,0.2670392854931766,0.534988955085466,0.43512795803319665,7.292569304761905,0.7292569304761904,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target","confirmation_volume, trend_aligned"
SIMO,1734925.920650164,0.006444171809361519,7,8,1734925.9335385074,15,41.6,202.26567,215.398504,176.0,15,0,3,0.0,3.612200472335846e-21,1734925.8996714912,0.00272199148543836,7,8,629030281.421295,2992118.0,398746.5,1734925.9142059921,LONG,247846.56009288057,0.0008055214761701899,0.0,0.577604,99.0,1.0,4384899268.0,0.000682,9.1e-05,0.5652274885802019,1.8370353044337936e-09,0.81,7.280991961791704,0.7280991961791704,none,none
SVIX,0.0,37756.259994579355,0,3,37756.261334750234,3,35.0,11.29965,,11.29965,3,0,2,0.0,37756.25865440848,0.0,37622.060186417024,0,3,14086359.891024478,0.0,168847.5,-37756.259994579355,SHORT,0.0,12585.419998193118,0.0,0.003554,0.0,1.0,437395500.0,0.0,0.000386,0.0,0.2877354704882222,0.18,7.245174424773144,0.7245174424773144,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
TTWO,2.102752092735804e-06,253421.88641839707,3,6,253421.88653194738,9,66.777778,19.532939,39.182662,9.708077,9,0,1,0.0,8.047307959886327e-13,2.102752009198099e-06,253421.8860233178,3,6,1.4290004225545478e+17,771356.0,10791236.0,-253421.88641629432,SHORT,7.009173642452679e-07,42236.98106973284,0.0,0.0,8.297436825421545e-12,1.0,37979486026.0,2e-05,0.000284,1.8455156653921906e-13,0.011120998594035278,0.4197419084563379,6.614409788741869,0.661440978874187,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
W,0.0010848418566314166,1.5286011930745926e-10,6,7,0.002169683866498648,13,45.846154,2.122673,1.812352,2.388663,13,1,2,0.0010846946540397798,1.3761673955697542e-12,0.0010846946540397798,1.1449278004472447e-10,6,7,539186631.0951988,823194.5,1957860.0,0.0010848417037712973,LONG,0.0001808069761052361,2.183715990106561e-11,0.000136,0.250996,99.0,1.0,8127262046.0,0.000101,0.000241,2.2246972606749403e-10,2.6869024005216147e-17,0.5879077866666667,6.591052085714287,0.6591052085714286,"ema_rally, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
ARKK,33701.582509716485,342315.36177654896,3,5,377159.2085406769,8,43.125,1.09124,1.247108,0.997719,8,0,2,0.0,32226.161452374203,30304.112379828464,166612.4169112914,3,5,9.331906091919434,190995.0,566503.0,-308613.77926683245,SHORT,11233.860836572161,68463.07235530979,0.10081,0.513278,0.09845185543182153,1.0,5723514000.0,3.3e-05,9.9e-05,0.01962755893769485,0.11961720082332251,0.3576767574783243,6.0633354936253125,0.6063335493625313,none,not_extended
EWI,0.0,111201.0987543156,0,1,111201.0987543156,1,64.0,592.285714,,592.285714,1,0,0,0.0,0.0,0.0,111201.0987543156,0,1,0.0,0.0,211892.0,-111201.0987543156,SHORT,0.0,111201.0987543156,0.0,0.0,0.0,1.0,667034521.0,0.0,0.000318,0.0,1.66709660824759,0.05,6.000000000000001,0.6000000000000001,none,not_extended
AXTI,26365.854410401287,766282.3137778422,1,4,1558930.4819660857,5,32.8,0.420697,1.136986,0.241624,5,0,1,0.0,154458.7375442114,26365.854410401287,252334.77041272735,1,4,1.1654966888354727,57000.0,1914301.0,-739916.4593674409,SHORT,26365.854410401287,191570.57844446055,0.0,0.670703,0.03440749438730382,1.0,3740103213.0,1.5e-05,0.000512,0.07049499147178023,0.512206662582444,0.2098724280236916,5.937693565162039,0.5937693565162039,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
BAX,0.0,245272.9656929815,0,2,245272.9656929815,2,32.5,23.022574,,23.022574,2,0,0,0.0,0.0,0.0,245272.9656929815,0,2,5.453197442995504e+31,0.0,644097.5,-245272.9656929815,SHORT,0.0,122636.48284649075,0.0,0.0,0.0,1.0,9049879892.0,0.0,7.1e-05,0.0,0.13551172425492644,0.18,5.817408648037019,0.5817408648037019,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
