ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
HUT,2194.730305365957,36795.305441323275,1,6,77973.96812794733,7,74.714286,10.154069,0.304511,11.795663,7,0,0,0.0,0.0,2194.730305365957,15930.244815475226,1,6,10406.340843562682,31280.0,966729.5,-34600.57513595732,SHORT,2194.730305365957,6132.5509068872125,0.0,0.567058,0.05964701961411487,1.0,5608678825.0,6e-06,0.000172,0.19768105974564493,6.883291214669756,0.6883291214669756,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, trend_aligned",room_to_target
ARM,155648.1524027525,162574.3378479711,6,13,480466.7514493861,19,56.210526,7.466359,1.860088,10.053869,19,0,8,0.0,72288.58906285914,99736.28806756201,70073.13393629158,6,13,87.51860711573227,551284.0,765789.5,-6926.185445218609,SHORT,25941.35873379208,12505.718295997776,0.35922,0.568978,0.9573968097493005,1.0,163548326642.0,3e-06,5e-06,0.42090708461254217,6.349855548983473,0.6349855548983473,none,none
EEFT,0.0,581866.1582868657,0,1,581866.1582868657,1,49.0,11.538462,,11.538462,1,0,0,0.0,0.0,0.0,581866.1582868657,0,1,0.0,0.0,618750.0,-581866.1582868657,SHORT,0.0,581866.1582868657,0.0,0.0,0.0,1.0,2695330884.0,0.0,0.00023,0.05,6.000000000000001,0.6000000000000001,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target"
DOW,51926.95031918091,33508.57644120002,6,6,111529.08586674221,12,66.0,85.470035,2.084008,168.856062,12,1,0,23.126059088892738,0.0,50218.9181090279,25228.327326124872,6,6,53.43935316162751,510504.0,1698618.0,18418.373877980892,LONG,8654.491719863485,5584.7627402000035,0.032893,0.247108,1.5496614847336465,1.0,28321069822.0,1.8e-05,6e-05,0.43343919580861173,5.800170385106814,0.5800170385106813,none,trend_aligned
FXI,251.33085120438918,35608.00585736509,2,3,36784.899279539306,5,78.0,0.458235,0.028107,0.744987,5,0,1,0.0,34933.774137599656,140.92247399263508,34933.774137599656,2,3,39.3207340281121,79678.0,654133.0,-35356.6750061607,SHORT,125.66542560219459,11869.335285788364,0.439295,0.018935,0.00705826808193485,1.0,5818591318.0,1.4e-05,0.000112,0.2618743439658113,5.190168152026338,0.5190168152026338,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
CRM,12920.065735941365,139166.30322551553,4,10,197203.9244170776,14,75.5,0.649127,0.305931,0.786405,14,1,6,6704.742733607108,58737.37282392033,6704.742733607108,43758.128208621216,4,10,8.254985809621775,456017.0,2100389.0,-126246.23748957417,SHORT,3230.0164339853413,13916.630322551553,0.48106,0.68557,0.09283903816144862,1.0,171345720000.0,3e-06,1.2e-05,0.2668938355551523,5.1346091545696915,0.5134609154569691,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target"
MELI,0.40174655817540084,156519.7033277661,1,5,160146.7268176031,6,49.333333,3.064087,,3.064087,6,1,1,0.40174655817540084,94766.97716636783,0.40174655817540084,94766.97716636783,1,5,508.89369821004647,31545.0,283800.0,-156519.30158120792,SHORT,0.40174655817540084,31303.94066555322,0.0,0.394536,2.566747506121373e-06,1.0,82686596870.0,0.0,3e-06,0.1925,4.986319305374762,0.49863193053747623,"confirmation_volume, flag_breakdown, momentum_aligned, not_extended, trend_aligned",room_to_target
AMAT,62628.46002544129,828898.2249898546,6,11,985036.3210322566,17,79.0,0.768697,1.171232,0.527175,17,1,2,2008.1308937597428,338903.6072789357,38824.74074880585,221156.83792892098,6,11,19.231856452979347,485214.5,1257829.0,-766269.7649644134,SHORT,10438.076670906881,75354.38408998678,0.380078,0.733192,0.07555627233513237,1.0,268676620473.0,2e-06,5e-06,0.35297742163628243,4.96377736796258,0.496377736796258,none,trend_aligned
GEV,52179.3439388084,112921.02529539749,10,13,246782.09916294226,23,71.391304,1.480058,1.436419,1.516425,23,3,3,41495.64304027335,26590.1326648651,40269.06708507571,45367.29622378751,10,13,31.63409474965277,1353282.5,1895187.0,-60741.681356589084,SHORT,5217.93439388084,8686.232715030575,0.228257,0.598239,0.4620870542249244,1.0,235331565608.0,6e-06,8e-06,0.422261989724189,4.810508441967762,0.48105084419677624,none,none
INOD,0.0,120.90860306805367,0,3,241.81625965738593,3,75.333333,0.718185,,0.718185,3,0,0,0.0,0.0,0.0,120.9073995902993,0,3,470460.41938631725,0.0,241153.5,-120.90860306805367,SHORT,0.0,40.302867689351224,0.0,1e-05,0.0,1.0,1336698277.0,0.0,0.00018,0.18,4.697577666666667,0.4697577666666667,none,not_extended
