ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
MRVL,121546.88297473751,754953.4371754163,9,3,1746259.780068379,12,72.416667,95.385812,115.837181,34.031706,12,7,1,118365.62919263855,500289.61263530375,74089.31252146073,500289.61263530375,9,3,10500453.5,1748136.5,78748.51054811082,145571.59429180197,0,0,-633406.5542006787,SHORT,13505.20921941528,251651.14572513875,0.390447,0.337324,0.16099917821355073,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.3333,0,0.0,144749108000.0,7.3e-05,1.2e-05,,,,,1e-06,1e-06,0.660451,0.192822,0.0,0.0,0.000933008113557099,0.01738533309131955,5.796256965213863,0.3769371105096626,0.9944,0.0,1.7,1.2444,1.05,0.6,0.2075,0.7867,0.052,1.7,0.3111,0.15,0.6,0.1695,0.708630840483594,0.34214371558909357,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,562587.0,16430935.0,3496273.0,0.0,0.0,0.5796256965213863,none,not_extended
AXTI,92973.34152281508,0.0,10,0,185943.88307632573,10,71.4,12.172617,12.172617,,10,1,0,0.00016068029927554628,0.0,33919.554229936424,0.0,10,0,11408263.0,0.0,48261.13342273694,0.0,0,0,92973.34152281508,LONG,9297.334152281508,0.0,0.635169,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.1,0,0.0,4183024797.0,0.002727,0.0,,,,,1.2e-05,0.0,0.519083,0.0,0.0,0.0,0.022226342427970808,0.0,5.540235454155564,0.11360791413873897,1.2358,0.0721,1.7,1.4,0.15,0.6,0.3823,0.5361,0.0,0.0,0.0,0.0,0.6,0.0,0.720440786946289,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,532950.0,14914004.0,0.0,0.0,0.0,0.5540235454155564,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none
NPO,7.042274180914269e-23,0.0,1,0,7.042274180914269e-23,1,78.0,18.181818,18.181818,,1,0,0,0.0,0.0,7.042274180914269e-23,0.0,1,0,655500.0,0.0,3.7455067985630614e-23,0.0,0,0,7.042274180914269e-23,LONG,7.042274180914269e-23,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,6135997729.0,0.000107,0.0,1428672.0,729504.0,0.4588176992339739,0.0,0.0,0.0,0.53186,0.0,0.0,0.0,1.1476983030210422e-28,0.0,5.1149945308210665,0.1578720852059578,2.815,0.0,1.7,0.0,0.0,0.6,0.0,0.9787,0.0,0.0,0.0,0.0,0.6,0.0,0.52,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,655500.0,0.0,0.0,0.0,0.5114994530821066,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none
TSEM,356822.30408130755,0.0,5,0,356822.30408146424,5,90.2,77.459954,77.459954,,5,3,0,4.5807072252677884e-14,0.0,356822.30408115085,0.0,5,0,8535951.5,0.0,190356.10561341033,0.0,0,0,356822.30408130755,LONG,71364.4608162615,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.6,1,0.2,22451821666.0,0.00038,0.0,,,,,8e-06,0.0,0.533476,0.0,0.0,0.0,0.03178559935042266,0.0,5.006856180414517,0.09400228927137436,1.7801,0.1117,1.7,0.6222,0.45,0.3429,0.0,0.5972,0.0,0.0,0.0,0.0,0.3429,0.0,0.6126735300655132,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,16338689.0,0.0,0.0,0.0,0.5006856180414517,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned
FN,68.49471641576612,8.811870577598453e-12,2,2,68.49471641577493,4,66.25,32.262784,12.911932,51.613636,4,0,0,0.0,0.0,68.49471641576612,6.237342683172392e-12,2,2,1987500.0,5642400.0,16.921229308055878,4.15280308375625e-12,0,0,68.49471641575731,LONG,34.24735820788306,4.405935288799227e-12,0.0,0.292166,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.25,24700674627.0,8e-05,0.000228,,,,,0.0,0.0,0.247044,0.471274,0.0,0.0,1.3864948518631836e-05,1.7837307504075834e-18,4.1046202360253305,0.540365673189473,1.6491,0.0,1.7,0.1556,0.0,0.6,0.0,2.8108,0.0,1.7,0.1556,0.0,0.6,0.1373,0.490832648015974,0.5492816984126985,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,3405000.0,5642400.0,0.0,0.0,0.4104620236025331,none,none
SMH,946902.2545970471,0.0,3,0,1893804.5091940942,3,84.0,16.448158,16.448158,,3,3,0,946902.2545970471,0.0,338726.88816180447,0.0,3,0,1415691.0,0.0,345177.40332175256,0.0,3,0,946902.2545970471,LONG,315634.08486568235,0.0,0.642279,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,1.0,0,0.0,55697944487.0,2.5e-05,0.0,,,,,6e-06,0.0,0.364533,0.0,0.0,0.0,0.05666889286001423,0.0,3.9652523048438493,0.07648833585820505,0.304,0.2128,1.7,0.3111,0.45,0.6,0.3873,0.1649,0.0,0.0,0.0,0.0,0.6,0.0,0.45662200712997564,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,1191785.0,2831382.0,0.0,0.0,577465.0,0.3965252304843849,none,not_extended
NVDA,3664890.037047243,268295.717072115,6,1,5336644.493885282,7,54.857143,50.073733,57.941241,2.868687,7,0,0,0.0,0.0,675385.6459037551,268295.717072115,6,1,8750552.0,662500.0,2140077.605669996,149506.21376470086,0,0,3396594.3199751284,LONG,610815.0061745405,268295.717072115,0.815715,0.0,13.659890202653367,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,4851252000000.0,2e-06,0.0,2197930506.0,409890540.0,0.003981268732615698,0.001616285167254653,0.0,0.0,0.561827,0.557244,0.0,0.0,0.001259087357602822,0.0005530442802643832,3.813146541735814,0.24304149222708907,0.2354,0.0,1.7,0.7778,0.0,0.6,0.5,0.2197,0.0,1.6107,0.0,0.0,0.6,0.0,0.36195983155876293,0.221070716,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,5184440.0,1502269.0,11200079.0,1325000.0,506000.0,0.0,0.3813146541735814,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none
BURL,142492.08915161225,0.0,3,0,284984.1783032245,3,40.666667,,,,3,0,0,0.0,0.0,142492.08915161225,0.0,3,0,1197337.5,0.0,2922.818287792565,0.0,0,0,142492.08915161225,LONG,47497.36305053742,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,20663029358.0,5.8e-05,0.0,92713.0,856928.0,12.914451047857366,0.0,0.0,0.0,0.020512,0.0,0.0,0.0,0.022986640645771578,0.0,3.80140600668232,0.10787176880441518,2.815,0.0753,0.0,0.3111,0.0,0.6,0.0,0.4787,0.0,0.0,0.0,0.0,0.6,0.0,0.28858290412313287,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,2394675.0,0.0,0.0,0.0,0.380140600668232,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
CRCL,6096.38333234544,0.0,3,0,12192.76666469088,3,86.0,9.779189,9.779189,,3,2,0,1715.1469908543158,0.0,4381.236341491124,0.0,3,0,3637842.0,0.0,4358.031554918605,0.0,0,0,6096.38333234544,LONG,2032.12777744848,0.0,0.281338,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.6667,0,0.0,22812376510.0,0.000159,0.0,,,,,0.0,0.0,0.714855,0.0,0.0,0.0,0.0008908005601948922,0.0,3.780443380332703,0.11128097257071329,0.7398,0.0,1.7,0.3111,0.3,0.6,0.1295,0.5128,0.0,0.0,0.0,0.0,0.6,0.0,0.5940638253968255,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,7275684.0,0.0,0.0,0.0,0.3780443380332703,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
IWM,42421.73101286586,24911.39261729774,6,2,109754.85464302947,8,68.75,16.745027,20.034491,8.521368,8,0,1,0.0,90.56736147619193,24765.109010408723,24820.82525582155,6,2,2513011.5,1681940.0,23671.497844971167,13881.112609654823,0,0,17510.338395568117,LONG,7070.28850214431,12455.69630864887,0.416216,0.003636,1.7029048381425875,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,76263313828.0,3.3e-05,2.2e-05,,,,,0.0,0.0,0.558004,0.557219,0.0,0.0,0.0009270890743208776,0.001633248764503041,3.5384822705532315,0.2883383643279754,0.2348,0.0,1.7,0.7778,0.0,0.6,0.2259,0.2778,0.0,1.7,0.1556,0.15,0.6,0.0,0.44719230667380516,0.34073911189395323,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,1428979.0,1853512.0,5026023.0,1681940.0,0.0,0.0,0.35384822705532315,none,none
