ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bearish_score_raw,checks_passed,checks_failed
IVZ,179177.69137271796,1.5648215076256826e-08,5,4,179177.69137274928,9,98.777778,225.40083,211.828862,242.365789,9,0,2,0.0,6.860058884664621e-09,91834.80560605896,7.141113778053123e-09,5,4,4317320.0,268423.5,85254.82685452705,8.862642245348724e-09,0,0,179177.6913727023,LONG,35835.53827454359,3.9120537690642064e-09,0.487465,0.543647,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,2,0.2222,11007546407.0,0.000392,2.4e-05,8e-06,0.0,0.475812,0.566368,0.0,0.0,0.03255542783971802,3.553974359423481e-15,0.5871656563028086,5.94140905463059,2.815,0.1148,1.7,0.6222,0.0,0.3429,0.2768,2.815,0.0,1.7,0.4667,0.3,0.3429,0.3169,0.595666203220702,0.39972719372626303,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.594140905463059,none,none
SYY,639.3078796242312,2281.4382151551185,5,10,5202.184309934469,15,65.866667,13.743729,11.482153,14.874516,15,2,1,639.3077656405947,1.4354720174687912e-05,639.3076092370002,2281.4381231442853,5,10,1227903.0,416602.5,312.28223608628264,1325.0814636247226,0,1,-1642.1303355308874,SHORT,127.86157592484624,228.14382151551186,0.0,0.0,0.2802214302265309,1.0,0.0,0.1,-0.3076923076923077,-0.2076923076923077,31-90,0.1,0,0.0,36528040599.0,3.4e-05,1.1e-05,0.0,0.0,0.488469,0.58081,0.0,0.0,3.50036776755955e-05,6.245717475515443e-05,0.6037216753043289,5.927500303146996,2.815,0.0,1.7,0.6222,0.3,0.6,0.0,2.0775,0.0,1.7,1.4,0.15,0.6,0.0,0.44222949704643716,0.4250745531955577,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5927500303146995,none,none
NVT,2.6685370763405967,25441.876866768107,6,5,50873.73937598065,11,63.363636,5.703975,5.692527,5.717713,11,0,0,0.0,0.0,1.8628335958719255,25429.193971821267,6,5,818953.0,1104298.0,1.1135404086646774,2007.12784866166,0,0,-25439.208329691766,SHORT,0.4447561793900994,5088.375373353621,0.301927,0.000499,0.00010488758711925886,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,21783342584.0,3.8e-05,5.1e-05,0.0,0.0,0.417285,0.078871,0.0,0.0,2.041726046749022e-07,0.0023359020103237344,0.563175753554874,5.737216753043288,2.4097,0.0,1.7,0.7778,0.0,0.6,0.1442,2.815,0.0,1.7,0.6222,0.0,0.6,0.0,0.4546938694092,0.46292880970490435,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5737216753043288,none,none
WSM,4.086636590237366e-19,1.5695461582306795e-14,1,3,1.5696278909624844e-14,4,78.75,2.559968,0.062687,3.392395,4,0,1,0.0,1.5376381547016042e-18,4.086636590237366e-19,1.0868766233936668e-14,1,3,30510.0,1840246.0,2.5716505128752743e-19,7.30746441415127e-15,0,0,-1.5695052918647772e-14,SHORT,4.086636590237366e-19,5.231820527435598e-15,0.0,0.307522,2.6037058985536024e-05,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.3333,0,0.0,23647298776.0,1e-06,7.8e-05,0.0,0.0,0.629283,0.465578,0.0,0.0,1.7281621165056513e-25,2.2124389669172075e-21,0.14252299916432132,5.724335641932177,0.8252,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.3111,0.15,0.6,0.1482,0.06,0.5314684165185053,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5724335641932177,"confirmation_volume, momentum_aligned, not_extended, room_to_target","continuation_pattern, trend_aligned"
BTDR,22.958151991002822,6381.227205956468,1,3,12735.250549693359,4,46.25,384.737569,0.026152,512.974709,4,0,0,0.0,0.0,22.958151991002822,4375.589469041651,1,3,78739.0,3563113.0,10.136625399477335,879.8287426598134,0,0,-6358.269053965466,SHORT,22.958151991002822,2127.075735318823,0.0,0.314303,0.003597764387635791,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.25,2478974586.0,3.2e-05,0.001437,0.0,0.0,0.441526,0.136181,0.0,0.0,9.2611485896866e-05,0.008580466081949671,0.14796693689126827,5.59427555640113,0.8797,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0151,1.7,0.3111,0.0,0.6,0.1531,0.1736240714508556,0.5679281025580064,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.559427555640113,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
RELY,3491.1293044727613,4541.202310222014,3,3,11509.90554795496,6,48.0,4.571997,2.37037,5.672811,6,0,1,0.0,4541.202307588882,2030.8123927739514,4541.202307588882,3,3,157740.5,366900.0,1735.1811498818229,2240.8127538476483,0,0,-1050.0730057492524,SHORT,1163.7097681575872,1513.734103407338,0.418294,0.0,0.7687676227536501,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.3333,0,0.0,4215194264.0,3.7e-05,8.7e-05,0.0,1e-06,0.497528,0.49344,0.0,0.0,0.00276075002781316,0.003591137225478389,0.5225310099075033,5.576105641932177,2.815,0.0,1.2719,0.3111,0.0,0.6,0.2274,2.815,0.0,1.7,0.3111,0.15,0.6,0.0,0.370437186614433,0.5375826753909148,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5576105641932176,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
DAVE,8942.072752461423,165.53843771430002,1,4,9107.611190175723,5,42.4,13.994156,1.987013,16.995941,5,0,0,0.0,0.0,8942.072752461423,93.5102381969951,1,4,208160.0,1198580.0,1200.2650327346776,55.77660172047103,0,0,8776.534314747123,LONG,8942.072752461423,41.384609428575004,0.0,0.435115,54.01810525658334,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,3070073316.0,6.8e-05,0.00039,0.0,0.0,0.134227,0.33694,0.0,0.0,0.029126577224911535,0.00013480006882211866,0.2521446441312362,5.358163031022336,0.8096,0.1007,1.0112,0.0,0.0,0.6,0.0,2.3521,0.0,1.7,0.4667,0.0,0.6,0.2394,0.3871784426265768,0.5906034523809524,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5358163031022336,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
WCC,0.0,2260.4455976841296,0,2,4520.891195368259,2,49.5,26.248208,,26.248208,2,0,0,0.0,0.0,0.0,2260.4455970580534,0,2,0.0,649240.0,0.0,767.8050314601852,0,1,-2260.4455976841296,SHORT,0.0,1130.2227988420648,0.0,0.0,0.0,1.0,0.0,0.5,-0.3076923076923077,0.1923076923076923,31-90,0.0,0,0.0,15526070600.0,0.0,4.2e-05,0.0,0.0,0.0,0.33967,0.0,0.0,0.0,0.0007279516034418037,0.14250796740164617,5.2705500863766215,0.8251,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.1556,0.0,0.6,0.0,0.06,0.390176973032534,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5270550086376622,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned"
AXSM,3.3174881185661534e-23,0.5981275736364325,2,2,1.196255147272865,4,45.5,38.159722,22.083333,54.236111,4,0,0,0.0,0.0,2.0444092201656656e-23,0.5981275736364325,2,2,138329.0,1116400.0,1.7468780504227645e-23,0.1138644219329912,0,0,-0.5981275736364325,SHORT,1.6587440592830767e-23,0.29906378681821627,0.383748,0.0,5.546455747553722e-23,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,9667460088.0,1.4e-05,0.000115,0.0,0.0,0.526566,0.190368,0.0,0.0,1.7158013006353532e-29,3.093509402634487e-07,0.4046153676358744,5.2705500863766215,1.3879,0.0,1.7,0.1556,0.0,0.6,0.2027,2.815,0.0,1.7,0.1556,0.0,0.6,0.0,0.3172178278892299,0.5355555555555556,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5270550086376622,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
AVTX,9.783579582346705e-07,8.742418630925657e-07,10,7,2.8309577795619068e-06,17,53.352941,3.113927,4.725771,0.811291,17,0,1,0.0,1.3884299714238305e-07,7.950596485683644e-07,2.2331080976861324e-07,10,7,1385065.0,905564.0,9.8177290992062e-08,3.765511437660201e-07,0,0,1.0411609514210474e-07,LONG,9.783579582346705e-08,1.2489169472750938e-07,0.187353,0.744566,1.1190930102269432,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,328837362.0,0.004212,0.002754,0.0,0.0,0.100349,0.430717,0.0,0.0,2.9752031590457486e-12,3.797977637574813e-12,0.6577389530821065,5.170410029868685,2.815,0.0,1.7,1.4,0.0,0.6,0.0624,2.815,0.0,0.2117,0.9333,0.15,0.6,0.4604,0.6662394999999999,0.5255415499047619,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5170410029868685,none,none
