ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
ZS,0.9094854016559017,1512.140416925546,2,6,1513.5812364477895,8,68.75,0.77132,0.259155,0.942042,8,2,4,0.9094854016559017,104.13232972605702,0.6967825402476852,1407.9984066548584,2,6,2619.3034837101854,112350.0,395105.0,-1511.2309315238901,SHORT,0.4547427008279509,252.02340282092436,0.233872,0.068871,0.0006014556528454213,1.0,533256341.99403536,0.000211,0.000741,0.26197399022214574,4.340580421766249,0.43405804217662486,"confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, pullback_to_resistance, structural_breakdown"
AAP,39.45716089562148,68.91349382151368,1,1,177.28414853864885,2,30.5,69.543401,138.631579,0.455223,2,0,0,0.0,0.0,39.45716089562148,68.91349382151368,1,1,3.4930791905588396,3752500.0,675000.0,-29.456332925892205,SHORT,39.45716089562148,68.91349382151368,0.0,0.0,0.5725607382179132,1.0,79798906.86510544,0.047024,0.008459,0.5800000000000001,4.3,0.43,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
SCHW,16.8488579007776,2131.9244079666814,3,2,4297.4129508154065,5,68.2,3.620274,0.254762,8.668542,5,0,1,0.0,2131.7908270471703,16.81835742777824,2131.7908270471703,3,2,22084.372342172475,276027.0,364472.0,-2115.075550065904,SHORT,5.616285966925866,1065.9622039833407,0.00181,6.3e-05,0.00790312162936732,1.0,909160414.8846679,0.000304,0.000401,0.2609401552051197,4.267178583101139,0.42671785831011394,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
MRVL,69.0989603218829,8089.707650106592,5,9,8185.4680505620545,14,67.428571,0.232834,0.176902,0.263908,14,0,2,0.0,22.119463080485538,47.60588308571421,7926.957762325384,5,9,107.8275994976513,793350.0,1191504.5,-8020.608689784709,SHORT,13.81979206437658,898.8564055673992,0.311048,0.020118,0.008541589302176134,1.0,1927089128.4081802,0.000412,0.000618,0.32096921130424405,4.103297650089867,0.41032976500898666,"bearish_rejection_wick, confirmation_volume, ema_rally, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, swing_dte_dominant","bearish_strong_close, bounce_and_fail, flag_breakdown, pullback_to_resistance, structural_breakdown, trend_aligned"
ALAB,0.36482923841411324,132.67353571298904,1,3,226.35954640782336,4,54.25,1.943465,3.0,1.591286,4,0,1,0.0,92.9563522180061,0.36482923841411324,92.9563522180061,1,3,22.792649161265313,46460.0,406490.0,-132.30870647457493,SHORT,0.36482923841411324,44.22451190432968,0.0,0.29936,0.0027498267567342416,1.0,562772275.9501362,8.3e-05,0.000722,0.33,4.079887478084649,0.4079887478084649,"bearish_strong_close, confirmation_volume, healthy_pullback_volume, near_term_oi_dominant, not_extended, pullback_to_resistance, put_wall_clear, trend_aligned","bearish_rejection_wick, bounce_and_fail, flag_breakdown, room_to_target, structural_breakdown"
AEM,5.236436471157525,15132.987778498806,1,3,17595.286517255918,4,58.5,0.968474,1.378049,0.831949,4,1,1,5.236436471157525,2451.825865814795,5.236436471157525,12663.659339834334,1,3,627.9546428708793,41815.0,607675.0,-15127.751342027648,SHORT,5.236436471157525,5044.329259499602,0.0,0.163175,0.0003460279323424511,1.0,477319582.55250853,8.8e-05,0.001273,0.24518294000000002,3.926603862496822,0.3926603862496822,"confirmation_volume, ema_rally, put_wall_clear, room_to_target, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, structural_breakdown"
VST,151.85693389360537,13.006801367620332,5,4,292.84419143595665,9,49.222222,0.377727,0.266954,0.4885,9,0,2,0.0,12.809632640303231,114.8153747282188,12.751107564247866,5,4,32.24599946324553,403806.0,835315.5,138.85013252598503,LONG,30.371386778721075,3.251700341905083,0.243924,0.019658,11.67519435421258,1.0,700246516.2278084,0.000577,0.001193,0.33773796053244254,3.890713426626623,0.3890713426626623,"bearish_strong_close, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_resistance, put_wall_clear, swing_dte_dominant, trend_aligned","bearish_rejection_wick, room_to_target"
HD,1243.110056948908,1870.695294294108,6,3,5957.918069173144,9,67.222222,2.122374,1.805253,2.756615,9,1,0,0.010840798052467567,0.0,1060.2466228647463,900.1103718985795,6,3,54.68021927911307,876129.5,184907.5,-627.5852373451999,SHORT,207.1850094914847,623.565098098036,0.147102,0.518836,0.6645176586163306,1.0,1392923174.025,0.000629,0.000133,0.44068301301274854,3.837692667954338,0.3837692667954338,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
CRWD,91.915184366217,119.3739433139437,5,8,260.95417657320877,13,49.153846,0.27397,0.211724,0.312874,13,3,4,46.30911699390993,8.885603782663052,44.90847378098174,108.44384546410387,5,8,106.0583454655219,533799.5,640076.0,-27.458758947726693,SHORT,18.3830368732434,14.921742914242962,0.511414,0.091562,0.7699769465140948,1.0,2120001479.3000002,0.000252,0.000302,0.3438577394584664,3.77223734339678,0.377223734339678,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
AAOI,6766.620489892327,3967.2555511189494,1,5,14701.131592130227,6,84.833333,7.139394,41.0,0.367273,6,0,0,0.0,0.0,6766.620489892327,1560.061730643026,1,5,7.656940566811293,304920.0,656096.5,2799.3649387733776,LONG,6766.620489892327,793.4511102237899,0.0,0.606766,1.7056174987224675,1.0,1132609116.2982662,0.000269,0.000579,0.38958009507356367,3.638829513654974,0.3638829513654974,"bearish_strong_close, ema_rally, near_term_oi_dominant, not_extended, put_wall_clear, room_to_target","bearish_rejection_wick, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, pullback_to_resistance, structural_breakdown, trend_aligned"
XLI,1123.6666025844384,5085.51036665958,1,3,7332.843571828456,4,68.25,49.554195,0.10819,74.277197,4,0,1,0.0,2905.5369962712452,1123.6666025844384,2905.5369962712452,1,3,2.2435310720204837,35750.0,203706.0,-3961.8437640751413,SHORT,1123.6666025844384,1695.1701222198599,0.0,0.428664,0.220954539774642,1.0,2496668852.120533,1.4e-05,8.2e-05,0.1472196797875543,3.59862346454221,0.359862346454221,"confirmation_volume, ema_rally, gamma_tailwind, healthy_pullback_volume, put_wall_clear, room_to_target, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, not_extended, pullback_to_resistance, structural_breakdown"
SHOO,0.0,0.47288916995321817,0,1,0.9457783399064363,1,31.0,42.372881,,42.372881,1,0,0,0.0,0.0,0.0,0.47288916995321817,0,1,0.0,0.0,75000.0,-0.47288916995321817,SHORT,0.0,0.47288916995321817,0.0,0.0,0.0,1.0,52336891.16455269,0.0,0.001433,0.05,3.5721416485192377,0.35721416485192375,"bearish_strong_close, confirmation_volume, ema_rally, healthy_pullback_volume, near_term_oi_dominant, not_extended, put_wall_clear, strong_trend, trend_aligned","bearish_rejection_wick, bounce_and_fail, flag_breakdown, pullback_to_resistance, room_to_target, structural_breakdown"
UVIX,0.0,0.09488422836470474,0,2,0.18976845672940948,2,46.0,4.329672,,4.329672,2,0,0,0.0,0.0,0.0,0.05052786569638924,0,2,1.1391345605640057,0.0,235520.0,-0.09488422836470474,SHORT,0.0,0.04744211418235237,0.0,0.467479,0.0,1.0,623319492.1334872,0.0,0.000378,0.09936249762444024,3.562011904154593,0.3562011904154593,"ema_rally, gamma_headwind, gamma_tailwind, healthy_pullback_volume, near_term_oi_dominant, not_extended, put_wall_clear, room_to_target","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, pullback_to_resistance, structural_breakdown, trend_aligned"
GOOG,116.40929057095498,24358.12415934486,4,7,35429.64491796913,11,70.818182,0.236313,0.308006,0.195345,11,1,1,3.3792391368711634,12216.362850636584,103.05230269298298,12216.362850636584,4,7,29.913040125416693,1224525.0,1544347.0,-24241.714868773906,SHORT,29.102322642738745,3479.7320227635514,0.114742,0.498469,0.004779074521889863,1.0,5730693793.067783,0.000214,0.000269,0.2683724198669805,3.4824055913110765,0.34824055913110763,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
GDX,0.0,42007.73298905113,0,2,46248.046669831674,2,73.0,0.507416,,0.507416,2,0,1,0.0,4240.313680780537,0.0,37767.4193082706,0,2,4.453375640516122,0.0,1072261.0,-42007.73298905113,SHORT,0.0,21003.866494525566,0.0,0.100941,0.0,1.0,2279809350.173809,0.0,0.00047,0.18,3.4554899851379273,0.3455489985137927,"confirmation_volume, ema_rally, gamma_headwind, gamma_tailwind, put_wall_clear, strong_trend, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown"
SOXS,1483.5467319599088,4589.98031504498,1,1,10663.507362049868,2,56.0,4.552239,1.328358,7.776119,2,1,1,1483.5467319599088,4589.98031504498,1483.5467319599088,4589.98031504498,1,1,6.187847293467017,66439.0,170135.0,-3106.433583085071,SHORT,1483.5467319599088,4589.98031504498,0.0,0.0,0.3232141817900957,1.0,2190147622.7168655,3e-05,7.8e-05,0.24220148,3.4250000000000003,0.3425,"ema_rally, healthy_pullback_volume, near_term_oi_dominant, not_extended, put_wall_clear, room_to_target, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, pullback_to_resistance, structural_breakdown"
XOP,7.946982428924152,141.60191590692355,1,1,149.5488983358477,2,57.5,2.352796,0.265591,4.44,2,0,1,0.0,141.60191590692355,7.946982428924152,141.60191590692355,1,1,17.818325027565635,51660.0,106555.0,-133.6549334779994,SHORT,7.946982428924152,141.60191590692355,0.0,0.0,0.05612199791242788,1.0,1130455164.5398133,4.6e-05,9.4e-05,0.18,3.4250000000000003,0.3425,"bearish_rejection_wick, gamma_tailwind, healthy_pullback_volume, pullback_to_resistance, put_wall_clear, room_to_target, swing_dte_dominant","bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, not_extended, structural_breakdown, trend_aligned"
MU,50309.719908244726,59854.22761284805,8,4,137215.41408331014,12,61.666667,1.263831,1.111049,1.569395,12,1,2,3686.961511600788,16781.3487346791,13769.382039906393,33732.052499394515,8,4,2.1274330136032704,1171992.5,1410716.0,-9544.507704603326,SHORT,6288.714988530591,14963.556903212013,0.726308,0.43643,0.8405374509827516,1.0,16277594132.928183,7.2e-05,8.7e-05,0.3387448853550491,3.3995380957802053,0.3399538095780205,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
VRT,3566.9958970649545,1987.383480258038,5,7,8677.444896490319,12,59.916667,0.205232,0.101377,0.279414,12,0,2,0.0,821.3328309953906,2290.351158502116,1068.0755684617163,5,7,130.0705106313219,464264.0,519640.0,1579.6124168069166,LONG,713.3991794129909,283.91192575114826,0.357905,0.462572,1.7948201403997899,1.0,2855395065.9758787,0.000163,0.000182,0.27289311326920695,3.3742036934485267,0.33742036934485264,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
BRKB,0.0,66446.56518818151,0,5,132893.13037636303,5,71.8,1.091648,,1.091648,5,0,2,0.0,60927.985093352414,0.0,58679.27158108397,0,5,26.983350090668214,0.0,1741071.0,-66446.56518818151,SHORT,0.0,13289.313037636302,0.0,0.116895,0.0,1.0,,0.0,0.0,0.18,3.347847759464778,0.3347847759464778,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
VIAV,0.0,4209.0518998306625,0,1,8418.103799661325,1,56.0,5.050505,,5.050505,1,0,0,0.0,0.0,0.0,4209.0518998306625,0,1,0.0,0.0,194220.0,-4209.0518998306625,SHORT,0.0,4209.0518998306625,0.0,0.0,0.0,1.0,200593507.12739468,0.0,0.000968,0.05,3.2931398390696707,0.3293139839069671,"bearish_strong_close, confirmation_volume, ema_rally, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, swing_dte_dominant","bearish_rejection_wick, bounce_and_fail, flag_breakdown, pullback_to_resistance, structural_breakdown, trend_aligned"
SHLS,0.0,1722.481794498405,0,1,3444.96358899681,1,119.0,109.6,,109.6,1,0,1,0.0,1722.481794498405,0.0,1722.481794498405,0,1,0.0,0.0,44165.5,-1722.481794498405,SHORT,0.0,1722.481794498405,0.0,0.0,0.0,0.7,41367499.18826029,0.0,0.001068,0.02857142857142857,3.272944916900273,0.3272944916900273,"ema_rally, healthy_pullback_volume, near_term_oi_dominant, not_extended, put_wall_clear, room_to_target, strong_trend, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, pullback_to_resistance, structural_breakdown"
