ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bullish_score_raw
GLNG,213040.68058661115,0.0,5,0,213040.68058661115,5,83.6,16.44,16.44,,5,1,0,75814.22526019996,0.0,75814.22526019996,0.0,5,0,213040.68058661115,LONG,42608.13611732223,0.0,0.36,0.0,inf,1.0,10.0,0.05,0.8892103826035621
SPY,314653.71457148204,353096.6318152837,2,3,667750.3463867657,5,51.8,0.84,0.77,0.88,5,1,2,125392.99319072015,211847.9107828262,189260.72138076185,141248.72103245748,2,3,-38442.91724380164,SHORT,157326.85728574102,117698.87727176123,0.6,0.4,0.8911263552808049,1.0,6.387896111832716,0.7553486475050599,0.6458054992348274
NEM,272422.25374260487,0.0,2,0,272422.25374260487,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,136309.67469731756,0.0,2,0,272422.25374260487,LONG,136211.12687130243,0.0,0.5,0.0,inf,1.0,5.440685083571953,0.05,0.5819768284663435
NFLX,210478.8329722302,0.0,1,0,210478.8329722302,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,210478.8329722302,0.0,1,0,210478.8329722302,LONG,210478.8329722302,0.0,1.0,0.0,inf,1.0,5.316883292005003,0.05,0.5736343329096935
SLV,237485.1045871742,0.0,2,0,237485.1045871742,2,90.0,0.07,0.07,,2,0,0,0.0,0.0,120908.54758468868,0.0,2,0,237485.1045871742,LONG,118742.5522935871,0.0,0.51,0.0,inf,1.0,5.302699325937301,0.05,0.572678533543644
AMAT,170559.28628646527,0.0,1,0,170559.28628646527,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,170559.28628646527,0.0,1,0,170559.28628646527,LONG,170559.28628646527,0.0,1.0,0.0,inf,1.0,5.255282475666271,0.05,0.5694833062558184
TQQQ,169587.76337447367,0.0,1,0,169587.76337447367,1,90.0,0.28,0.28,,1,0,0,0.0,0.0,169587.76337447367,0.0,1,0,169587.76337447367,LONG,169587.76337447367,0.0,1.0,0.0,inf,1.0,5.205297311537358,0.05,0.5661150108186852
SOXS,23316.148707918772,0.0,1,0,23316.148707918772,1,56.0,1.33,1.33,,1,1,0,23316.148707918772,0.0,23316.148707918772,0.0,1,0,23316.148707918772,LONG,23316.148707918772,0.0,1.0,0.0,inf,1.0,5.07871593811552,0.05,0.5575852106279079
TSM,83182.4033511375,0.0,1,0,83182.4033511375,1,90.0,0.13,0.13,,1,0,0,0.0,0.0,83182.4033511375,0.0,1,0,83182.4033511375,LONG,83182.4033511375,0.0,1.0,0.0,inf,1.0,4.7983431406347465,0.05,0.5386920364049484
ORCL,60672.35671840806,101877.26648314546,1,1,162549.62320155354,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,60672.35671840806,101877.26648314546,1,1,-41204.9097647374,SHORT,60672.35671840806,101877.26648314546,1.0,1.0,0.595543626295133,1.0,4.71311440500125,0.5529537194954608,0.5329488210659618
BMNR,38747.94281954527,0.0,1,0,38747.94281954527,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,38747.94281954527,0.0,1,0,38747.94281954527,LONG,38747.94281954527,0.0,1.0,0.0,inf,1.0,4.443298050781012,0.05,0.5147670023078982
USAR,240.93563777464294,0.0,3,0,240.93563777464294,3,31.33,1.26,1.26,,3,2,0,1.0246732239804186,0.0,239.91096455066253,0.0,3,0,240.93563777464294,LONG,80.31187925821432,0.0,1.0,0.0,inf,1.0,4.064256139093125,0.05,0.48922492069488466
CRM,2557.028459073001,536.3279200127097,1,3,3093.356379085711,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2557.028459073001,227.66727895429835,1,3,2020.7005390602915,LONG,2557.028459073001,178.7759733375699,1.0,0.42,4.767658672351806,1.0,3.0859733004601737,0.45105644337454404,0.42330244791686455
NOW,305.76471540273377,0.0,1,0,305.76471540273377,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,305.76471540273377,0.0,1,0,305.76471540273377,LONG,305.76471540273377,0.0,1.0,0.0,inf,1.0,1.8628511932817922,0.05,0.34088125986113293
HOOD,6.768757160756181,49265.94498512589,1,3,49272.71374228664,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.768757160756181,48312.585932500464,1,3,-49259.17622796514,SHORT,6.768757160756181,16421.98166170863,1.0,0.98,0.0001373922120604764,1.0,0.0,0.6138815190258559,0.21535134946198226
