ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
UVXY,18092.216167059767,0.39519306233150825,2,1,18354.466459030853,3,75.333333,0.865008,1.288506,0.018011,3,1,0,17830.756261213344,0.0,17830.756261213344,0.39519306233150825,2,1,0.0,18091.820973997437,LONG,9046.108083529884,0.39519306233150825,0.985548,1.0,99.0,1.0,525579883.8161316,3.4e-05,0.0,2.4370020504869663,0.17749579363581586,0.3499004691660223,"bounce_and_fail, bullish_strong_close, call_wall_clear, healthy_pullback_volume, not_extended, short_dated_noise, strong_trend, trend_aligned","bullish_rejection_wick, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout"
WULF,14850.704098956812,63.48782743739835,5,1,15878.36847506804,6,58.0,0.716257,0.743034,0.582372,6,0,1,0.0,63.48782743739835,13886.527550282983,63.48782743739835,5,1,0.0,14787.216271519414,LONG,2970.1408197913624,63.48782743739835,0.935075,1.0,99.0,1.0,457559667.9592819,3.2e-05,0.0,2.376210992654778,0.24054948052785868,0.34803150625338014,"call_wall_clear, confirmation_volume, healthy_pullback_volume, not_extended, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
LYV,23471.224941845525,29551.267746676807,2,7,82573.76043519915,9,87.111111,5.128924,0.328579,6.500451,9,1,3,10582.675552660028,19010.756845453565,12888.549389185497,6563.5467050833795,2,7,0.0,-6080.042804831282,SHORT,11735.612470922762,4221.609678096686,0.549121,0.222107,0.7942544172063476,1.0,496934926.70155334,4.7e-05,5.9e-05,2.225221724519292,0.3799219522099116,0.34338948565997,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
FCX,2694.007761157421,4437.851888895188,5,4,9830.746559944182,9,74.444444,0.138149,0.128169,0.150624,9,2,0,9.866241746163466,0.0,2627.838779707574,4408.256026856843,5,4,0.0,-1743.8441277377665,SHORT,538.8015522314843,1109.462972223797,0.975438,0.993331,0.6070522019670422,1.0,1011453069.5733621,3e-06,4e-06,2.172196633317786,0.2944986097537444,0.3417592799614831,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
GS,8892.429250424653,16931.23576899863,5,3,34716.09426984794,8,63.5,0.29626,0.302573,0.285739,8,2,2,3947.7798542239593,144.92379268558665,4599.108643193773,16786.311976313045,5,3,0.0,-8038.806518573978,SHORT,1778.4858500849307,5643.745256332877,0.517194,0.99144,0.5252085182528045,1.0,2116556846.8655272,4e-06,8e-06,1.9226127095718064,0.3338908037340447,0.33408606100943594,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
CRM,29149.117206639337,27836.488045696962,3,8,113378.23909147305,11,59.272727,2.639979,0.38381,3.486042,11,1,2,24042.41952900037,12437.580251131432,24042.41952900037,11363.304079735288,3,8,0.0,1312.6291609423752,LONG,9716.372402213112,3479.5610057121203,0.824808,0.408216,1.0471549844501769,1.0,2818850071.0199037,1e-05,1e-05,1.8383121806843852,0.3415891731252653,0.3314943219013317,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
HD,3745.147830259154,5635.889101965119,6,3,17949.564324490613,9,67.222222,2.122374,1.805253,2.756615,9,1,0,0.032660335323910224,0.0,3194.2307255621367,2711.7843568763574,6,3,0.0,-1890.7412717059651,SHORT,624.1913050431923,1878.6297006550396,0.852898,0.481164,0.6645176586163304,1.0,1392923174.025,3e-06,4e-06,1.7837838918424866,0.26938691494943834,0.32981790182953974,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
AVGO,120328.27615668312,34812.015876394275,4,4,189952.30790947168,8,80.875,0.120806,0.065681,0.17593,8,0,0,0.0,0.0,60983.73023318976,13577.22650917463,4,4,0.0,85516.26028028884,LONG,30082.06903917078,8703.003969098569,0.506811,0.390016,3.4565156061036006,1.0,9252010792.059778,1.3e-05,4e-06,1.5903888294411392,0.2920820536073322,0.3238721556621676,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
AAOI,20385.961729009607,11952.247056728127,1,5,44290.45584246586,6,84.833333,7.139394,41.0,0.367273,6,0,0,0.0,0.0,20385.961729009607,4700.035827823895,1,5,0.0,8433.71467228148,LONG,20385.961729009607,2390.4494113456253,1.0,0.393234,1.705617498722468,1.0,1132609116.2982662,1.8e-05,1.1e-05,1.570037303288598,0.28870073799745877,0.3232464674614496,"call_wall_clear, not_extended, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, pullback_to_support, structural_breakout, trend_aligned"
SQQQ,40403.8362226422,0.0,2,0,40403.8362226422,2,45.5,5.231884,5.231884,,2,1,0,29619.71681898144,0.0,29619.71681898144,0.0,2,0,0.0,40403.8362226422,LONG,20201.9181113211,0.0,0.733092,0.0,99.0,1.0,4803571705.837501,8e-06,0.0,1.5613487929219554,0.115,0.3229793475227542,"bounce_and_fail, call_wall_clear, healthy_pullback_volume, not_extended, short_dated_noise, trend_aligned","bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout"
