ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
OKTA,507923.51177310565,364253.62452405354,5,11,1236429.7784517931,16,53.4375,2.009469,2.54987,1.763832,16,0,2,0.0,3.887540099014566,250838.3760129015,136163.1171375548,5,11,60260.75328769116,751314.0,1060437.5,143669.88724905212,LONG,101584.70235462113,33113.96586582305,0.506149,0.626186,1.3944226702940188,1.0,317847887.4949646,0.002364,0.003336,7.01635322331581,0.7347998068794597,0.701635322331581,none,none
BA,113.48659100053358,27897.544468163243,8,5,55822.16210112672,13,65.538462,6.164915,3.444104,10.518212,13,4,2,30.12233883513213,27782.36183193876,65.12952716647781,27780.703007926604,8,5,1460.771746944937,2625027.0,618469.5,-27784.05787716271,SHORT,14.185823875066697,5579.508893632648,0.426104,0.004188,0.004067977779551343,1.0,1441062626.3378906,0.001822,0.000429,6.712968129037419,0.48787432269214676,0.6712968129037419,none,trend_aligned
CIEN,944034.301375484,0.0,4,0,944037.4250240652,4,66.75,4.15161,4.15161,,4,1,0,944030.9709478376,0.0,944030.9709478376,0.0,4,0,4565439.045355723,1407013.0,0.0,944034.301375484,LONG,236008.575343871,0.0,4e-06,0.0,99.0,1.0,1279645538.6785889,0.0011,0.0,6.708094598377494,0.18,0.6708094598377494,none,not_extended
VST,311927.0915127318,0.11622782468107144,7,1,476350.60616878787,8,61.875,2.215403,2.476883,0.646526,8,0,1,0.0,0.11622782468107144,164422.23366874238,0.11622782468107144,7,1,1150942.6289309235,742806.0,94977.5,311926.9752849071,LONG,44561.0130732474,0.11622782468107144,0.472882,0.0,99.0,1.0,718224214.4148254,0.001034,0.000132,6.281341533516831,0.21274839396101625,0.6281341533516831,none,trend_aligned
LMT,362434.82333185954,546706.6239466371,10,3,1271576.261870927,13,48.0,73.916302,60.041193,120.166667,13,2,0,0.008411099020211556,0.0,107736.79942306709,420779.2928180785,10,3,1.2005552021814874,645825.0,685700.0,-184271.8006147776,SHORT,36243.48233318595,182235.5413155457,0.702742,0.230338,0.6629420743349838,1.0,1200345730.4379272,0.000538,0.000571,6.101642815811552,0.5276552294602123,0.6101642815811552,none,none
NVDL,362290.3414544293,30.263773113184527,2,1,362350.86900065566,3,36.666667,151.190476,300.0,2.380952,3,1,0,362289.2436222133,0.0,362289.2436222133,30.263773113184527,2,1,330059.33501171705,496000.0,118125.0,362260.0776813161,LONG,181145.17072721466,30.263773113184527,3e-06,0.0,99.0,1.0,770502927.1591187,0.000644,0.000153,6.032157024794815,0.3110028023864675,0.6032157024794815,none,trend_aligned
WEN,406215.02014568844,0.0,1,0,812430.0402913769,1,53.0,100.671141,100.671141,,1,0,0,0.0,0.0,406215.02014568844,0.0,1,0,0.0,468750.0,0.0,406215.02014568844,LONG,406215.02014568844,0.0,0.0,0.0,99.0,1.0,60513612.152347565,0.007746,0.0,6.000000000000001,0.05,0.6000000000000001,none,trend_aligned
OXY,260915.81411075688,73338.04743331224,27,2,334253.86154406914,29,82.758621,0.394063,0.396722,0.358177,29,0,0,0.0,0.0,160698.30719328337,73282.37373503447,27,2,442.3681904355922,7015619.0,229864.0,187577.76667744463,LONG,9663.548670768774,36669.02371665612,0.384099,0.000759,3.5577142185031976,1.0,1230959280.4867172,0.005699,0.000187,5.970839029734572,0.3022299350274865,0.5970839029734571,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
VSAT,2.5230899446266735,0.024587182580662073,2,3,2.5538987637459356,5,73.4,10.898001,21.275862,0.52014,5,0,0,0.0,0.0,2.4459313522449184,0.011135286085127897,2,3,27.502740993889596,947000.0,276600.0,2.4985027620460114,LONG,1.2615449723133367,0.008195727526887358,0.030581,0.54711,99.0,1.0,73129426.98783875,0.01295,0.003782,5.933333333333333,0.4687465717659077,0.5933333333333333,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, trend_aligned",room_to_target
GLNG,123.5575123451398,106.57224771117983,5,8,336.7020077674995,13,87.538462,6.859666,16.43556,0.874732,13,1,4,43.97008612501154,61.950249619649234,43.97008612501154,18.391333800144366,5,8,1.4538643982723363,554206.0,352372.5,16.98526463395997,LONG,24.71150246902796,13.321530963897478,0.644133,0.827428,1.1593779337374166,1.0,156479931.06002808,0.003542,0.002252,5.917096439062286,0.5190734196033946,0.5917096439062286,none,not_extended
CORZ,2.8018648139099604,35844.39473392944,1,2,71691.59133267279,3,56.0,5.316403,15.649452,0.149878,3,0,2,0.0,35844.39473392944,2.8018648139099604,35843.78861091679,1,2,25586.09862687067,1884000.0,87290.5,-35841.59286911553,SHORT,2.8018648139099604,17922.19736696472,0.0,1.7e-05,7.816744667354594e-05,1.0,203396366.84838772,0.009263,0.000429,5.800000000000001,0.3453227769788761,0.5800000000000001,none,trend_aligned
EXPE,3.7963151355288693,1.2210091622228514,8,4,8.378157829834882,12,64.5,2.041508,1.824572,2.47538,12,1,2,0.06967209108084478,1.210987477958914,0.8636754450958817,1.2089027862261779,8,4,16.757831371603515,795432.5,213107.5,2.575305973306018,LONG,0.47453939194110867,0.30525229055571285,0.772496,0.009915,3.109161874442993,1.0,702044027.4362183,0.001133,0.000304,5.537466572736567,0.417796288538453,0.5537466572736567,none,trend_aligned
IBIT,443515.70723845524,57884.275670443036,11,6,615156.127381598,17,61.823529,0.225903,0.234671,0.20983,17,3,1,200905.53791557142,28.317392864422242,200869.15186850468,57761.19680572446,11,6,2424.5770247562955,1213716.0,453351.0,385631.4315680122,LONG,40319.609748950475,9647.379278407172,0.547098,0.002126,7.66211034173697,1.0,2543890266.6308784,0.000477,0.000178,5.360991938594281,0.3113093000586349,0.5360991938594281,none,trend_aligned
CVX,236790.41209195086,142074.0764237499,12,11,647012.3444543293,23,67.478261,1.215448,1.519016,0.884283,23,2,4,1.4455105120959493,31465.579280765607,180286.35225889654,110330.16961643852,12,11,109286.02800458224,1182957.5,1500750.0,94716.33566820095,LONG,19732.534340995906,12915.82512943181,0.238625,0.223432,1.6666686706848628,1.0,2853539377.7645874,0.000415,0.000526,5.248747066803983,0.5085387838311832,0.5248747066803983,none,none
MOD,0.5042485741158763,0.0,2,0,0.5044961926548478,2,31.0,3.126916,3.126916,,2,0,0,0.0,0.0,0.5040009555769048,0.0,2,0,1017.6963277272135,363978.0,0.0,0.5042485741158763,LONG,0.25212428705793816,0.0,0.000491,0.0,99.0,1.0,209916386.0092926,0.001734,0.0,5.143859184384927,0.18,0.5143859184384927,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none
BE,269630.456452349,27562.647216518486,5,5,322767.34016427485,10,78.4,0.834525,0.888412,0.780638,10,0,0,0.0,0.0,138549.72816410035,25487.583884815725,5,5,168.09130926646012,1027266.0,5919190.0,242067.80923583053,LONG,53926.091290469805,5512.529443303697,0.48615,0.075285,9.782458641735893,1.0,1571284972.0922852,0.000654,0.003767,4.833606838634321,0.4827753991244908,0.4833606838634321,none,none
IDYA,0.007671048674122207,0.0,3,0,0.015342097348244413,3,31.0,1.377246,1.377246,,3,0,0,0.0,0.0,0.00307940422128821,0.0,3,0,1.4910820804529423,141025.0,0.0,0.007671048674122207,LONG,0.002557016224707402,0.0,0.598568,0.0,99.0,1.0,29397218.75,0.004797,0.0,4.763916176565253,0.11461355681962751,0.47639161765652527,none,trend_aligned
