ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_z_shadow,bearish_score_z_shadow,bullish_zscore_tier,bearish_zscore_tier,bullish_score_raw,checks_passed,checks_failed
KWEB,73692.45350390126,30390.285739393927,6,4,114864.22828606084,10,61.1,796.197759,1326.879084,0.175773,10,3,0,56872.425032874584,0.0,33098.67447849555,19608.796696628277,6,4,842009.0,402291.5,23283.455265045952,13398.148307540238,2,0,43302.16776450733,LONG,12282.075583983542,7597.571434848482,0.550854,0.354768,2.424868727324145,1.0,0.3333333333333333,0.0,0.025641025641025605,-0.3076923076923077,31-90,0.5,0,0.0,4223436000.0,0.000199,9.5e-05,6e-06,3e-06,0.315954,0.450941,0.0,0.0,0.029080766428054176,0.017989076748998876,6.850329555340295,0.40956879524422163,2.9,0.1005,1.7,0.7778,0.45,0.6,0.322,2.7925,0.0545,0.0,0.4667,0.0,0.6,0.182,0.5719255503989473,0.44249394834973976,2,2,0.6850329555340295,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned
AVTX,1.2551507247449107e-06,1.1215785580595984e-06,10,7,3.6318800075494194e-06,17,53.352941,3.113927,4.725771,0.811291,17,0,1,0.0,1.7812385234077812e-07,1.0199944567493912e-06,2.8648893011530776e-07,10,7,1385065.0,905564.0,1.2595318196677983e-07,4.830833510612479e-07,0,0,1.3357216668531225e-07,LONG,1.2551507247449107e-07,1.6022550829422834e-07,0.187353,0.744566,1.1190930102269434,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,328837362.0,0.004212,0.002754,0.0,0.0,0.100349,0.430717,0.0,0.0,3.816934660681625e-12,4.8724849062080824e-12,6.662394999999998,0.5255415499047619,2.9,0.0,1.7,1.4,0.0,0.6,0.0624,2.9,0.0,0.2117,0.9333,0.15,0.6,0.4604,0.7783203438190612,0.6756411234566565,3,3,0.6662394999999999,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned"
UVIX,5717.822922892036,0.0,3,0,7278.760262760104,3,84.333333,7.331695,7.331695,,3,2,0,5717.82292282269,0.0,4156.885582954624,0.0,3,0,166596.5,0.0,367.95769917000337,0.0,0,0,5717.822922892036,LONG,1905.9409742973455,0.0,0.272995,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.6667,0,0.0,101607448.0,0.00164,0.0,4e-06,0.0,0.101104,0.0,0.0,0.0,0.18757886472036436,0.0,6.643281739546141,0.06,2.9,0.7086,1.7,0.3111,0.3,0.6,0.1236,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.8888081820570564,0.309854302187088,3,3,0.6643281739546141,"not_extended, pullback_to_support, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
YPF,7.137582821136229,0.0,5,0,7.137582821136229,5,63.6,2.911707,2.911707,,5,2,0,7.137582774892377,0.0,7.137582501288166,0.0,5,0,1600618.0,0.0,3.889551056630396,0.0,0,0,7.137582821136229,LONG,1.4275165642272458,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.4,1,0.2,15964566268.0,0.0001,0.0,0.0,0.0,0.54494,0.0,0.0,0.0,8.941781068544379e-07,0.0,6.062182982222222,0.06,2.9,0.0,1.64,0.6222,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.7193221972013656,0.3498356837330293,3,3,0.6062182982222222,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
IVZ,229869.86234607137,2.0075339837136514e-08,5,4,229869.86234611153,9,98.777778,225.40083,211.828862,242.365789,9,0,2,0.0,8.800876824691094e-09,117816.30827763453,9.16144654271754e-09,5,4,4317320.0,268423.5,109374.75063579397,1.137002233566553e-08,0,0,229869.8623460513,LONG,45973.97246921428,5.0188349592841284e-09,0.487465,0.543647,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,2,0.2222,11007546407.0,0.000392,2.4e-05,1e-05,0.0,0.475812,0.566368,0.0,0.0,0.041765867496119,4.559449284803845e-15,5.994359129757672,0.39972719372626303,2.9,0.1525,1.7,0.6222,0.0,0.3429,0.2768,0.8709,0.0,1.7,0.4667,0.3,0.3429,0.3169,0.8737216235527762,0.7289273105204525,3,3,0.5994359129757673,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned
TSEM,9.292888675735892,1.2008850760320954e-05,4,3,15.399919405917705,7,52.714286,106.8094,186.585831,0.440824,7,0,0,0.0,0.0,6.1070187213310545,6.2674781632550994e-06,4,3,6034802.0,678417.0,3.094350448035,3.8119075002464726e-06,0,0,9.292876666885132,LONG,2.323222168933973,4.002950253440318e-06,0.342829,0.478095,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.1429,25260669828.0,0.000239,2.7e-05,0.0,0.0,0.357831,0.317425,0.0,0.0,9.196993526904875e-07,1.5846572084970121e-12,5.840115952380952,0.21535093473758446,2.9,0.0,1.7,0.4667,0.0,0.6,0.1734,0.9723,0.0,0.0,0.3111,0.0,0.6,0.2701,0.5552510932984732,0.5210718289298373,3,3,0.5840115952380952,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target"
USO,14079.885956283602,0.0,2,0,17007.45288682485,2,48.5,4.697599,4.697599,,2,1,0,11152.319025742354,0.0,11152.319025742354,0.0,2,0,153274.0,0.0,10328.08633661858,0.0,2,0,14079.885956283602,LONG,7039.942978141801,0.0,0.207925,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.5,0,0.0,1228364647.0,0.000125,0.0,8e-06,0.0,0.613292,0.0,0.0,0.0,0.057311507583153364,0.0,5.798040459148432,0.06,2.9,0.2154,1.7,0.1556,0.15,0.6,0.0771,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.49094570167778595,0.24242174710666728,2,2,0.5798040459148431,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
USAR,6440.762147970136,0.7164419384356443,4,1,6442.195031847006,5,44.4,2.210168,2.717762,0.179794,5,2,0,12.436670298117267,0.0,6401.378634655741,0.7164419384356443,4,1,415405.0,44416.0,32.526642649346336,0.48734993395713905,0,0,6440.0457060317,LONG,1610.190536992534,0.7164419384356443,0.006115,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,4348624691.0,9.6e-05,1e-05,0.0,0.0,0.00505,0.680236,0.0,0.0,0.0037027581164339528,1.6475138448218048e-06,5.688989379688314,0.09623312403512961,2.8142,0.0,1.5081,0.4667,0.3,0.6,0.0,0.3623,0.0,0.0,0.0,0.0,0.6,0.0,0.5620431578113272,0.39866586229666123,3,3,0.5688989379688314,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
LCID,935.0639913040159,16.67534504924322,3,1,968.4146814025023,4,77.5,2.595626,3.239116,0.665159,4,0,0,0.0,0.0,899.4729637155014,16.67534504924322,3,1,438716.0,56187.5,71.56157555639022,0.43379225411754047,0,0,918.3886462547727,LONG,311.6879971013386,16.67534504924322,0.038063,0.0,56.07464124686596,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,0.25,2392094974.0,0.000183,2.3e-05,0.0,0.0,0.076531,0.026014,0.0,0.0,0.001302991731052141,6.971021314157578e-05,5.511111111111111,0.15487948982772057,2.9,0.0,1.7,0.3111,0.0,0.6,0.0,0.8365,0.0,0.1123,0.0,0.0,0.6,0.0,0.5110634431977782,0.4660654249772457,2,3,0.5511111111111111,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
SPXS,1.7251835797924544e-05,2008.5385484502906,1,4,4015.8163156067485,5,36.8,7.959772,9.609756,7.409777,5,1,4,1.7251835797924544e-05,2008.5385484502906,1.7251835797924544e-05,2007.2777498990756,1,4,69628.0,226838.5,6.317443525054296e-06,357.8441560263877,0,0,-2008.5385311984548,SHORT,1.7251835797924544e-05,502.13463711257265,0.0,0.000628,8.589248043676026e-09,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,435516020.0,0.00016,0.000521,0.0,1e-06,0.36619,0.177979,0.0,0.0,3.9612402312834656e-10,0.011529647913125506,5.35,0.6294157467671047,2.9,0.0,1.7,0.0,0.15,0.6,0.0,2.9,0.0275,1.7,0.4667,0.6,0.6,0.0,0.6580130128462295,0.8376885475556631,3,3,0.5349999999999999,none,none
U,946.8941711247161,313.598462524076,2,2,1574.0910961728682,4,63.5,10.555295,9.033226,12.077364,4,0,0,0.0,0.0,676.7562165657647,289.5036558855013,2,2,996625.0,156600.0,253.1280646010236,79.07128980344942,0,0,633.2957086006401,LONG,473.44708556235804,156.799231262038,0.285288,0.076833,3.019447746980009,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,11223038877.0,8.9e-05,1.4e-05,0.0,0.0,0.267325,0.252142,0.0,0.0,0.0004218528428451046,0.0001397119202566209,5.247777113244596,0.29695011360351564,2.6599,0.0,1.7,0.1556,0.0,0.6,0.1323,0.5139,0.0,1.7,0.1556,0.0,0.6,0.0,0.6827852486864904,0.6182141831558375,3,3,0.5247777113244596,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended"
