ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_score_raw,checks_passed,checks_failed
GFS,3.502226495845253e-27,0.023955102213657473,5,1,0.047910204427314945,6,48.333333,106.846702,128.15,0.330214,6,1,0,5.579984342263823e-28,0.0,1.6450451507133984e-27,0.023955102213657473,5,1,947401.0,25516.0,3.488461712506577e-28,0.009164919270911426,0,0,-0.023955102213657473,SHORT,7.004452991690506e-28,0.023955102213657473,0.530286,0.0,1.461996056042097e-25,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,30434892911.0,3.1e-05,1e-06,0.0,0.0,0.099607,0.382587,0.0,0.0,2.301454784865994e-34,7.87093362993219e-09,6.19456389590043,0.13240228896468567,2.815,0.0,1.7,0.6222,0.15,0.6,0.3073,0.724,0.0,0.0,0.0,0.0,0.6,0.0,0.448353045443069,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.619456389590043,none,not_extended
YPF,0.02835891473662386,0.0,5,0,0.02835891473662386,5,63.6,2.911707,2.911707,,5,2,0,0.028358914552888626,0.0,0.02835891346580933,0.0,5,0,1600618.0,0.0,0.015453893782092392,0.0,0,0,0.02835891473662386,LONG,0.005671782947324773,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.4,1,0.2,15964566268.0,0.0001,0.0,0.0,0.0,0.54494,0.0,0.0,0.0,3.552732252233821e-09,0.0,5.970614669289354,0.13571980454171903,2.8084,0.0,1.64,0.6222,0.3,0.6,0.0,0.7572,0.0,0.0,0.0,0.0,0.6,0.0,0.6062182982222222,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5970614669289354,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
CIEN,0.5583511739774303,211.34687834336384,21,11,221.84533942128095,32,56.78125,2.228587,3.150589,0.292384,32,2,2,0.10824275475220778,0.14649761945738443,0.10581746521123296,134.7054866419026,21,11,7562290.0,1727593.0,0.26783055795567173,100.68102536182846,0,0,-210.7885271693864,SHORT,0.026588151141782396,19.21335257666944,0.810482,0.362633,0.0026418709296964745,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.1818,0,0.0,71749803813.0,0.000105,2.4e-05,0.0,0.0,0.514122,0.473182,0.0,0.0,3.705675796839603e-09,2.6778264964660803e-06,5.415384608422907,0.31224456150879804,0.9154,0.0,1.7,1.4,0.3,0.6,0.5,0.6349,0.0,0.0,1.4,0.3,0.6,0.1876,0.74,0.33584524134531063,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5415384608422907,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
DAVE,45.58004446402275,0.8437919884840269,9,4,46.42383645250678,13,37.153846,7.291656,2.978641,16.995941,13,1,0,4.918468202761238e-10,0.0,45.58004444859193,0.4766457320808789,9,4,1483160.0,1198580.0,6.118059550530268,0.2843076830157389,0,0,44.73625247553872,LONG,5.064449384891416,0.21094799712100673,0.0,0.435115,54.01810527487081,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.1111,0,0.0,3070073316.0,0.000483,0.00039,0.0,0.0,0.134227,0.33694,0.0,0.0,1.64961838484362e-05,6.871106172664664e-07,5.346773258413466,0.5359755941406065,1.6669,0.0,1.6855,1.2444,0.15,0.6,0.0,2.3537,0.0,1.7,0.4667,0.0,0.6,0.2394,0.6579920324444444,0.5906034523809524,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5346773258413466,none,none
POET,130404.3124144336,42987.23372941785,4,2,216363.11615012176,6,75.166667,7.41928,8.281961,5.693918,6,1,0,71345.75881534928,0.0,71345.75881534928,42940.20986049411,4,2,281457.5,166457.5,15558.16477382944,9446.500744762008,2,1,87417.07868501576,LONG,32601.0781036084,21493.616864708925,0.452888,0.001094,3.0335590616335195,1.0,0.5,0.5,0.1923076923076923,0.1923076923076923,31-90,0.25,0,0.0,960430765.0,0.000293,0.000173,1.6e-05,1e-05,0.119373,0.219642,0.0,0.0,0.33944225124450694,0.22379142409821623,5.256628505458483,0.38377256766353424,0.8685,1.2194,1.7,0.4667,0.15,0.6,0.2521,0.5461,0.8361,1.7,0.1556,0.0,0.6,0.0,0.7288153094301558,0.6191663759548414,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5256628505458483,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none
USO,420545.9904868414,0.0,4,0,536601.8397150553,4,55.25,5.070713,5.070713,,4,2,0,201409.28499681863,0.0,219125.07373413997,0.0,4,0,503120.0,0.0,211841.4636178368,0.0,3,0,420545.9904868414,LONG,105136.49762171035,0.0,0.478951,0.0,99.0,1.0,0.75,0.0,0.4423076923076923,-0.3076923076923077,31-90,0.5,0,0.0,1228364647.0,0.00041,0.0,0.000172,0.0,0.515664,0.0,0.0,0.0,0.8559062480223786,0.0,5.206933104714496,0.08560065372319045,0.1696,1.7,1.7,0.4667,0.3,0.6,0.2707,0.256,0.0,0.0,0.0,0.0,0.6,0.0,0.7937345952380952,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5206933104714496,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
VST,128426.8119086587,0.612773298087023,9,6,190798.49536548206,15,52.266667,4.571389,4.281257,4.958231,15,4,2,0.030261186361677465,0.00011202108413019199,66055.72751271933,0.6121178964507924,9,6,763086.5,1254437.0,49505.862201677366,0.4303698640402615,2,0,128426.19913536061,LONG,14269.645767628745,0.10212888301450383,0.485655,0.00107,99.0,1.0,0.2222222222222222,0.0,-0.0854700854700855,-0.3076923076923077,31-90,0.4444,0,0.0,55078542686.0,1.4e-05,2.3e-05,1e-06,0.0,0.401707,0.702267,0.0,0.0,0.002590781286458372,1.854240835614251e-08,5.133172408473886,0.38302256588969624,0.7133,0.0,1.7,1.2444,0.6,0.6,0.2755,0.4524,0.0,1.7,0.7778,0.3,0.6,0.0,0.49338578820669027,0.42142645560549835,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5133172408473886,none,none
CRS,1.2483870454117497e-07,9.53333613508518e-11,5,1,1.2502937126387667e-07,6,81.666667,15.755556,6.7,33.866667,6,0,0,0.0,0.0,1.2477569676015044e-07,9.53333613508518e-11,5,1,600357.0,337725.0,2.5827543874012745e-08,4.3497419654700577e-11,0,0,1.247433711798241e-07,LONG,2.4967740908234994e-08,9.53333613508518e-11,0.000505,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,22199692770.0,2.7e-05,1.5e-05,0.0,0.0,0.206887,0.456267,0.0,0.0,1.1246885786624783e-14,4.2943549867357824e-17,4.6778260990770315,0.3620029961932342,1.7556,0.0,1.7,0.6222,0.0,0.6,0.0,1.32,0.0,1.7,0.0,0.0,0.6,0.0,0.3894552601344099,0.28510178707283906,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.46778260990770315,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
KWEB,292.7935210028257,90576.82052261049,6,5,181368.5252504873,11,60.909091,723.823288,1326.879084,0.156334,11,3,0,225.96448864961522,0.0,131.5070537117078,90456.07438996276,6,5,842009.0,511439.5,92.50940257815789,19993.29804242631,0,1,-90284.02700160767,SHORT,48.79892016713762,18115.364104522097,0.550854,0.001333,0.0032325435946356307,1.0,0.0,0.2,-0.3076923076923077,-0.1076923076923077,31-90,0.0,0,0.0,4223436000.0,0.000199,0.000121,0.0,5e-06,0.315954,0.220647,0.0,0.0,0.00011554317424755013,0.042892479262198115,4.434476194752232,0.2008850699408379,0.5847,0.0,1.7,0.7778,0.45,0.6,0.322,0.6295,0.1571,0.0,0.6222,0.0,0.6,0.0,0.674981634920635,0.4279329449573683,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.4434476194752232,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned"
WT,103979.94264836924,0.0,2,0,103979.94264836924,2,62.0,0.518227,0.518227,,2,0,0,0.0,0.0,103979.93669182301,0.0,2,0,190736.0,0.0,63707.11238873127,0.0,1,0,103979.94264836924,LONG,51989.97132418462,0.0,0.0,0.0,99.0,1.0,0.5,0.0,0.1923076923076923,-0.3076923076923077,31-90,0.0,0,0.0,2472627547.0,7.7e-05,0.0,2.6e-05,0.0,0.612687,0.0,0.0,0.0,0.21026204042441907,0.0,4.371862311514775,0.14328409372888962,2.815,0.7889,0.0124,0.1556,0.0,0.6,0.0,0.8328,0.0,0.0,0.0,0.0,0.6,0.0,0.39382966855880175,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.4371862311514775,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
