ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw
XLI,0.0,68660.43394927404,0,3,68660.43394927404,3,61.0,74.277197,,74.277197,3,0,1,0.0,39228.202606278945,0.0,39228.202606278945,0,3,-68660.43394927404,SHORT,0.0,22886.81131642468,0.0,0.571336,0.0,1.0,2496668852.120533,0.0,2.8e-05,0.05,10.0,0.6012849721038191
CIA,0.0,91168.49452286235,0,1,91168.49452286235,1,56.0,0.217389,,0.217389,1,0,0,0.0,0.0,0.0,91168.49452286235,0,1,-91168.49452286235,SHORT,0.0,91168.49452286235,0.0,1.0,0.0,1.0,713209.6161285877,0.0,0.127828,0.05,9.750074933738786,0.5901250156050069
CMG,0.0,98535.54299664976,0,3,98535.54299664976,3,54.0,37.623958,,37.623958,3,0,2,0.0,98191.54388150915,0.0,81089.19753077393,0,3,-98535.54299664976,SHORT,0.0,32845.180998883254,0.0,0.822944,0.0,1.0,561417946.5549946,0.0,0.000176,0.05,9.29788440215259,0.5699332567823749
SPY,270302.01159457094,303326.2454788418,2,3,573628.2570734128,5,51.8,0.837898,0.770209,0.883025,5,1,2,107718.34791613775,181987.09814911886,162583.66367843322,121339.14732972295,2,3,-33024.233884270885,SHORT,135151.00579728547,101108.74849294727,0.601489,0.400029,0.8911263552808045,1.0,58829483394.85289,5e-06,5e-06,0.34712127754614097,6.907500358901717,0.4631949358239913
XLU,0.0,17693.6820854838,0,2,17693.6820854838,2,43.0,0.662192,,0.662192,2,0,2,0.0,17693.6820854838,0.0,17474.60580255849,0,2,-17693.6820854838,SHORT,0.0,8846.8410427419,0.0,0.987618,0.0,1.0,1352190484.837553,0.0,1.3e-05,0.05,5.766243946988781,0.41223417345841373
HOOD,5.8146736930763625,42321.71246006934,1,3,42327.52713376242,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,5.8146736930763625,41502.73318932565,1,3,-42315.89778637626,SHORT,5.8146736930763625,14107.23748668978,1.0,0.980649,0.00013739221206047662,1.0,1916649833.3274515,0.0,2.2e-05,0.1654357436866071,4.742307515962837,0.3665121248510308
IWM,0.0,134922.6505747314,0,1,134922.6505747314,1,56.0,0.517895,,0.517895,1,0,1,0.0,134922.6505747314,0.0,134922.6505747314,0,1,-134922.6505747314,SHORT,0.0,134922.6505747314,0.0,1.0,0.0,1.0,12309687908.195473,0.0,1.1e-05,0.05,4.277331310060838,0.34574944462660867
QQQ,0.0,429223.34471216716,0,2,429223.34471216716,2,90.0,0.135121,,0.135121,2,0,0,0.0,0.0,0.0,282784.9665696055,0,2,-429223.34471216716,SHORT,0.0,214611.67235608358,0.0,0.658829,0.0,1.0,41537768904.985,0.0,1e-05,0.05,3.9991722139278205,0.33332874805930657
CRM,2196.6050428906674,460.73034876196806,1,3,2657.3353916526357,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,2196.6050428906674,195.57666293378205,1,3,1735.8746941286993,LONG,2196.6050428906674,153.57678292065603,1.0,0.424493,4.767658672351802,1.0,2818850071.0199037,1e-06,0.0,0.23698274828800664,3.3977012118374534,0.3064711370199643
ORCL,52120.34471451763,87517.25719702087,1,1,139637.6019115385,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,52120.34471451763,87517.25719702087,1,1,-35396.912482503234,SHORT,52120.34471451763,87517.25719702087,1.0,1.0,0.595543626295133,1.0,4574635010.135596,1.1e-05,1.9e-05,0.2746105070339043,3.011227741973894,0.2892138559631114
