ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bearish_score_raw
XLI,0.0,87019.75633586186,0,3,87019.75633586186,3,61.0,74.28,,74.28,3,0,1,0.0,49717.551083556886,0.0,49717.551083556886,0,3,-87019.75633586186,SHORT,0.0,29006.585445287288,0.0,0.57,0.0,1.0,0.05,10.0,0.8600369205969919
CMG,0.0,124883.26170972246,0,3,124883.26170972246,3,54.0,37.62,,37.62,3,0,2,0.0,124447.27962429894,0.0,102771.8848356205,0,3,-124883.26170972246,SHORT,0.0,41627.75390324082,0.0,0.82,0.0,1.0,0.05,9.659785414173149,0.8363652923119902
SPY,342578.88907941536,384433.5733639755,2,3,727012.4624433909,5,51.8,0.84,0.77,0.88,5,1,2,136521.48478247435,230649.18216081773,206057.40429694104,153784.3912031578,2,3,-41854.68428456015,SHORT,171289.44453970768,128144.5244546585,0.6,0.4,0.8911263552808047,1.0,0.6458300366017674,8.497015310071294,0.7554614662214169
XLU,0.0,22424.84958514137,0,2,22424.84958514137,2,43.0,0.66,,0.66,2,0,2,0.0,22424.84958514137,0.0,22147.193828214302,0,2,-22424.84958514137,SHORT,0.0,11212.424792570686,0.0,0.99,0.0,1.0,0.05,6.846484410816964,0.6406199645700359
QQQ,0.0,543994.6811013615,0,2,543994.6811013615,2,90.0,0.14,,0.14,2,0,0,0.0,0.0,0.0,358399.69937434536,0,2,-543994.6811013615,SHORT,0.0,271997.34055068076,0.0,0.66,0.0,1.0,0.05,6.742386016440831,0.6333769520732364
IWM,0.0,171000.02871924607,0,1,171000.02871924607,1,56.0,0.52,,0.52,1,0,1,0.0,171000.02871924607,0.0,171000.02871924607,0,1,-171000.02871924607,SHORT,0.0,171000.02871924607,0.0,1.0,0.0,1.0,0.05,6.543637566156936,0.6195483285122967
HOOD,7.369476987545309,53638.243951567434,1,3,53645.61342855498,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,7.369476987545309,52600.27532123675,1,3,-53630.87447457989,SHORT,7.369476987545309,17879.414650522478,1.0,0.98,0.00013739221206047624,1.0,0.21751284914519048,6.470300928150466,0.6144456735795526
CIA,0.0,115546.3157245414,0,1,115546.3157245414,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,115546.3157245414,0,1,-115546.3157245414,SHORT,0.0,115546.3157245414,0.0,1.0,0.0,1.0,0.05,5.61790839319913,0.5551374602316758
ORCL,66056.96230450938,110918.76293840742,1,1,176975.7252429168,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,66056.96230450938,110918.76293840742,1,1,-44861.80063389805,SHORT,66056.96230450938,110918.76293840742,1.0,1.0,0.5955436262951331,1.0,0.5333139039736934,5.590944125048,0.553261326287861
LEU,0.0,80135.8779467913,0,1,80135.8779467913,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,80135.8779467913,0,1,-80135.8779467913,SHORT,0.0,80135.8779467913,0.0,1.0,0.0,1.0,0.05,5.456675020649939,0.5439190803587326
