ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bullish_score_raw
GLNG,554206,0,5,0,554206,5,83.6,16.44,16.44,,5,1,0,187426,0,187426.0,0.0,554206,LONG,110841.2,0.0,0.34,0.0,inf,1.0,10.0,0.8,10.576232166834172
CRM,1057395,216961,1,3,1274356,4,44.0,6.82,0.93,8.79,4,0,0,0,0,1057395.0,92125.0,840434,LONG,1057395.0,72320.33333333333,1.0,0.42,4.873663930383802,1.0,4.2399623864088785,8.40794829041441,7.8216599199563515
SPY,449674,500925,2,3,950599,5,51.8,0.84,0.77,0.88,5,1,2,180000,299687,269674.0,201238.0,-51251,SHORT,224837.0,166975.0,0.6,0.4,0.8976872785347108,1.0,3.542604225918042,7.5933155878728344,7.48816844578797
USAR,222521,0,3,0,222521,3,31.33,1.26,1.26,,3,2,0,122000,0,100521.0,0.0,222521,LONG,74173.66666666667,0.0,0.45,0.0,inf,1.0,2.4509163481109546,0.49999999999999994,6.966100130927516
MU,311600,0,1,0,311600,1,90.0,1.24,1.24,,1,0,0,0,0,311600.0,0.0,311600,LONG,311600.0,0.0,1.0,0.0,inf,1.0,2.1511372455632998,0.2,6.8227394011081
NEM,390000,0,2,0,390000,2,90.0,0.47,0.47,,2,0,0,0,0,195000.0,0.0,390000,LONG,195000.0,0.0,0.5,0.0,inf,1.0,2.1077288785443264,0.35,6.8019805986324675
SLV,340000,0,2,0,340000,2,90.0,0.07,0.07,,2,0,0,0,0,173060.0,0.0,340000,LONG,170000.0,0.0,0.51,0.0,inf,1.0,1.7980389113447204,0.35,6.653880282972777
NFLX,300000,0,1,0,300000,1,90.0,0.26,0.26,,1,0,0,0,0,300000.0,0.0,300000,LONG,300000.0,0.0,1.0,0.0,inf,1.0,1.701619645480588,0.2,6.607770543483057
AMAT,243202,0,1,0,243202,1,90.0,0.54,0.54,,1,0,0,0,0,243202.0,0.0,243202,LONG,243202.0,0.0,1.0,0.0,inf,1.0,1.59927232460846,0.2,6.558825882262191
ORCL,170200,167890,1,1,338090,2,49.0,0.32,0.59,0.05,2,0,0,0,0,170200.0,167890.0,2310,LONG,170200.0,167890.0,1.0,1.0,1.0137590088748585,1.0,1.5606747132875873,6.425535119146801,6.540367685272403
TQQQ,243000,0,1,0,243000,1,90.0,0.28,0.28,,1,0,0,0,0,243000.0,0.0,243000,LONG,243000.0,0.0,1.0,0.0,inf,1.0,1.4896672701070055,0.2,6.506410418770277
NOW,160000,0,1,0,160000,1,58.0,0.42,0.42,,1,0,0,0,0,160000.0,0.0,160000,LONG,160000.0,0.0,1.0,0.0,inf,1.0,1.1113010726261106,0.2,6.325467672098215
HOOD,50232,645050,1,3,695282,4,54.25,0.43,0.96,0.26,4,0,0,0,0,50232.0,268632.0,-594818,SHORT,50232.0,215016.66666666666,1.0,0.42,0.07787303309820943,1.0,1.0668573280790896,7.246750952988318,6.304213730112196
SOXS,66439,0,1,0,66439,1,56.0,1.33,1.33,,1,1,0,66439,0,66439.0,0.0,66439,LONG,66439.0,0.0,1.0,0.0,inf,1.0,0.782080239635564,0.2,6.1680272818636155
TSM,119040,0,1,0,119040,1,90.0,0.13,0.13,,1,0,0,0,0,119040.0,0.0,119040,LONG,119040.0,0.0,1.0,0.0,inf,1.0,0.680839111072776,0.2,6.119611625284634
BMNR,55272,0,1,0,55272,1,90.0,0.42,0.42,,1,0,0,0,0,55272.0,0.0,55272,LONG,55272.0,0.0,1.0,0.0,inf,1.0,0.0,0.2,5.794019911174143
