ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
SHAZ,42748.7536849283,0.0,1,0,42748.7536849283,1,51.0,1230.333333,1230.333333,,1,0,0,0.0,0.0,42748.7536849283,0.0,1,0,520520.0,0.0,1567.667639188798,0.0,1,0,42748.7536849283,LONG,42748.7536849283,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,665811112.0,0.000782,0.0,,,,,2e-06,0.0,0.036672,0.0,0.0,0.0,0.6420552753545559,0.0,5.258145426322365,0.20962480645342818,1.308,1.7,1.6502,0.0,0.0,0.6,0.0,0.9466,0.0,0.5496,0.0,0.0,0.6,0.0,0.69,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.346507541396765,1,-1.1638819434673877,1,0.0,0.0,520520.0,0.0,0.0,855000.0,0.5258145426322365,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
LQD,3.0576941260790343e-14,0.024064158936038513,2,1,0.048128317872111026,3,63.0,2.257332,1.664795,3.442408,3,0,0,0.0,0.0,2.715378516401941e-14,0.024064158936038513,2,1,2125000.0,612542.0,1.490446382205963e-14,0.011428492982723934,0,1,-0.024064158936007937,SHORT,1.5288470630395172e-14,0.024064158936038513,0.111952,0.0,1.2706424247804598e-12,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,2,0.6667,32698542560.0,6.5e-05,1.9e-05,,,,,0.0,0.0,0.48224,0.474918,0.0,0.0,4.6755816722845314e-21,7.359398019615744e-09,5.229256436956459,0.4081661059768008,2.815,0.0,1.6502,0.1556,0.0,0.6,0.0085,1.8315,0.0,1.6502,0.0,0.0,0.6,0.0,0.3639582658607992,0.2996151674861953,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.1228304841058918,1,-0.9728561902791143,1,0.0,0.0,3665000.0,1225084.0,0.0,0.0,0.5229256436956459,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
XPO,2.7920848637753457e-30,0.0,2,0,5.5841697275506915e-30,2,55.5,1170.0,1170.0,,2,0,0,0.0,0.0,2.7920848637354588e-30,0.0,2,0,635302.0,0.0,9.595667733325822e-32,0.0,1,0,2.7920848637753457e-30,LONG,1.3960424318876729e-30,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,23409202012.0,2.7e-05,0.0,98901.0,1058930.0,6.423615534726646,0.0,0.0,0.0,0.034367,0.0,0.0,0.0,5.963648103733032e-37,0.0,5.220719294099316,0.1896973667211992,2.815,0.0,1.6502,0.1556,0.0,0.6,0.0,0.8408,0.0,0.4562,0.0,0.0,0.6,0.0,0.3427885934677432,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,3.5,1,-1.4023976110394551,1,0.0,0.0,1270604.0,0.0,0.0,1024500.0,0.5220719294099316,"confirmation_volume, not_extended, pullback_to_support, room_to_target","momentum_aligned, trend_aligned"
TRMB,283.0561406296117,0.0,1,0,283.0561406296117,1,53.0,100.06,100.06,,1,0,0,0.0,0.0,283.0561406296117,0.0,1,0,1220000.0,0.0,82.6433643519499,0.0,1,0,283.0561406296117,LONG,283.0561406296117,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,13576414867.0,9e-05,0.0,62122.0,936451.0,19.63877531309359,0.0,0.0,0.0,0.291968,0.0,0.0,0.0,0.00020849108060010178,0.0,5.065163738543761,0.19395726434136443,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.8745,0.0,0.465,0.0,0.0,0.6,0.0,0.4982272775719416,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,3.5,1,-1.0572109742786955,1,0.0,0.0,1220000.0,0.0,0.0,0.0,0.5065163738543761,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
SIMO,697181.9740330909,0.0,1,0,697181.9740330909,1,50.0,1.325688,1.325688,,1,0,0,0.0,0.0,697181.9740330909,0.0,1,0,827915.0,0.0,260932.1552034659,0.0,1,0,697181.9740330909,LONG,697181.9740330909,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,7037114513.0,0.000118,0.0,,,,,3.7e-05,0.0,0.374267,0.0,0.0,0.0,0.990721371302333,0.0,4.8132481969340555,0.15140955571557385,0.8631,1.7,1.6502,0.0,0.0,0.6,0.0,0.613,0.0,0.301,0.0,0.0,0.6,0.0,0.5761467840000001,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.5014081286854728,1,0.0,0.0,827915.0,0.0,0.0,0.0,0.48132481969340557,"confirmation_volume, momentum_aligned, not_extended, room_to_target","continuation_pattern, trend_aligned"
CHDN,1.6841699368290983e-46,0.0,1,0,3.3683398736581966e-46,1,93.0,2616.666667,2616.666667,,1,0,0,0.0,0.0,1.6841699368290983e-46,0.0,1,0,1413000.0,0.0,2.4928301543818623e-47,0.0,1,0,1.6841699368290983e-46,LONG,1.6841699368290983e-46,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,6170562513.0,0.000229,0.0,317865.0,357934.0,4.445283375017696,0.0,0.0,0.0,0.148015,0.0,0.0,0.0,2.729362085354338e-52,0.0,4.808020881400903,0.17782362305895613,2.815,0.0,1.6502,0.0,0.0,0.3429,0.0,0.9003,0.0,0.535,0.0,0.0,0.3429,0.0,0.4942857142857142,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,3.5,1,-0.93146858302416,1,0.0,0.0,2826000.0,0.0,0.0,0.0,0.4808020881400903,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned"
SOXS,418359.75938163145,0.0,2,0,418359.75938163145,2,50.5,1.680098,1.680098,,2,2,0,418359.75938163145,0.0,386176.7447140051,0.0,2,0,1308767.0,0.0,204725.23877550507,0.0,1,0,418359.75938163145,LONG,209179.87969081572,0.0,0.076927,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,1928839097.0,0.000679,0.0,,,,,0.000106,0.0,0.489352,0.0,0.0,0.0,1.084485896289439,0.0,4.776874980610416,0.09368496292014233,0.3712,1.7,1.6502,0.1556,0.3,0.6,0.0,0.2437,0.0,0.0931,0.0,0.0,0.6,0.0,0.6458022195555555,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.227955783776711,1,0.0,0.0,1308767.0,0.0,0.0,0.0,0.47768749806104166,"confirmation_volume, not_extended, trend_continuation","momentum_aligned, room_to_target, trend_aligned"
NBIS,2860062.754953213,1376396.5223160568,5,2,6441826.789782277,7,83.285714,48.431742,65.265915,6.346311,7,2,1,919257.8687642182,47200.346584497056,883431.0298814364,1329196.1757315597,5,2,8725673.5,2461045.0,741653.3611457678,12114.713486435789,4,1,1483666.2326371563,LONG,572012.5509906426,688198.2611580284,0.691115,0.034293,2.077935179711583,1.0,0.8,0.0,0.49230769230769234,-0.3076923076923077,31-90,0.4,0,0.0,32529115343.0,0.000268,7.6e-05,,,,,2.3e-05,0.0,0.245811,0.008802,0.0,0.0,0.17584632873015868,0.2115637802938662,4.4260263597502725,0.3592868508611262,0.165,0.6665,1.6502,0.6222,0.3,0.6,0.4222,0.2437,0.7935,1.6502,0.1556,0.15,0.6,0.0,0.721090419121361,0.5756416016758601,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.5595330118799295,1,4138186.0,0.0,11875475.0,2461045.0,0.0,0.0,0.44260263597502725,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
CI,207561.84260065845,7.631099527556343e-12,2,1,415123.6852013169,3,59.333333,495.564286,737.15,12.392857,3,0,0,0.0,0.0,207561.84260065845,7.631099527556343e-12,2,1,800760.0,752980.0,33210.26267448986,3.971334701710695e-12,1,0,207561.84260065845,LONG,103780.92130032922,7.631099527556343e-12,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,78425921814.0,1e-05,1e-05,2088247.0,1611220.0,0.38346038567276763,0.467335311130696,0.0,0.0,0.160002,0.520414,0.0,0.0,0.013232987116997207,9.730328124997693e-19,4.369412758653264,0.39524326157191975,1.9291,0.0346,1.6502,0.1556,0.0,0.6,0.0,1.7023,0.0,1.6502,0.0,0.0,0.6,0.0,0.28525197285502746,0.2662331240351296,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-0.9138735418134952,1,-1.1188659671548904,1,0.0,0.0,1101520.0,752980.0,0.0,0.0,0.43694127586532644,none,none
HNGE,1.717752389998074e-61,7.871005060582327e-23,1,1,1.5742010121164654e-22,2,43.5,11.154582,2.056,20.253165,2,0,0,0.0,0.0,1.717752389998074e-61,7.871005060582327e-23,1,1,415419.0,358150.0,1.2118503104525439e-61,4.3128199626564293e-23,0,1,-7.871005060582327e-23,SHORT,1.717752389998074e-61,7.871005060582327e-23,0.0,0.0,2.1823799842290892e-39,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,4047817880.0,0.000103,8.8e-05,,,,,0.0,0.0,0.705486,0.547938,0.0,0.0,4.2436503837916594e-67,1.9445057297346407e-28,4.286616981307649,0.3757800385872799,2.0364,0.0,1.6502,0.0,0.0,0.6,0.0,1.5076,0.0,1.6502,0.0,0.0,0.6,0.0,0.455808,0.4937354364471283,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.134454574191757,1,-0.8949026788608033,1,0.0,0.0,830838.0,716300.0,0.0,0.0,0.4286616981307649,none,none
