ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
ADMA,1396342.8029940734,0.0,3,0,1396342.8029940734,3,60.666667,745.720988,745.720988,,3,2,0,1355035.1254767831,0.0,1086810.029795981,0.0,3,0,32.80346915920423,2329138.0,0.0,1396342.8029940734,LONG,465447.60099802446,0.0,0.221674,0.0,99.0,1.0,1974339569.0,0.00118,0.0,7.903576666666668,0.18,0.7903576666666667,none,trend_aligned
BTDR,81598.61773182057,3038.180714214132,4,1,87674.97916024884,5,49.8,5.344332,3.650195,12.120879,5,1,0,55080.57872150442,0.0,55080.57872150442,3038.180714214132,4,1,5.083404233652959,590923.0,38713.0,78560.43701760644,LONG,20399.654432955143,3038.180714214132,0.324981,0.0,26.857723554777813,1.0,1675086784.0,0.000353,2.3e-05,7.05742042810964,0.40211092916182806,0.705742042810964,none,trend_aligned
ONON,27992.831128275113,2557.592852672515,5,1,36093.4248339773,6,60.833333,596.051354,714.603357,3.291339,6,1,1,2714.2152697804795,2557.592852672515,16880.737239734968,2557.592852672515,5,1,2.9241423942509734,1245332.0,42258.5,25435.238275602598,LONG,5598.566225655022,2557.592852672515,0.396962,0.0,10.944991146274301,1.0,9532603365.0,0.000131,4e-06,6.683549597727298,0.3499236528295815,0.6683549597727299,none,trend_aligned
GLBE,528635.0140757444,0.0,1,0,1057270.0281514889,1,112.0,925.0,925.0,,1,0,0,0.0,0.0,528635.0140757444,0.0,1,0,0.0,592013.0,0.0,528635.0140757444,LONG,528635.0140757444,0.0,0.0,0.0,99.0,0.7,5223633134.0,0.000113,0.0,5.7857142857142865,0.02857142857142857,0.5785714285714286,none,trend_aligned
APLD,168698.8164111185,0.0,2,0,168698.8164111185,2,39.5,9.69843,9.69843,,2,0,0,0.0,0.0,168468.65111152158,0.0,2,0,731.9463507599114,259734.0,0.0,168698.8164111185,LONG,84349.40820555924,0.0,0.001364,0.0,99.0,1.0,7189549438.0,3.6e-05,0.0,5.671013679808241,0.18,0.5671013679808241,none,trend_aligned
MKC,64219.92949163575,0.0,1,0,64219.92949163575,1,49.0,3.990654,3.990654,,1,1,0,64219.92949163575,0.0,64219.92949163575,0.0,1,0,0.0,70948.0,0.0,64219.92949163575,LONG,64219.92949163575,0.0,0.0,0.0,99.0,1.0,766052182.0,9.3e-05,0.0,5.532680082258707,0.05,0.5532680082258707,none,trend_aligned
VRT,125988.9098175491,24.261598657693582,6,3,155206.7407308207,9,56.555556,288.624907,430.423637,5.027447,9,0,0,0.0,0.0,93814.60131476069,15.834892199775371,6,3,2480.0775737826148,1401747.0,752360.0,125964.6482188914,LONG,20998.151636258182,8.087199552564527,0.255374,0.347327,99.0,1.0,96567852314.0,1.5e-05,8e-06,5.136141495539888,0.39885389210448186,0.5136141495539888,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
AAPL,1379242.8498012929,870998.2317559766,11,12,2597836.113507215,23,74.130435,0.498332,0.237097,0.737797,23,2,1,72397.01479407717,5044.158615034489,349154.1382026253,543135.4066925033,11,12,8.668515584181081,2119251.5,1768796.5,508244.6180453163,LONG,125385.71361829936,72583.18597966472,0.746851,0.376422,1.5835196898398627,1.0,3712713494600.0,1e-06,0.0,5.022163982485637,0.4552953066160825,0.5022163982485637,none,none
RKLB,545469.148606716,311232.8224183575,3,4,1171599.7170725723,7,90.714286,2.07347,3.71333,0.843575,7,1,1,141100.5461539899,37494.0000162973,400703.67882358463,171816.16577577544,3,4,1.6254912229324683,644477.5,353171.0,234236.32618835848,LONG,181823.04953557198,77808.20560458937,0.265396,0.44795,1.7526080455405801,0.7,37417352907.0,1.7e-05,9e-06,4.999261566327319,0.3364808690161047,0.49992615663273193,none,trend_aligned
BE,198311.4746985218,142071.8886461298,6,5,415147.2046269433,11,65.272727,0.541704,0.870471,0.147183,11,2,0,108340.5907693162,0.0,69639.28893686498,83288.49710962926,6,5,1.3356432569436207,2127405.5,901377.5,56239.586052392,LONG,33051.91244975363,28414.377729225962,0.648839,0.413758,1.3958530191181775,1.0,37458797667.0,5.7e-05,2.4e-05,4.991896523278383,0.32934324425975897,0.4991896523278383,none,trend_aligned
BABA,91972.6329201825,38020.06983138399,7,7,197901.92956575908,14,74.0,5.937848,11.207471,0.668225,14,1,1,838.5212422721023,3802.7852310778508,45280.716396364696,28753.693934158808,7,7,53.2998407650214,1012335.0,482456.5,53952.56308879851,LONG,13138.947560026072,5431.43854734057,0.507672,0.243723,2.4190548131046015,1.0,289606737455.0,3e-06,2e-06,4.980777678646171,0.29982967744986166,0.4980777678646171,none,trend_aligned
AMD,644683.1197500967,104602.06759843025,2,2,853887.2549469572,4,77.25,1.211516,2.379376,0.043656,4,0,0,0.0,0.0,623291.810469419,70913.26816096764,2,2,4.231580234344712,854876.0,116827.5,540081.0521516665,LONG,322341.55987504835,52301.033799215125,0.033181,0.322066,6.163196718300541,1.0,332228817478.0,3e-06,0.0,4.632711574599141,0.3046518789596572,0.46327115745991415,none,trend_aligned
LRCX,154799.27582193495,177943.99818972094,3,5,665438.9737006697,8,59.125,17.721772,46.322804,0.561153,8,0,1,0.0,149.5907140649576,130813.92330215857,177594.90408596158,3,5,1021.7863086980831,596490.5,670642.5,-23144.722367785987,SHORT,51599.75860731165,35588.79963794419,0.154945,0.001962,0.8699325484239739,1.0,264264919020.0,2e-06,3e-06,4.5910428598579935,0.33647944623045595,0.4591042859857994,none,none
MSFT,1404666.6020537184,608456.753035062,6,5,2235882.1343915253,11,68.181818,0.331282,0.456443,0.181087,11,2,2,726677.1699082453,235096.71076791125,479359.63989765936,258995.92959712635,6,5,2.909884482596356,1704628.0,751200.0,796209.8490186564,LONG,234111.1003422864,121691.3506070124,0.658738,0.57434,2.308572622535714,1.0,2717557472944.0,1e-06,0.0,4.57671518055366,0.4181063654902395,0.457671518055366,none,trend_aligned
DOW,51926.95031918091,33508.57644120002,6,6,111529.08586674221,12,66.0,85.470035,2.084008,168.856062,12,1,0,23.126059088892738,0.0,50218.9181090279,25228.327326124872,6,6,53.43935316162751,510504.0,1698618.0,18418.373877980892,LONG,8654.491719863485,5584.7627402000035,0.032893,0.247108,1.5496614847336465,1.0,28321069822.0,1.8e-05,6e-05,4.334391958086117,0.5800170385106813,0.43343919580861173,none,none
PANW,388357.20354748645,107195.53840493428,5,5,881805.795917056,10,70.5,1.011481,1.006596,1.016366,10,2,1,2829.0402945165283,0.7540245167917553,232213.00425031327,93386.3518841403,5,5,62.842989111959696,547009.0,561042.5,281161.66514255217,LONG,77671.44070949728,21439.107680986857,0.402063,0.128822,3.6228858899001537,1.0,127589760000.0,4e-06,4e-06,4.325540824982536,0.34877769319681295,0.4325540824982536,none,none
CRWD,138222.64433897918,69928.7069994494,5,3,208353.89281732246,8,66.5,0.473287,0.728534,0.047877,8,2,0,49898.643825025065,0.0,72602.05369033586,54832.28271934236,5,3,152.99502590911496,1954025.0,215805.0,68293.93733952979,LONG,27644.528867795838,23309.568999816463,0.474746,0.215883,1.9766223382346755,1.0,99573964016.0,2e-05,2e-06,4.314181014790332,0.281143467488282,0.43141810147903326,none,trend_aligned
OKTA,101784.61792227527,5.4058621966349145,4,5,101795.42964666853,9,52.555556,0.415356,0.454512,0.384031,9,0,0,0.0,0.0,101777.07972013336,2.0208383061298503,4,5,12152.391870051166,669077.0,386870.0,101779.21206007863,LONG,25446.154480568817,1.0811724393269828,7.4e-05,0.626177,99.0,1.0,13431132594.0,5e-05,2.9e-05,4.308898530405397,0.36045671090237963,0.43088985304053967,none,trend_aligned
GEV,52179.3439388084,112921.02529539749,10,13,246782.09916294226,23,71.391304,1.480058,1.436419,1.516425,23,3,3,41495.64304027335,26590.1326648651,40269.06708507571,45367.29622378751,10,13,31.63409474965277,1353282.5,1895187.0,-60741.681356589084,SHORT,5217.93439388084,8686.232715030575,0.228257,0.598239,0.4620870542249244,1.0,235331565608.0,6e-06,8e-06,4.22261989724189,0.48105084419677624,0.422261989724189,none,none
ARM,155648.1524027525,162574.3378479711,6,13,480466.7514493861,19,56.210526,7.466359,1.860088,10.053869,19,0,8,0.0,72288.58906285914,99736.28806756201,70073.13393629158,6,13,87.51860711573227,551284.0,765789.5,-6926.185445218609,SHORT,25941.35873379208,12505.718295997776,0.35922,0.568978,0.9573968097493005,1.0,163548326642.0,3e-06,5e-06,4.209070846125422,0.6349855548983473,0.42090708461254217,none,none
