ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bearish_score_raw,checks_passed,checks_failed
RSP,0.0,2441941.0084952284,0,1,2441941.0084952284,1,113.0,66.764706,,66.764706,1,0,0,0.0,0.0,0.0,2441941.0084952284,0,1,0.0,4341375.0,0.0,977669.4958424736,0,1,-2441941.0084952284,SHORT,0.0,2441941.0084952284,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,1.0,100972405110.0,0.0,4.3e-05,,,,,0.0,1e-05,0.0,0.400366,0.0,0.0,0.0,0.24184241286864086,0.120965100717927,5.706284776179685,0.5047,0.0,0.3621,0.0,0.0,0.3429,0.0,2.815,0.8983,1.6502,0.0,0.0,0.3429,0.0,0.03428571428571428,0.44171230557173546,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.6051812805392291,1,-1.2982701897697895,1,0.0,0.0,0.0,4341375.0,0.0,0.0,0.5706284776179685,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
EXEL,149726.292865168,213894.70409309719,1,1,513347.2898234332,2,50.0,694.5,889.0,500.0,2,0,0,0.0,0.0,149726.292865168,213894.70409309719,1,1,420000.0,600000.0,28982.350658282976,95964.47086511165,1,1,-64168.41122792917,SHORT,149726.292865168,213894.70409309719,0.0,0.0,0.7,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,2,1.0,13900552921.0,3e-05,4.3e-05,80509.0,1484197.0,5.216808058726354,0.4042590033533284,2e-06,7e-06,0.193569,0.448653,0.0,0.0,0.1077124728175178,0.1538749611678826,0.5478235991068809,5.651551280481044,2.815,0.4131,1.6502,0.0,0.0,0.6,0.0,2.815,0.5864,1.6502,0.0,0.0,0.6,0.0,0.37845063608581087,0.4362389560018714,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,3.5,1,-0.679814329918264,1,0.0,0.0,840000.0,600000.0,0.0,0.0,0.5651551280481044,none,none
IREN,0.0,848869.4325120484,0,1,1697738.8650240968,1,50.0,2.018378,,2.018378,1,0,0,0.0,0.0,0.0,848869.4325120484,0,1,0.0,1687366.5,0.0,519196.54170139256,0,1,-848869.4325120484,SHORT,0.0,848869.4325120484,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,14145047917.0,0.0,0.000119,,,,,0.0,3.7e-05,0.0,0.611633,0.0,0.0,0.0,0.6001177496838651,0.08262631120227872,4.295113521668727,0.1764,0.0,0.0498,0.0,0.0,0.6,0.0,0.3449,1.7,1.6502,0.0,0.0,0.6,0.0,0.06,0.623249704,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.4856432801697284,1,0.0,0.0,0.0,3374733.0,0.0,0.0,0.42951135216687264,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target, trend_aligned",confirmation_volume
BNO,1.9468157763605016e-19,1.2275941677919107e-20,2,4,2.0784530543500881e-19,6,41.833333,471.301686,1070.00935,171.947854,6,0,0,0.0,0.0,1.9468157763605016e-19,1.1388155556879545e-20,2,4,3189727.0,1747215.0,1.0169977264124965e-19,5.61478676530431e-21,1,0,1.8240563595813105e-19,LONG,9.734078881802508e-20,3.0689854194797768e-21,0.0,0.072319,15.858789716004141,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,215640000.0,0.014792,0.008102,,,,,0.0,0.0,0.52239,0.46446,0.0,0.0,4.5140414031731155e-24,1.4231985807270343e-25,0.45106241796559277,4.092262688326997,2.1049,0.0,1.6502,0.1556,0.0,0.6,0.0,1.3754,0.0,1.6502,0.4667,0.0,0.6,0.0,0.5355555555555556,0.5666666666666667,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.2478214409481558,1,0.0,0.0,3189727.0,2399590.0,0.0,0.0,0.40922626883269975,none,none
FFIV,0.0,8.691625651922458e-16,0,1,8.691625651922458e-16,1,102.0,1.082474,,1.082474,1,0,0,0.0,0.0,0.0,8.691625651922458e-16,0,1,0.0,748120.0,0.0,6.266063691504937e-16,0,1,-8.691625651922458e-16,SHORT,0.0,8.691625651922458e-16,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,22627655655.0,0.0,3.3e-05,1124172.0,1237961.0,0.0,0.604316291062481,0.0,0.0,0.0,0.720931,0.0,0.0,0.0,3.8411516351681275e-22,0.14776447004667104,4.007366912574629,0.738,0.0,0.3968,0.0,0.0,0.3429,0.0,2.0143,0.0,1.6502,0.0,0.0,0.3429,0.0,0.03428571428571428,0.19072161803888452,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.5337541724634811,1,-0.9533010507156968,1,0.0,0.0,0.0,748120.0,0.0,0.0,0.4007366912574629,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned"
MRNA,718.9633395304272,5002.415321191628,3,3,7192.425548837576,6,52.5,9.426762,10.13593,8.717593,6,1,1,316.3848390370686,2150.264843080001,316.3848390370686,2150.264843080001,3,3,8081578.0,2377420.0,226.8370520733476,324.51197160638174,0,1,-4283.451981661201,SHORT,239.6544465101424,1667.4717737305427,0.559943,0.570155,0.14372324034845682,1.0,0.0,0.3333333333333333,-0.3076923076923077,0.025641025641025605,31-90,0.3333,0,0.0,59749643148.0,0.000135,4e-05,,,,,0.0,0.0,0.315506,0.059803,0.0,0.0,4.010977034900741e-05,0.00027907644060738766,0.508266377179303,3.969718270350835,2.0429,0.0,1.6502,0.3111,0.15,0.6,0.3285,0.9226,0.0,1.6502,0.3111,0.15,0.6,0.3358,0.5989641825396824,0.44829400529233987,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.5041963779653487,1,0.0,0.0,8081578.0,3149260.0,0.0,0.0,0.3969718270350835,none,none
AZN,0.0,404766.91437804105,0,1,404766.91437804105,1,50.0,1.198459,,1.198459,1,0,1,0.0,404766.91437804105,0.0,404766.91437804105,0,1,0.0,794116.0,0.0,152930.98444985022,0,1,-404766.91437804105,SHORT,0.0,404766.91437804105,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,257869461022.0,0.0,3e-06,,,,,0.0,1e-06,0.0,0.377825,0.0,0.0,0.0,0.01569658201377745,0.23714745546734584,3.895110825180929,1.45,0.0,0.3215,0.0,0.0,0.6,0.0,1.45,0.0449,1.6502,0.0,0.15,0.6,0.0,0.06,0.1353126801326573,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.4257823152850846,1,-1.8210062441808983,1,0.0,0.0,0.0,794116.0,0.0,0.0,0.3895110825180929,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
ADBE,1.2239045642256917e-19,2.903720346949839e-18,3,3,3.1086074682231177e-18,6,82.0,18.10576,1.8774,34.334119,6,0,1,0.0,1.7829416240892298e-19,8.249666485070955e-20,2.482486430029245e-18,3,3,2036498.0,9354815.0,2.5686245737820213e-20,3.5246786083052206e-19,1,3,-2.7813298905272696e-18,SHORT,4.0796818807523055e-20,9.67906782316613e-19,0.325955,0.145067,0.04214953294353296,1.0,0.3333333333333333,1.0,0.025641025641025605,0.6923076923076923,31-90,0.3333,1,0.1667,108704325000.0,1.9e-05,8.6e-05,,,,,0.0,0.0,0.182471,0.121385,0.0,0.0,3.753007877793552e-27,8.90403194460398e-26,0.31654369133571114,3.583427873768878,0.4428,0.0,1.6502,0.3111,0.0,0.6,0.1614,0.84,0.0,1.6502,0.3111,0.15,0.6,0.0322,0.2705291214544493,0.538525735869393,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.9714422238919755,1,0.0,0.0,2302588.0,9354815.0,0.0,911573.0,0.3583427873768878,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned"
ARM,1.4049133433697814e-10,0.0031008708399569438,1,4,0.006201741960896556,5,87.4,17.541495,2.107822,21.399913,5,0,1,0.0,0.0005174034992280476,1.4049133433697814e-10,0.0017428982181876467,1,4,1088449.0,2174205.0,2.637650372582658e-11,0.00031033584977642177,0,1,-0.0031008706994656095,SHORT,1.4049133433697814e-10,0.0007752177099892359,0.0,0.437933,4.530705778733076e-08,1.0,0.0,0.25,-0.3076923076923077,-0.05769230769230771,91+,0.25,0,0.0,267141711567.0,4e-06,8e-06,,,,,0.0,0.0,0.187745,0.10008,0.0,0.0,5.2590564578209814e-18,2.9018969199604343e-11,0.24596365515882107,3.5007016327692106,0.2095,0.0,1.6502,0.0,0.0,0.6,0.0,0.3925,0.0,1.6502,0.4667,0.15,0.6,0.2414,0.18175644226463222,0.3442491110316751,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.64118421078697,1,0.0,0.0,2176898.0,4348410.0,2925910.0,0.0,0.3500701632769211,"confirmation_volume, momentum_aligned, not_extended, room_to_target, shooting_star_at_resistance, trend_aligned",none
NEM,0.0009979436298328593,7163.561103643662,1,2,14327.123205230953,3,80.333333,6.417991,5.584507,6.834733,3,0,2,0.0,7163.561103643662,0.0009979436298328593,7163.561103643662,1,2,721047.0,1307405.0,0.00012363317290362723,894.4445624367339,0,1,-7163.560105700032,SHORT,0.0009979436298328593,3581.780551821831,0.0,0.0,1.393083154306127e-07,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,138665902864.0,5e-06,9e-06,,,,,0.0,0.0,0.123888,0.12486,0.0,0.0,7.196748510061749e-11,0.00025830290488460965,0.30172405337371727,3.474938275078547,0.7671,0.0,1.6502,0.0,0.0,0.6,0.0,0.7692,0.0,1.6502,0.1556,0.3,0.6,0.0,0.24648653922592115,0.30791216839997093,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.9745851907210874,1,0.0,0.0,721047.0,1565550.0,550010.0,1415640.0,0.3474938275078547,"momentum_aligned, room_to_target","confirmation_volume, continuation_pattern, not_extended, trend_aligned"
DDOG,3.902194351465302e-20,1.5955683133334506e-20,4,4,5.720381807555137e-20,8,70.75,5.889672,9.021545,2.757799,8,2,1,2.727301613009779e-20,1.098298332324207e-27,2.6211897964223377e-20,1.4859695550793217e-20,4,4,3622365.5,3428360.5,1.3030308345787034e-20,1.8197313228763968e-21,2,1,2.3066260381318516e-20,LONG,9.755485878663255e-21,3.9889207833336265e-21,0.328278,0.068689,2.4456454285638602,1.0,0.5,0.25,0.1923076923076923,-0.05769230769230771,31-90,0.5,0,0.0,76247733469.0,4.8e-05,4.5e-05,,,,,0.0,0.0,0.327175,0.116433,0.0,0.0,1.2794460156156036e-27,5.231527026249771e-28,0.379752203246827,3.3509866918935645,0.6176,0.0,1.6502,0.4667,0.3,0.6,0.1631,0.4842,0.0,1.6502,0.4667,0.15,0.6,0.0,0.48516064624610333,0.42869278170929903,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.0802996053271743,1,0.0,0.0,5125270.0,6039166.0,0.0,1935563.0,0.33509866918935644,none,none
CRWD,332856.3137304105,1095881.730347282,1,4,1437188.0583937687,5,82.0,4.027299,11.734177,2.10058,5,0,2,0.0,1087431.7160314205,332856.3137304105,1087431.716031206,1,4,1012000.0,4580090.0,69828.1570880317,288014.8018323535,1,1,-763025.4166168715,SHORT,332856.3137304105,273970.4325868205,0.0,0.007711,0.30373379217201585,1.0,0.0,0.25,-0.3076923076923077,-0.05769230769230771,31-90,0.5,0,0.0,193707993410.0,5e-06,2.4e-05,240231086.0,51538182.0,0.0042126105195228565,0.08886789991932584,0.0,1e-06,0.209785,0.264603,0.0,0.0,0.017183406212147933,0.014143475845466946,0.24833492739681934,3.324783127407147,0.182,0.0512,1.6502,0.0,0.0,0.6,0.0,0.2695,0.0384,1.6502,0.4667,0.3,0.6,0.0,0.25160163960461124,0.3364364185559751,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.0685998248729294,1,0.0,0.0,1012000.0,5832042.0,0.0,9556154.0,0.3324783127407147,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned"
PLTR,0.0,8.046385423065662e-10,0,4,8.046385423065662e-10,4,98.0,14.121462,,14.121462,4,0,0,0.0,0.0,0.0,2.3822542521643496e-10,0,4,0.0,6650480.0,0.0,4.6559590666881433e-10,0,4,-8.046385423065662e-10,SHORT,0.0,2.0115963557664155e-10,0.0,0.703935,0.0,0.7,0.0,1.0,-0.3076923076923077,0.6923076923076923,91+,0.0,0,0.0,408376615898.0,0.0,1.6e-05,,,,,0.0,0.0,0.0,0.57864,0.0,0.0,0.0,4.925836292910686e-18,0.07295019156938774,3.234115280377457,0.2771,0.0,0.1096,0.0,0.0,0.3429,0.0,0.343,0.0,1.6502,0.4667,0.0,0.3429,0.4314,0.03428571428571428,0.3528675137120537,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.5,1,0.0,1300217.0,0.0,6650480.0,1304910.0,0.0,0.3234115280377457,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned"
PANW,0.0,2903342.0486429585,0,1,2903342.0486429585,1,85.0,5.943299,,5.943299,1,0,0,0.0,0.0,0.0,2903342.0486429585,0,1,0.0,4469150.0,0.0,1255195.2840952678,0,1,-2903342.0486429585,SHORT,0.0,2903342.0486429585,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,276537650000.0,0.0,1.6e-05,,,,,0.0,5e-06,0.0,0.432328,0.0,0.0,0.0,0.10498903308981467,0.11258137205259271,3.1965316064921856,0.4288,0.0,0.097,0.0,0.0,0.6,0.0,0.5437,0.4026,1.6502,0.0,0.0,0.6,0.0,0.06,0.3290391928371851,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.0831638402306476,1,0.0,0.0,0.0,4469150.0,0.0,0.0,0.31965316064921856,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned"
MDB,0.0,202876.360921015,0,1,405752.72184203,1,85.0,2.0,,2.0,1,0,0,0.0,0.0,0.0,202876.360921015,0,1,0.0,441300.0,0.0,138526.53624080154,0,1,-202876.360921015,SHORT,0.0,202876.360921015,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,32664209874.0,0.0,1.4e-05,,,,,0.0,4e-06,0.0,0.682813,0.0,0.0,0.0,0.062109679586188356,0.1382968139578891,3.062343287248312,0.5695,0.0,0.2134,0.0,0.0,0.6,0.0,0.5776,0.2346,1.6502,0.0,0.0,0.6,0.0,0.06,0.23685614914699074,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.3152187514041374,1,-1.9861698233643061,1,0.0,0.0,0.0,882600.0,0.0,0.0,0.3062343287248312,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned"
DELL,4.861059193862764e-07,1049.3972556079198,2,2,2098.794512188049,4,67.5,10.402753,19.621951,1.183554,4,2,0,4.861059193862764e-07,0.0,4.861030937842854e-07,572.3805342097565,2,2,2119293.0,720598.5,2.0798126230391337e-07,343.664624710702,0,2,-1049.397255121814,SHORT,2.430529596931382e-07,524.6986278039599,6e-06,0.454563,4.6322392858238744e-10,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,150682891705.0,1.4e-05,5e-06,,,,,0.0,0.0,0.427851,0.327488,0.0,0.0,1.6130096585150228e-14,3.4821380308468634e-05,0.3070621581730469,3.0001492234357507,0.3649,0.0,1.6502,0.1556,0.3,0.6,0.0,0.3412,0.0,1.6502,0.1556,0.0,0.6,0.2533,0.3269501136035156,0.16384969535290528,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.5,1,0.0,747611.0,3584291.0,1441197.0,0.0,0.0,0.3000149223435751,none,none
TEM,0.0,54.56322865060924,0,1,54.56322865060924,1,53.0,3.225589,,3.225589,1,0,0,0.0,0.0,0.0,54.56322865060924,0,1,0.0,527998.0,0.0,20.15376004952473,0,1,-54.56322865060924,SHORT,0.0,54.56322865060924,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,12010773420.0,0.0,4.4e-05,,,,,0.0,0.0,0.0,0.369365,0.0,0.0,0.0,4.542857211822188e-05,0.1342341102949201,2.961132929698786,0.4951,0.0,0.2472,0.0,0.0,0.6,0.0,0.711,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.3805582278917446,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.9123197826404956,1,0.0,1220253.0,0.0,527998.0,0.0,0.0,0.2961132929698786,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned"
FCEL,0.0,8.531206048033826e-16,0,1,1.7062412096067651e-15,1,67.0,12.441989,,12.441989,1,0,0,0.0,0.0,0.0,8.531206048033826e-16,0,1,0.0,415695.0,0.0,2.5702749752251327e-16,0,1,-8.531206048033826e-16,SHORT,0.0,8.531206048033826e-16,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,1289287859.0,0.0,0.000322,,,,,0.0,0.0,0.0,0.301279,0.0,0.0,0.0,6.616990913612432e-21,0.1052324762389796,2.881710140945332,0.2883,0.0,0.1641,0.0,0.0,0.6,0.0,0.6315,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.942247512918235,1,0.0,0.0,0.0,831390.0,0.0,0.0,0.28817101409453316,"not_extended, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned, room_to_target"
BABA,0.0,48.911428144673174,0,3,97.82285628934635,3,78.333333,24.403694,,24.403694,3,0,0,0.0,0.0,0.0,48.89177897427902,0,3,0.0,1343494.5,0.0,4.2141456727956506,0,1,-48.911428144673174,SHORT,0.0,16.303809381557723,0.0,0.000402,0.0,1.0,0.0,0.3333333333333333,-0.3076923076923077,0.025641025641025605,31-90,0.0,0,0.0,278310781127.0,0.0,5e-06,,,,,0.0,0.0,0.0,0.086159,0.0,0.0,0.0,5.858130725492052e-07,0.10553417253508503,2.867917879132838,0.293,0.0,0.1623,0.0,0.0,0.6,0.0,0.3066,0.0,1.6502,0.3111,0.0,0.6,0.0,0.06,0.27759765033703226,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.9864404483644547,1,0.0,0.0,0.0,2686989.0,0.0,0.0,0.2867917879132838,"confirmation_volume, consolidation_breakdown, momentum_aligned, not_extended, room_to_target, trend_aligned",none
