ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
KORU,4160109.5366287827,0.0,7,0,8320219.0732575655,7,57.0,204.5,204.5,,7,7,0,4160109.5366287827,0.0,1444913.580158279,0.0,7,0,4565385.0,0.0,3150194.2452471806,0.0,7,0,4160109.5366287827,LONG,594301.3623755404,0.0,0.652674,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,1.0,0,0.0,1491385108.0,0.003061,0.0,0.002112,0.0,0.757238,0.0,0.0,0.0,3.9848953780457115,0.0,8.249594878196948,0.09561276221199073,1.8715,1.7,1.7,0.9333,1.05,0.6,0.3948,0.3561,0.0,0.0,0.0,0.0,0.6,0.0,0.9278100476190477,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,9130770.0,0.0,0.0,0.0,0.8249594878196947,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
SMMT,937766.6523123317,0.0,1,0,937766.6523123317,1,57.0,21.771014,21.771014,,1,0,0,0.0,0.0,937766.6523123317,0.0,1,0,1007500.0,0.0,357703.17203624005,0.0,1,0,937766.6523123317,LONG,937766.6523123317,0.0,0.0,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.0,1,1.0,20454331826.0,4.9e-05,0.0,1.7e-05,0.0,0.381442,0.0,0.0,0.0,0.45846848495941267,0.0,6.695804458908466,0.11478642940663977,2.815,1.5808,1.7,0.0,0.0,0.6,0.0,0.5479,0.0,0.0,0.0,0.0,0.6,0.0,0.5531278294395197,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,1007500.0,0.0,0.0,0.0,0.6695804458908465,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned
WIX,594156.2027020142,0.0,1,0,594156.2027020142,1,86.0,9.5,9.5,,1,0,0,0.0,0.0,594156.2027020142,0.0,1,0,650160.0,0.0,316928.2119440167,0.0,1,0,594156.2027020142,LONG,594156.2027020142,0.0,0.0,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.0,0,0.0,4240242119.0,0.000153,0.0,7.5e-05,0.0,0.533409,0.0,0.0,0.0,1.4012317835334778,0.0,5.357875045395161,0.1370465129054062,1.3579,1.7,1.7,0.0,0.0,0.6,0.0,0.7705,0.0,0.0,0.0,0.0,0.6,0.0,0.69,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,650160.0,0.0,0.0,0.0,0.5357875045395162,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned"
NN,6.370195417715374e-10,0.0,2,0,6.370195417715374e-10,2,70.0,2.723989,2.723989,,2,0,0,0.0,0.0,3.3830284156564915e-10,0.0,2,0,2940000.0,0.0,8.841555168200108e-11,0.0,0,0,6.370195417715374e-10,LONG,3.185097708857687e-10,0.0,0.468929,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,2,1.0,3060394159.0,0.000961,0.0,0.0,0.0,0.138796,0.0,0.0,0.0,1.0407475453744934e-15,0.0,5.346383320662335,0.13191039347075825,2.815,0.0,1.5123,0.1556,0.0,0.6,0.2635,0.7191,0.0,0.0,0.0,0.0,0.6,0.0,0.5431388789841269,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,2940000.0,0.0,0.0,0.0,0.5346383320662336,"confirmation_volume, not_extended, trend_continuation","momentum_aligned, room_to_target, trend_aligned"
LOGI,2.2424076397796595e-09,0.0,1,0,4.484815279559319e-09,1,69.0,6.024096,6.024096,,1,0,0,0.0,0.0,2.2424076397796595e-09,0.0,1,0,682500.0,0.0,8.828948983023065e-10,0.0,0,0,2.2424076397796595e-09,LONG,2.2424076397796595e-09,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,14390636829.0,4.7e-05,0.0,0.0,0.0,0.393726,0.0,0.0,0.0,1.5582407272350598e-15,0.0,5.1149945308210665,0.14331661566285658,2.815,0.0,1.7,0.0,0.0,0.6,0.0,0.8332,0.0,0.0,0.0,0.0,0.6,0.0,0.3893106003468572,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,1365000.0,0.0,0.0,0.0,0.5114994530821066,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned"
CRCL,1034536.6788526999,0.0,2,0,2069073.3577053999,2,86.0,7.737624,7.737624,,2,2,0,1034536.6788526999,0.0,542408.8458949584,0.0,2,0,1075495.5,0.0,614669.86350681,0.0,2,0,1034536.6788526999,LONG,517268.33942634996,0.0,0.475699,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,1.0,0,0.0,21902253699.0,4.9e-05,0.0,2.8e-05,0.0,0.59415,0.0,0.0,0.0,0.23617128471576745,0.0,4.4777428675120845,0.10923192798039072,0.575,0.8788,1.7,0.1556,0.3,0.6,0.2684,0.4923,0.0,0.0,0.0,0.0,0.6,0.0,0.5553214493965078,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,2150991.0,0.0,0.0,0.0,0.44777428675120845,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
AAOI,857362.7171642067,0.0,1,0,857362.7171642067,1,30.0,2.752688,2.752688,,1,0,0,0.0,0.0,857362.7171642067,0.0,1,0,965730.0,0.0,199890.5193840118,0.0,1,0,857362.7171642067,LONG,857362.7171642067,0.0,0.0,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,8-30,0.0,0,0.0,11322685876.0,8.5e-05,0.0,1.8e-05,0.0,0.233146,0.0,0.0,0.0,0.7572078979789643,0.0,4.200045578667451,0.08573596740927954,0.3682,1.7,1.5318,0.0,0.0,0.6,0.0,0.2574,0.0,0.0,0.0,0.0,0.6,0.0,0.6400900567195391,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,965730.0,0.0,0.0,0.0,0.4200045578667451,"confirmation_volume, not_extended, room_to_target, trend_aligned","continuation_pattern, momentum_aligned"
PTON,6.687489493794427e-30,0.0,1,0,6.687489493794427e-30,1,52.0,3.887723,3.887723,,1,0,0,0.0,0.0,6.687489493794427e-30,0.0,1,0,560000.0,0.0,3.915441967754789e-30,0.0,0,0,6.687489493794427e-30,LONG,6.687489493794427e-30,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,2048261830.0,0.000273,0.0,0.0,0.0,0.585488,0.0,0.0,0.0,3.2649583153118797e-35,0.0,4.101570374531038,0.13933858081762251,1.8016,0.0,1.7,0.0,0.0,0.6,0.0,0.7934,0.0,0.0,0.0,0.0,0.6,0.0,0.52,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,560000.0,0.0,0.0,0.0,0.41015703745310383,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned"
MRVL,1196746.900731376,0.0,2,0,1196746.900731376,2,86.0,105.380368,105.380368,,2,2,0,1196746.900731376,0.0,619799.9161611052,0.0,2,0,1292222.0,0.0,250661.3096295785,0.0,2,0,1196746.900731376,LONG,598373.450365688,0.0,0.482096,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,1.0,0,0.0,132290333000.0,1e-05,0.0,2e-06,0.0,0.209452,0.0,0.0,0.0,0.04523183491916133,0.0,3.955026971564897,0.1305265085377879,0.7599,0.1666,1.7,0.1556,0.3,0.6,0.2729,0.7053,0.0,0.0,0.0,0.0,0.6,0.0,0.3557431057875246,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,1292222.0,0.0,0.0,0.0,0.3955026971564897,none,not_extended
SATS,8.417175994276356e-28,9.860679044897797e-20,2,1,9.860679129069557e-20,3,60.0,2.390553,2.79202,1.587619,3,0,0,0.0,0.0,4.396325106176056e-28,9.860679044897797e-20,2,1,5012490.0,1948500.0,1.9946581580750844e-28,6.29526340163064e-21,0,0,-9.860678960726038e-20,SHORT,4.208587997138178e-28,9.860679044897797e-20,0.477696,0.0,8.536101779554064e-09,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,2,0.6667,19511342649.0,0.000257,0.0001,0.0,0.0,0.236975,0.063842,0.0,0.0,2.156995586028457e-34,5.053818808006624e-26,3.796455729832062,0.21387379262431916,1.2125,0.0,1.5586,0.1556,0.0,0.6,0.2698,0.7992,0.0,0.7396,0.0,0.0,0.6,0.0,0.5483912012698413,0.42395809199999995,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,5012490.0,1948500.0,0.0,0.0,0.37964557298320617,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned
