ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
HUT,2477.1706061399013,41530.500973324444,1,6,88008.45435012718,7,74.714286,10.154069,0.304511,11.795663,7,0,0,0.0,0.0,2477.1706061399013,17980.31134350594,1,6,10406.340843562695,31280.0,966729.5,-39053.33036718454,SHORT,2477.1706061399013,6921.750162220741,0.0,0.567058,0.05964701961411491,1.0,5608678825.0,6e-06,0.000172,0.19768105974564493,6.9325117150464175,0.6932511715046418,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, trend_aligned",room_to_target
RBRK,0.0,193868.14869634726,0,5,387736.2973926945,5,75.2,8.976691,,8.976691,5,0,1,0.0,15134.031766212565,0.0,96702.15011415172,0,5,301.20467738410883,0.0,434178.5,-193868.14869634726,SHORT,0.0,38773.629739269454,0.0,0.501196,0.0,1.0,7490887198.0,0.0,5.8e-05,0.18,6.715200234110744,0.6715200234110744,none,not_extended
ARM,180904.86166267152,183817.6457388216,10,14,548167.5988581593,24,60.791667,6.786771,1.679446,10.434861,24,0,8,0.0,81591.42266729758,112571.37178195112,79090.86015839285,10,14,50.12780703941303,1509065.0,821789.5,-2912.78407615007,SHORT,18090.486166267154,13129.831838487256,0.377732,0.569732,0.9841539474382741,1.0,163548326642.0,9e-06,5e-06,0.47078546998694654,6.370196739914707,0.6370196739914707,none,none
DOW,58609.44038666896,37820.80213263008,6,6,125881.78718964718,12,66.0,85.470035,2.084008,168.856062,12,1,0,26.10215645667101,0.0,56681.60115513035,28474.966031843232,6,6,53.43935316162752,510504.0,1698618.0,20788.63825403888,LONG,9768.240064444826,6303.467022105014,0.032893,0.247108,1.5496614847336456,1.0,28321069822.0,1.8e-05,6e-05,0.438361466102693,5.849390144143952,0.5849390144143952,none,trend_aligned
GOOG,27727.791864255905,203339.96136026812,7,9,361964.697773661,16,79.4375,3.755463,0.10844,6.592035,16,0,3,0.0,19942.950475948146,7377.918476175705,87215.60254884751,7,9,14.226237031670081,715757.5,2295282.0,-175612.1694960122,SHORT,3961.1131234651293,22593.329040029792,0.733916,0.571085,0.13636174453249314,1.0,1879382770000.0,0.0,1e-06,0.3052797142857143,5.691407532521888,0.5691407532521888,none,not_extended
SMH,0.0,2897089.968267703,0,2,2944611.190019105,2,80.5,0.659701,,0.659701,2,0,0,0.0,0.0,0.0,2849568.746516301,0,2,29.982065290989997,0.0,3139522.5,-2897089.968267703,SHORT,0.0,1448544.9841338515,0.0,0.016403,0.0,1.0,42403439294.0,0.0,7.4e-05,0.18,5.519556782112284,0.5519556782112284,"confirmation_volume, momentum_aligned, not_extended, room_to_target, structural_breakdown, trend_aligned",none
FXI,283.6746708684197,40190.407558259976,2,3,41518.75564040998,5,78.0,0.458235,0.028107,0.744987,5,0,1,0.0,39429.40881784681,159.05781656432805,39429.40881784681,2,3,39.32073402811207,79678.0,654133.0,-39906.732887391554,SHORT,141.83733543420985,13396.802519419993,0.439295,0.018935,0.007058268081934854,1.0,5818591318.0,1.4e-05,0.000112,0.2618743439658113,5.239392305743804,0.5239392305743804,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, trend_aligned",room_to_target
OXY,103061.26820650107,125272.3381051242,15,8,349770.5313672923,23,67.043478,8.500237,6.992181,11.327843,23,3,1,56108.29268857095,2359.7640340277785,47829.978812056455,105003.47092105208,15,8,39.16834558698234,2004564.0,541970.0,-22211.06989862313,SHORT,6870.751213766738,15659.042263140525,0.535907,0.161798,0.8226977301247114,1.0,63476121980.0,3.2e-05,9e-06,0.6295105374821657,5.1455905878062325,0.5145590587806232,none,none
CRM,14669.053236639984,119640.08852787667,5,11,146635.52012657822,16,73.0,0.625799,0.463875,0.699401,16,2,7,7653.879020744527,67458.10701280377,7567.577474468879,49389.37085485011,5,11,10.228592996315522,653967.0,2418037.5,-104971.03529123668,SHORT,2933.810647327997,10876.371684352423,0.484113,0.587184,0.12260984940028719,1.0,171345720000.0,4e-06,1.4e-05,0.2964807919358488,5.101671019842826,0.5101671019842826,"confirmation_volume, ema_rally, momentum_aligned, not_extended, trend_aligned",room_to_target
IBIT,238653.82837390617,1034440.6288049046,11,4,1423879.4190070909,15,54.466667,0.667299,0.411385,1.371063,15,6,0,85240.41682787595,0.0,78905.38476501967,867180.507792892,11,4,31.07959464996508,1416007.5,1168020.0,-795786.8004309984,SHORT,21695.802579446015,258610.15720122616,0.669373,0.161691,0.2307080964613932,1.0,53804622473.0,2.6e-05,2.2e-05,0.5562752127912339,4.957940354641359,0.49579403546413586,none,none
