ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
CELH,9.197319712340814e-13,0.0,1,0,9.197319712340814e-13,1,73.0,2.60574,2.60574,,1,0,0,0.0,0.0,9.197319712340814e-13,0.0,1,0,719800.0,0.0,3.47716644094051e-14,0.0,0,0,9.197319712340814e-13,LONG,9.197319712340814e-13,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,8680649044.0,8.3e-05,0.0,0.0,0.0,0.037806,0.0,0.0,0.0,1.0595198199722098e-18,0.0,2.7637838885187813,0.0848868526485502,0.7319,0.0,1.4319,0.0,0.0,0.6,0.0,0.2489,0.0,0.0,0.0,0.0,0.6,0.0,0.45548368832279745,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,719800.0,0.0,0.0,0.0,0.27637838885187815,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned"
GOOGL,0.003963683123768107,0.0,2,0,0.0039637778079102326,2,64.5,3.452241,3.452241,,2,1,0,0.00396358843962598,0.0,0.00396358843962598,0.0,2,0,2177263.0,0.0,0.0004973838401868083,0.0,0,0,0.003963683123768107,LONG,0.0019818415618840534,0.0,2.4e-05,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,1964459240000.0,1e-06,0.0,0.0,0.0,0.125495,0.0,0.0,0.0,1.0088484003791565e-11,0.0,2.756294108548152,0.0990357516861064,0.1507,0.0,1.7,0.1556,0.15,0.6,0.0,0.3904,0.0,0.0,0.0,0.0,0.6,0.0,0.26055555555555554,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,3617628.0,0.0,520202.0,1261967.0,0.2756294108548152,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended"
CVNA,0.0017705046964507252,0.3363225558118509,1,1,0.6761861210166032,2,93.0,7.32971,4.937198,9.722222,2,1,0,0.0017705046964507252,0.0,0.0017705046964507252,0.3363225558118509,1,1,374669.0,300863.0,1.128470140169618e-05,0.032021511326312646,0,0,-0.33455205111540015,SHORT,0.0017705046964507252,0.3363225558118509,0.0,0.0,0.005264305547919301,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,57378523832.0,7e-06,5e-06,0.0,0.0,0.006374,0.095211,0.0,0.0,3.085657451966924e-10,5.8614710409172956e-08,2.7464805406798742,0.2747718804697419,0.5536,0.0,1.7,0.0,0.15,0.3429,0.0,0.7049,0.0,1.7,0.0,0.0,0.3429,0.0,0.24378145386233888,0.22077225351163543,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,749338.0,601726.0,0.0,5758316.0,0.2746480540679874,none,none
EWZ,0.00018748048424662198,0.0,1,0,0.00018748048424662198,1,95.0,41.074468,41.074468,,1,0,0,0.0,0.0,0.00018748048424662198,0.0,1,0,609136.0,0.0,5.131470396213639e-05,0.0,0,0,0.00018748048424662198,LONG,0.00018748048424662198,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,11908491029.0,5.1e-05,0.0,0.0,0.0,0.273707,0.0,0.0,0.0,1.5743429103659108e-10,0.0,2.7035019010192363,0.08058402119112242,0.6606,0.0,1.7,0.0,0.0,0.3429,0.0,0.463,0.0,0.0,0.0,0.0,0.3429,0.0,0.3749923017683964,0.03428571428571428,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,609136.0,0.0,0.0,0.0,0.2703501901019236,"momentum_aligned, not_extended, trend_aligned","confirmation_volume, continuation_pattern, room_to_target"
RDDT,3.756495682411785e-20,0.0,1,0,3.756495682411785e-20,1,31.0,12.844828,12.844828,,1,0,0,0.0,0.0,3.756495682411785e-20,0.0,1,0,575190.0,0.0,6.301686894737648e-21,0.0,0,0,3.756495682411785e-20,LONG,3.756495682411785e-20,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,23220920190.0,2.5e-05,0.0,0.0,0.0,0.167754,0.0,0.0,0.0,1.6177204226512546e-26,0.0,2.693179035143639,0.09615616063202889,0.3932,0.0,1.7,0.0,0.0,0.6,0.0,0.3616,0.0,0.0,0.0,0.0,0.6,0.0,0.32049519762896644,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,550620.0,575190.0,0.0,0.0,0.0,0.2693179035143639,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
AAOI,0.001191408324993753,0.0,1,0,0.002382816649987506,1,31.0,8.568966,8.568966,,1,0,0,0.0,0.0,0.001191408324993753,0.0,1,0,363340.0,0.0,5.269942964299563e-05,0.0,0,0,0.001191408324993753,LONG,0.001191408324993753,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,12292750615.0,3e-05,0.0,0.0,0.0,0.044233,0.0,0.0,0.0,9.691958800009814e-10,0.0,2.6410487753948777,0.0863802649171243,0.341,0.0,1.7,0.0,0.0,0.6,0.0,0.2638,0.0,0.0,0.0,0.0,0.6,0.0,0.337143410833306,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,645830.0,726680.0,0.0,0.0,0.0,0.26410487753948775,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target
GEV,1414845.6971593725,0.0,1,0,2829691.394318745,1,58.0,8.748387,8.748387,,1,0,0,0.0,0.0,1414845.6971593725,0.0,1,0,1593332.0,0.0,141001.0942010683,0.0,1,0,1414845.6971593725,LONG,1414845.6971593725,0.0,0.0,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.0,0,0.0,266882684664.0,6e-06,0.0,1e-06,0.0,0.099658,0.0,0.0,0.0,0.05301376891275787,0.0,2.6078890819860328,0.07443737008150877,0.1098,0.1981,1.7,0.0,0.0,0.6,0.0,0.1444,0.0,0.0,0.0,0.0,0.6,0.0,0.27032060329841956,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,3186664.0,0.0,0.0,0.0,0.2607889081986033,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target
MDB,5.039698196960309e-13,0.0,1,0,5.039698196960309e-13,1,102.0,2.641509,2.641509,,1,0,0,0.0,0.0,5.039698196960309e-13,0.0,1,0,525410.0,0.0,1.0052791934956096e-13,0.0,0,0,5.039698196960309e-13,LONG,5.039698196960309e-13,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,21226395776.0,2.5e-05,0.0,0.0,0.0,0.199472,0.0,0.0,0.0,2.37425997806869e-19,0.0,2.5655562799084883,0.09576361993893936,0.7665,0.0,1.4562,0.0,0.0,0.3429,0.0,0.6148,0.0,0.0,0.0,0.0,0.3429,0.0,0.2704035239146807,0.03428571428571428,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1163691.0,0.0,525410.0,0.0,0.0,0.0,0.25655562799084886,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned"
SNDK,0.13028663723325365,0.020988245090665405,1,1,0.3025497646478381,2,30.0,6.036885,3.57377,8.5,2,0,0,0.0,0.0,0.13028663723325365,0.020988245090665405,1,1,1451222.0,305032.5,0.09472559900752849,2.665083720438919e-06,0,0,0.10929839214258824,LONG,0.13028663723325365,0.020988245090665405,0.0,0.0,6.20760033392211,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,134731849682.0,1.1e-05,2e-06,0.0,0.0,0.727055,0.000127,0.0,0.0,9.670069663614198e-09,1.557779035929721e-09,2.548890922525916,0.2579082508332409,0.2489,0.0,1.7,0.0,0.0,0.6,0.0,0.2791,0.0,1.7,0.0,0.0,0.6,0.0,0.2700745531955577,0.23418205378098517,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1681424.0,1876479.0,2902444.0,610065.0,0.0,996680.0,0.2548890922525916,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
TTD,6.989387791166292e-13,0.0,1,0,6.989387791166292e-13,1,102.0,5.112078,5.112078,,1,0,0,0.0,0.0,6.989387791166292e-13,0.0,1,0,579080.0,0.0,4.682997427399022e-14,0.0,0,0,6.989387791166292e-13,LONG,6.989387791166292e-13,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,10410485453.0,5.6e-05,0.0,0.0,0.0,0.067002,0.0,0.0,0.0,6.713796222780516e-19,0.0,2.525278164567626,0.07123978206211695,0.4824,0.0,1.7,0.0,0.0,0.3429,0.0,0.3695,0.0,0.0,0.0,0.0,0.3429,0.0,0.38882007253474626,0.03428571428571428,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,528283.0,0.0,579080.0,0.0,0.0,0.0,0.2525278164567626,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence",trend_aligned
