ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bearish_score_raw
XLI,0.0,83727.10077873274,0,3,83727.10077873274,3,61.0,74.28,,74.28,3,0,1,0.0,47836.33723333307,0.0,47836.33723333307,0,3,-83727.10077873274,SHORT,0.0,27909.033592910913,0.0,0.57,0.0,1.0,0.05,10.0,0.8598320335096666
CMG,0.0,120157.92595867913,0,3,120157.92595867913,3,54.0,37.62,,37.62,3,0,2,0.0,119738.4405735088,0.0,98883.19987522395,0,3,-120157.92595867913,SHORT,0.0,40052.64198622638,0.0,0.82,0.0,1.0,0.05,9.660410097867219,0.8361978225451496
SPY,329616.38113433623,369887.36690485396,2,3,699503.7480391902,5,51.8,0.84,0.77,0.88,5,1,2,131355.78167706032,221921.8730603655,198260.59945727594,147965.49384448846,2,3,-40270.98577051773,SHORT,164808.19056716812,123295.78896828466,0.6,0.4,0.8911263552808046,1.0,0.6458189475399726,8.499611117264283,0.7554104733846934
XLU,0.0,21576.337606788806,0,2,21576.337606788806,2,43.0,0.66,,0.66,2,0,2,0.0,21576.337606788806,0.0,21309.187794827685,0,2,-21576.337606788806,SHORT,0.0,10788.168803394403,0.0,0.99,0.0,1.0,0.05,6.845489556531061,0.6402896830378726
QQQ,0.0,523410.9977494593,0,2,523410.9977494593,2,90.0,0.14,,0.14,2,0,0,0.0,0.0,0.0,344838.56324264134,0,2,-523410.9977494593,SHORT,0.0,261705.49887472964,0.0,0.66,0.0,1.0,0.05,6.746163472183443,0.6333769520732364
IWM,0.0,164529.72566922908,0,1,164529.72566922908,1,56.0,0.52,,0.52,1,0,1,0.0,164529.72566922908,0.0,164529.72566922908,0,1,-164529.72566922908,SHORT,0.0,164529.72566922908,0.0,1.0,0.0,1.0,0.05,6.546112328996935,0.6194541266533156
HOOD,7.0906305464851584,51608.67883373233,1,3,51615.76946427881,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,7.0906305464851584,50609.984884493526,1,3,-51601.58820318584,SHORT,7.0906305464851584,17202.892944577445,1.0,0.98,0.00013739221206047613,1.0,0.21653245454481546,6.470484016019305,0.6141906736101654
CIA,0.0,111174.27155209161,0,1,111174.27155209161,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,111174.27155209161,0,1,-111174.27155209161,SHORT,0.0,111174.27155209161,0.0,1.0,0.0,1.0,0.05,5.620036549562822,0.5550026509091472
ORCL,63557.49743380189,106721.81621553405,1,1,170279.31364933593,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,63557.49743380189,106721.81621553405,1,1,-43164.31878173217,SHORT,63557.49743380189,106721.81621553405,1.0,1.0,0.5955436262951331,1.0,0.5331488994553448,5.593018343088035,0.5531222828896697
LEU,0.0,77103.69473969833,0,1,77103.69473969833,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,77103.69473969833,0,1,-77103.69473969833,SHORT,0.0,77103.69473969833,0.0,1.0,0.0,1.0,0.05,5.45829975229672,0.5437463633596495
