ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bearish_score_raw,checks_passed,checks_failed
INFQ,0.0,524877.4149040179,0,1,524877.4149040179,1,57.0,1.723404,,1.723404,1,0,0,0.0,0.0,0.0,524877.4149040179,0,1,0.0,570000.0,0.0,273397.7348383384,0,1,-524877.4149040179,SHORT,0.0,524877.4149040179,0.0,0.0,0.0,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.0,0,0.0,3249243624.0,0.0,0.000175,0.0,8.4e-05,0.0,0.520879,0.0,0.0,0.0,1.6153833803876625,0.13529107787241829,5.238203903520084,0.7529,0.0,0.0,0.0,0.0,0.6,0.0,2.1063,1.7,0.8319,0.0,0.0,0.6,0.0,0.06,0.603191472,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,570000.0,0.0,0.0,0.5238203903520084,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned
EQNR,0.0,43372.47847804415,0,1,43372.47847804415,1,87.0,17.020833,,17.020833,1,0,0,0.0,0.0,0.0,43372.47847804415,0,1,0.0,643200.0,0.0,18754.87418385977,0,0,-43372.47847804415,SHORT,0.0,43372.47847804415,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,94135204280.0,0.0,7e-06,0.0,0.0,0.0,0.432414,0.0,0.0,0.0,0.00460746633629594,0.11377207866702321,4.001213655660896,0.5377,0.0,0.0,0.0,0.0,0.6,0.0,1.7012,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.25449573957662464,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,643200.0,0.0,0.0,0.4001213655660896,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
DIA,1.3467175166873788,0.5288018143843447,1,1,1.8755193310717235,2,76.5,87.621406,172.0,3.242812,2,0,0,0.0,0.0,1.3467175166873788,0.5288018143843447,1,1,1054000.0,768797.0,0.8698131079580934,0.22266041229908431,0,0,0.8179157023030341,LONG,1.3467175166873788,0.5288018143843447,0.0,0.0,2.546733918179326,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,491.419824,0.0,0.0,0.0,0.0,0.645876,0.421066,0.0,0.0,0.0,0.0,0.3278720852059578,3.75,0.9787,0.0,1.7,0.0,0.0,0.6,0.0,1.45,0.0,1.7,0.0,0.0,0.6,0.0,0.23,0.23,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0.0,0.0,1054000.0,768797.0,0.0,0.0,0.375,none,none
APH,0.0,676629.0694692836,0,1,676629.0694692836,1,86.0,13.848485,,13.848485,1,0,0,0.0,0.0,0.0,676629.0694692836,0,1,0.0,717320.0,0.0,359722.75347620336,0,1,-676629.0694692836,SHORT,0.0,676629.0694692836,0.0,0.0,0.0,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.0,0,0.0,186754624315.0,0.0,4e-06,0.0,2e-06,0.0,0.53164,0.0,0.0,0.0,0.03623091379670523,0.11839188386270974,3.3504300429174942,0.5839,0.0,0.0,0.0,0.0,0.6,0.0,0.9205,0.1299,1.7,0.0,0.0,0.6,0.0,0.06,0.2554150852293625,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,717320.0,0.0,0.0,0.33504300429174944,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
TTD,270566.3031129479,282176.6296919184,1,1,1105485.8656097325,2,71.5,2.04465,1.745955,2.343345,2,0,0,0.0,0.0,270566.3031129479,282176.6296919184,1,1,314433.0,325132.5,100979.94941068243,37828.140444435056,1,1,-11610.326578970475,SHORT,270566.3031129479,282176.6296919184,0.0,0.0,0.9588544005517159,1.0,1.0,1.0,0.6923076923076923,0.6923076923076923,31-90,0.0,0,0.0,10042547298.0,3.1e-05,3.2e-05,1e-05,4e-06,0.373217,0.134058,0.0,0.0,0.2694199938364561,0.28098113090103605,0.2793352673360696,3.3185682718034597,0.3546,0.9915,0.8472,0.0,0.0,0.6,0.0,0.4351,1.03,1.2535,0.0,0.0,0.6,0.0,0.35427100883449575,0.40197002915641195,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,628866.0,650265.0,0.0,0.0,0.331856827180346,none,none
ON,0.0,33819.866556613466,0,1,33819.866556613466,1,87.0,14.234694,,14.234694,1,0,0,0.0,0.0,0.0,33819.866556613466,0,1,0.0,619857.0,0.0,6366.961727594961,0,0,-33819.866556613466,SHORT,0.0,33819.866556613466,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,34244324262.0,0.0,1.8e-05,0.0,0.0,0.0,0.188261,0.0,0.0,0.0,0.009876050202614879,0.10841124662031199,3.266949878310616,0.4841,0.0,0.0,0.0,0.0,0.6,0.0,0.9464,0.0205,1.7,0.0,0.0,0.6,0.0,0.06,0.29808765069416643,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,619857.0,567455.0,0.0,0.3266949878310616,none,not_extended
CRDO,0.0,669994.0563821392,0,2,669994.0563821392,2,57.5,2.403081,,2.403081,2,0,0,0.0,0.0,0.0,641903.8748665346,0,2,0.0,1533050.0,0.0,404258.37634506176,0,0,-669994.0563821392,SHORT,0.0,334997.0281910696,0.0,0.041926,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,33813363001.0,0.0,4.5e-05,0.0,1.2e-05,0.0,0.603376,0.0,0.0,0.0,0.09907237803621083,0.11357405284637354,3.197104487687803,0.5357,0.0,0.0,0.0,0.0,0.6,0.0,0.7676,0.3798,1.2941,0.1556,0.0,0.6,0.0,0.06,0.396444068479872,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,1533050.0,823024.0,0.0,0.3197104487687803,none,not_extended
SPY,0.0,255380.1862407936,0,1,510760.3724815872,1,100.0,2.418848,,2.418848,1,0,0,0.0,0.0,0.0,255380.1862407936,0,1,0.0,300898.0,0.0,103034.47045467823,0,1,-255380.1862407936,SHORT,0.0,255380.1862407936,0.0,0.0,0.0,0.7,0.0,1.0,-0.3076923076923077,0.6923076923076923,91+,0.0,0,0.0,704.032065,0.0,0.0,0.0,0.0,0.0,0.403455,0.0,0.0,0.0,0.0,0.13215779949167206,3.097673782857143,0.9787,0.0,0.0,0.0,0.0,0.3429,0.0,1.45,0.0,1.3048,0.0,0.0,0.3429,0.0,0.03428571428571428,0.1647673782857143,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,601796.0,0.0,0.0,0.3097673782857143,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned"
VRT,265456.0145805414,0.07542024211879259,2,3,530912.1045813248,5,40.6,124.100816,263.786859,30.976787,5,0,0,0.0,0.0,265456.0145759402,0.0753920260436776,2,3,829694.0,2716458.0,834.9202110308564,0.012295344804148204,0,0,265455.9391602993,LONG,132728.0072902707,0.025140080706264195,0.0,0.000374,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,119539064092.0,7e-06,2.3e-05,0.0,0.0,0.003145,0.163024,0.0,0.0,0.01110331658512235,2.103084953627863e-09,0.2691992162258444,3.0743001283442704,0.2107,0.0257,1.7,0.1556,0.0,0.6,0.0,0.4632,0.0,1.7,0.3111,0.0,0.6,0.0,0.27262142556500724,0.3447597889388317,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,536240.0,1659388.0,2716458.0,0.0,0.0,0.30743001283442706,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
MRVL,4041814.041873073,234011.30561571658,6,1,4509836.653104506,7,86.0,74.118317,77.98773,50.90184,7,3,0,1755478.1108532934,0.0,784552.2446578431,234011.30561571658,6,1,5577972.0,327550.0,828607.4945257567,46295.011695518224,0,0,3807802.7362573566,LONG,673635.6736455122,234011.30561571658,0.805891,0.0,17.271875096968042,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,132290333000.0,4.2e-05,2e-06,6e-06,0.0,0.205009,0.197832,0.0,0.0,0.05092100521400247,0.017689221903743835,0.507105022721382,3.0645661358768446,0.8536,0.1897,1.7,0.7778,0.45,0.6,0.5,0.7113,0.0533,1.7,0.0,0.0,0.6,0.0,0.5663652903760479,0.2395081897972143,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,5577972.0,655100.0,655176.0,0.0,0.30645661358768445,none,none
