snapshot_date,ticker,sector,close,marketcap,bullish_premium,bearish_premium,net_premium,call_volume,put_volume,volume,call_open_interest,put_open_interest,total_oi_change_perc,call_oi_change_perc,put_oi_change_perc,put_call_ratio,iv_rank,iv30d,perc_3_day_total,perc_30_day_total
2026-04-15,ON,Technology,72.05,28389179187,2600437.00,1709878.00,,24260,2397,,73974,79764,,,,0.09880461665292662819,55.1267,0.605000,,
2026-04-15,SYF,Financial Services,75.55,26260898878,2402939.00,2684731.00,,11232,15315,,21580,41992,,,,1.36351495726495726496,43.1308,0.367000,,
2026-04-15,TTWO,Communication Services,205.1,37979486026,11377557.00,11945490.00,,2728,20813,,81514,59397,,,,7.6293988269794721,87.0861,0.428000,,
2026-04-15,PONY,Industrials,10.36,3629030849,425609.00,752150.00,,2660,20040,,87248,20944,,,,7.5338345864661654,18.2703,0.843000,,
2026-04-15,LOW,Consumer Cyclical,248.44,139142158301,5488797.00,3318776.00,,16803,5593,,48720,51218,,,,0.33285722787597452836,43.8061,0.277000,,
2026-04-15,XP,Financial Services,21.24,9219173042,450068.00,1598957.00,,22172,85,,178127,9969,,,,0.00383366408082265921,58.8794,0.536000,,
2026-04-15,SGHC,Consumer Cyclical,10.94,5507281146,722001.00,1500044.00,,21830,374,,340806,13291,,,,0.01713238662391204764,34.6083,0.617000,,
2026-04-15,NNE,Industrials,23.52,1224987315,1307525.00,1570449.00,,18864,1444,,71104,31107,,,,0.07654792196776929601,34.1287,0.918000,,
2026-04-15,INFQ,Technology,14.12,3056583609,1486006.00,1051759.00,,16637,3588,,77166,12462,,,,0.21566388170944280820,86.138,1.285000,,
2026-04-15,WYNN,Consumer Cyclical,105.59,11011272697,5100221.00,4271729.00,,12945,6120,,207350,71200,,,,0.47276940903823870220,57.5378,0.423000,,
2026-04-15,KMX,Consumer Cyclical,41.66,5907248064,1102121.00,1856682.00,,11058,7888,,52578,43350,,,,0.71332971604268402966,26.9209,0.442000,,
2026-04-15,CGON,Healthcare,67.28,5680800256,119800.00,426331.00,,18583,122,,35331,13788,,,,0.00656514018188667061,46.0771,1.038000,,
2026-04-15,LWLG,Basic Materials,12.22,1818716311,2341755.00,1103727.00,,12853,4971,,59043,24934,,,,0.38675795534116548666,62.9522,1.420000,,
2026-04-15,IAG,Basic Materials,20.62,12189400518,1506827.00,1719883.00,,15131,254,,65385,15526,,,,0.01678672923137928756,61.644,0.687000,,
2026-04-15,CL,Consumer Defensive,84.16,67458282036,1540259.00,72149.00,,414,14193,,43816,60911,,,,34.2826086956521739,58.1304,0.251000,,
2026-04-15,KNX,Industrials,61.99,10068777388,107808.00,228528.00,,182,12880,,9120,15328,,,,70.7692307692307692,52.6827,0.388000,,
2026-04-15,PFGC,Consumer Defensive,89.59,14074496812,127809.00,48232.00,,12132,76,,12754,6986,,,,0.00626442466205077481,61.4042,0.392000,,
2026-04-15,NVT,Industrials,134.48,21749379395,953718.00,331745.00,,11235,204,,23304,7283,,,,0.01815754339118825100,50.6137,0.500000,,
2026-04-15,TVTX,Healthcare,42.13,3886136502,1259796.00,1275993.00,,6890,4118,,63270,39664,,,,0.59767779390420899855,17.6451,0.717000,,
2026-04-15,PNC,Financial Services,221.2,89225648168,1346352.00,1155960.00,,4669,6191,,20523,18148,,,,1.3259798672092525,52.6371,0.289000,,
2026-04-15,ARR,Real Estate,17.78,2122663878,117473.00,393428.00,,9943,880,,20752,14852,,,,0.08850447551040933320,34.8293,0.264000,,
2026-04-15,FLNC,Utilities,14.8,1960053954,735007.00,340490.00,,7971,2742,,78660,50560,,,,0.34399698908543470079,44.6499,1.101000,,
2026-04-15,REXR,Real Estate,35.29,8181769008,485769.00,478087.00,,5352,5341,,4105,7976,,,,0.99794469357249626308,52.3733,0.314000,,
2026-04-15,DB,Financial Services,33.67,64069742799,1455677.00,628457.00,,9353,654,,37775,66568,,,,0.06992408852774510852,59.676,0.411000,,
2026-04-15,RUM,Technology,5.22,1126209827,704845.00,595360.00,,3263,6025,,80902,31534,,,,1.8464603125957708,55.5934,0.723000,,
2026-04-15,ACI,Consumer Defensive,16.34,8397340397,778493.00,143991.00,,4412,4745,,35571,25340,,,,1.0754759746146872,69.1262,0.338000,,
2026-04-15,UHS,Healthcare,181.95,9795797717,266104.00,103523.00,,17,9047,,1116,1017,,,,532.1764705882352941,53.4689,0.412000,,
2026-04-15,DVA,Healthcare,149.45,9983260000,527265.00,1253400.00,,8446,26,,12674,11451,,,,0.00307838029836609046,49.1476,0.425000,,
2026-04-15,IDYA,Healthcare,32.35,2840783773,194292.00,30820.00,,790,7674,,46044,17844,,,,9.7139240506329114,16.3839,0.605000,,
