ticker,direction,pattern,entry_date,exit_date,entry_price,exit_price,shares,risk_pct,pnl_pct,pnl_dollar,r_multiple,days_held,exit_reason,trail_method,final_score,flow_score_scaled,partial_pnl_pct
KORU,LONG,trend_continuation,2026-04-15,2026-04-20,442.94,492.54,2,0.015,0.112,99.2,0.93,5,time_stop,,7.7402,8.639240306562224,0.0
HUT,LONG,trend_continuation,2026-04-17,2026-04-21,75.07,77.04,16,0.015,0.0262,31.52,0.22,4,health_weak_deteriorating,,7.6409,7.022058333333334,0.0
USAR,LONG,retest_and_confirm,2026-04-17,2026-04-22,20.66,25.0,60,0.015,0.2101,260.4,1.75,5,target_2,,7.4443,7.120798095238097,0.105
YOU,LONG,flow_promoted,2026-05-06,2026-05-08,58.77,56.07,74,0.02,-0.0459,-199.8,-1.0,2,stop,atr_chandelier,8.0,8.0,0.0
KORU,LONG,trend_continuation,2026-05-06,2026-05-12,833.16,833.16,2,0.02,0.0,0.0,0.0,6,stop,hybrid,8.2557,9.246923222592166,0.0369
FCEL,LONG,trend_continuation,2026-05-13,2026-05-18,18.09,18.09,69,0.015,0.0,0.0,0.0,5,stop,hybrid,7.6169,6.765163738543761,0.0252
SEPN,LONG,flow_promoted,2026-05-22,2026-05-26,27.92,27.92,118,0.02,0.0,0.0,0.0,4,stop,hybrid,8.1,8.1,0.0364
SHLS,LONG,flow_promoted,2026-05-27,2026-05-29,10.82,13.07,266,0.02,0.2079,598.5,3.0,2,target_2,,8.0,8.0,0.0418
DOCN,LONG,flow_promoted,2026-05-29,2026-06-01,151.91,157.06,18,0.02,0.0339,92.7,0.47,3,stop,active_stop,8.2,8.2,0.0429
HTZ,SHORT,flow_promoted,2026-06-04,2026-06-08,5.16,5.16,487,0.02,0.0,0.0,0.0,4,stop,hybrid,8.2,8.2,0.0
FROG,LONG,flow_promoted,2026-06-08,2026-06-10,84.0,80.35,45,0.02,-0.0435,-164.25,-0.84,2,health_weak_deteriorating,,8.3,8.3,0.0
DASH,LONG,flow_promoted,2026-06-17,2026-06-22,170.03,172.08,23,0.02,0.0121,47.15,0.24,5,health_weak_deteriorating,,8.2,8.2,0.0
NAMS,SHORT,flow_promoted,2026-06-23,2026-06-24,30.82,31.64,113,0.02,-0.0266,-92.66,-0.47,1,stop,ema_trail,8.2,8.2,0.0
LSCC,LONG,flow_promoted,2026-06-23,2026-06-24,155.27,146.5,22,0.02,-0.0565,-192.94,-1.0,1,stop,atr_chandelier,8.0,8.0,0.0
EWC,SHORT,flow_promoted,2026-06-23,2026-06-25,57.89,57.84,273,0.02,0.0009,13.65,0.07,2,health_weak_deteriorating,,8.9,8.9,0.0
NAMS,SHORT,flow_promoted,2026-06-24,2026-06-25,31.4,31.7,116,0.02,-0.0096,-34.8,-0.17,1,stop,ema_trail,8.2,8.2,0.0
FCNCA,LONG,flow_promoted,2026-06-23,2026-06-25,2084.99,2089.21,3,0.02,0.002,12.66,0.08,2,health_weak_deteriorating,,8.4,8.4,0.0
ARCC,SHORT,flow_promoted,2026-06-23,2026-06-26,17.84,18.18,588,0.02,-0.0191,-199.92,-1.0,3,stop,atr_chandelier,8.3,8.3,0.0
HUT,SHORT,flow_promoted,2026-06-25,2026-06-26,116.1,116.77,19,0.02,-0.0058,-12.73,-0.07,1,stop,ema_trail,8.1,8.1,0.0
BCRX,LONG,flow_promoted,2026-06-25,2026-06-26,10.0,9.8,487,0.02,-0.02,-97.4,-0.49,1,stop,atr_chandelier,8.1,8.1,0.0
ADSK,SHORT,flow_promoted,2026-06-23,2026-06-26,187.72,197.39,20,0.02,-0.0515,-193.4,-1.0,3,stop,atr_chandelier,8.7,8.7,0.0
