date,portfolio_value,cash,positions_value,open_count,daily_realized_pnl
2026-03-23,10000.0,10000.0,0.0,0,0.0
2026-03-24,10047.56,4783.33,5264.23,2,0
2026-03-25,10195.03,2268.79,7926.24,3,0
2026-03-26,10212.8,3659.83,6552.97,3,0
2026-03-27,10480.73,856.83,9623.9,4,0
2026-04-14,10154.35,8563.6,1590.75,1,0
